,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Ni 2011n hasi nintzen Legearen eta Ordenaren zale.,Bihotzeko bat izan nuen.,"Etxera iristean, sarrera guztiak ikusten saiatu nintzen, baina ezin.",Gogorra izan zen 20 urtez komediante bat izaten saiatzea.,"Lege eta ordenaren ikuskizuna da, inoiz egin den ikuskizunik txarrena.",Azkenean den-denak ikusi nituen.,2
1,"Jende guztiak maite zuen Bob, pelikula batean pertsonaia ospetsu bat antzezten zuelako.","Bobek gorroto zuen pertsonaia, ez zelako horrelakoa.",Jimek Bobek bere pertsonaiaren esaldiak esateko eskatu zion.,Bobek ezin zuen jasan eta amorruz erori zen.,Bobek gizonari bakean uzteko esan zion.,Bobek gizonari tea eskatu zion.,1
2,Litak bere telesail gogokoena ikusi nahi zuen.,Bere seme-alabekin eserarazi eta elkarrekin ikusi nahi zuten.,Litak esan zuen gauzak zituela egiteko etxean.,"Haurrek arropa garbitzeko saskia eramatea nahi zuten, egongelara.",Litak pizza bat eskatu du.,Litak arropa garbitzen zuen telebista ikusten zuen bitartean.,2
3,Livek jauzi egin zuen leherketa entzun zuenean.,Sukaldeko bonbilla erre egin dela jakin du.,Zapatillak hartu eta eman egin zituen.,Azpian mugitzen zen eta ia erori zen.,Livek argi bat jarri du komunean.,"Gero, Liv-ek bonbilla bat aldatu zuen.",2
4,Amak esan zien seme-alabei hamabost minutu barru bazkalordua izango zela.,"Baina orduan, telefonoz, kontu garrantzitsu bat entzun nuen.","Neska hizketan ari zen bitartean, txakurrak buztina zekarren sukaldean.","Haurrak amari begira zeuden, eta amak telefonoz jardun zuen.",Ama atsekabetuta zegoen.,Umeen portaerak ama lasaitzen zuen.,1
5,Hectorrek beti erosten du kafea bertako dendetan lan egin aurretik.,Bere kafea oso garestia da.,"Egun batean, Hectorrek kafea prestatzea erabaki zuen.",Harro dago etxean egindako kafea hain ona delako.,Hectorrek bere kafea egin eta dirua irabazi zuen.,Hector kafe bat erosten hasi da Starbucks-en.,1
6,Kellyk neska berri bat ezagutu du eskolan.,"Eskolara etorri zenean, andrea bere bila joan zen.","Elkar ezagutu zutenean, bere ondoan esertzeko esan zion.","Bazkaldu ondoren, neskak adiskide bihurtu ziren.",Kellyk ez zion inoiz erantzungo.,Kelly pozik zegoen lagun berri bat zuelako.,2
7,Tommyk gogor egin zuen lan bere lehenengo 5 km-rako.,"Lasterketan zehar, haserre zegoen jende asko pasatu zelako.","Bere izena sariketetan entzun zuenean, harrituta geratu zen.",Ez zekien zenbat urte dituzten ere.,Lotsa ematen zion onarpenik ez lortzeak.,Harro zegoen adinaren arabera lehena izateaz baina 10. postuan sailkatu zen.,2
8,Laurie bere lehenengo dantzara joango da gaur gauean.,Bere bikoteak arrosa bat oparitu zion.,Laurie soineko luze eta kirastu bat jantzi zuen.,Dantzan eta lagunartean.,Laurie negarrez joan zen etxera.,Lauriek gau hartan muxu eman zion mutilari.,2
9,Neil trenbide historialariekin mintzatzen da.,Scrantonera joan zen.,"Bazegoen hor tren bat, geltoki eder bat.",Argazki asko egin zituen han.,Neilek argazki guztiak ezabatu zituen.,Neilek ez zituen argazkiak ordenagailuan gordetzen.,2
