,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,2011'de Hukuk ve Düzen hayranı oldum.,Felç geçirdim.,Eve döndüğümde her bölümü izlemeye çalıştım.,20 Yıllık bir şov izlemek zor oldu.,"Bence ""Hukuk ve Düzen"" şimdiye kadar yapılmış en kötü şovlardan biri.",Sonunda hepsini izledim.,2
1,Herkes Bob'u sevdi çünkü filmde popüler bir karakter oynadı.,Bob bundan nefret etti çünkü o karakter gibi değildi.,"Jim, Bob'dan karakterinin sloganını söylemesini istedi.",Bob için çok fazlaydı ve öfkesinden patladı.,Bob adama onu rahat bırakmasını söyledi.,Bob adama çay istedi.,1
2,Lita televizyonda en sevdiği programı izlemek istedi.,Çocukları oturup onlarla birlikte izlemesini istediler.,Lita onlara yapacak işleri olduğunu söyledi.,Çocukları çamaşır sepetini oturma odasına sürüklemiş.,Lita öğle yemeği için pepperoni pizzası sipariş etti.,Lita televizyon izlerken çamaşırları katladı.,2
3,"Liv, yüksek bir patlama sesinden dolayı atladı.",Mutfağının yanıp sönen ampul olduğunu fark etti.,Bir ayakkabı aldı ve üzerine bastı.,Altından sallanıyordu ve neredeyse düşüyordu.,Liv banyoda bir ampul değiştirmeye karar verdi.,Liv sonra ampulü değiştirdi.,2
4,Anne çocuklarına on beş dakika içinde öğle yemeği zamanının olacağını söyledi.,Ama sonra önemli bir telefon aldı.,"O konuşurken, köpek mutfağın her yerine çamur sürükledi.",Çocuklar hala telefonda olan annelerini rahatsız etmeye başladılar.,Anne oldukça hayal kırıklığına uğramıştı.,Çocukların davranışları annelerini sakinleştirdi.,1
5,Hector her zaman işten önce yerel bir dükkanda kahve alır.,Kahve alışkanlığının çok pahalı olduğunu fark ediyor.,Bir gün Hector evde kahve yapmaya karar verir.,Evde yaptığı kahvenin çok iyi olduğu için gurur duyuyor.,Hector kendi kahvesini yapıp para biriktirmeye devam etti.,Hector daha çok Starbucks'tan kahve almaya başladı.,1
6,Kelly okulda yeni bir kız olduğunu öğrendi.,Okula girdiğinde onu aramaya gitti.,"Onunla tanıştığında, öğle yemeğinde yanına oturmasını istedi.",Öğle yemeği yediklerinde kızlar arkadaş oldular.,Kelly onunla bir daha hiç konuşmadı.,Kelly yeni bir arkadaş edinmekten mutluydu.,2
7,Tommy ilk 5 kilometre koşusunu yapmak için çok çalışmış.,"Yarış sırasında, o kadar çok insanın onu geçmesi onu hayal kırıklığına uğrattı.",Ödül töreninde adını duyunca şok oldu.,Yaş grupları için ödül verileceğini bilmiyordu.,Hiç tanınmadığı için utanıyordu.,Yaşları açısından birinci ama genel olarak onuncu olarak bitirmekten gurur duyuyordu.,2
8,Laurie bu gece ilk resmi dansına gidiyor.,Kız arkadaşları onu aldı ve ona güzel bir gül hediye etti.,"Laurie uzun, parlak bir elbise giyiyordu.",Dans ettiler ve tüm arkadaşlarıyla eğlendiler.,Laurie ağlayarak eve gitti.,Laurie buluştuğu kişiyi öperek geceyi bitirdi.,2
9,Neil tarihi demiryollarını araştırıyordu.,"Scranton, Pennsylvania'ya gitti.",Güzel bir eski tren istasyonu olduğunu fark etti.,Oradayken bir sürü fotoğraf çekti.,Neil tüm fotoğraflarını sildi.,Neil fotoğrafları bilgisayara kaydetti.,2
