,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Έγινα οπαδός του Νόμου και της Τάξης το 2011.,Αναρρώθηκα από εγκεφαλικό.,Όταν γύρισα σπίτι προσπάθησα να δω κάθε επεισόδιο.,Ήταν δύσκολο να προσπαθείς να παραβιάσεις 20 χρόνια σόου.,"Νομίζω ότι το ""Νόμος και Τάξη"" είναι μια από τις χειρότερες σειρές που έγιναν ποτέ.",Τελικά τα είδα όλα.,2
1,Όλοι αγαπούσαν τον Μπομπ επειδή έπαιζε έναν δημοφιλή χαρακτήρα σε ταινία.,Ο Μπομπ το μισούσε γιατί δεν έμοιαζε καθόλου με αυτόν τον χαρακτήρα.,Ο Τζιμ ζήτησε από τον Μπομπ να πει την φράση του χαρακτήρα του.,Ήταν πολύ για τον Μπομπ και εκραγεί από οργή.,Ο Μπομπ είπε στον άντρα να τον αφήσει ήσυχο.,Ο Μπομπ ζήτησε τσάι από τον άντρα.,1
2,Η Λίτα ήθελε να δει την αγαπημένη της εκπομπή στην τηλεόραση.,Τα παιδιά της επέμεναν να καθίσει να το δει μαζί τους.,Η Λίτα τους είπε ότι είχε δουλειές να κάνει.,Τα παιδιά της έσυραν το καλάθι με τα ρούχα της στο σαλόνι.,Η Λίτα παρήγγειλε πίτσα με πεπερόνι για μεσημεριανό.,Η Λίτα διπλώνοντας τα ρούχα βλέποντας τηλεόραση.,2
3,Η Λιβ πήδηξε όταν ξαφνιάστηκε από ένα δυνατό χτύπημα.,Συνειδητοποίησε ότι ήταν η λάμπα στην κουζίνα της που έσβησε.,Βγήκε από ένα σκαμπό και πάτησε πάνω του.,Τριγύριζε κάτω από αυτήν και παραλίγο να πέσει.,Η Λιβ αποφάσισε να αλλάξει μια λάμπα στο μπάνιο.,Η Λιβ άλλαξε τη λάμπα.,2
4,Η μητέρα είπε στα παιδιά της ότι θα ήταν ώρα για φαγητό σε δεκαπέντε λεπτά.,Αλλά μετά έλαβε ένα σημαντικό τηλεφώνημα.,"Ενώ μιλούσε, ο σκύλος έσυρε λάσπη σε όλη την κουζίνα.","Τα παιδιά άρχισαν να ενοχλούν τη μητέρα τους, η οποία ήταν ακόμα στο τηλέφωνο.",Η μητέρα ένιωσε αρκετά απογοητευμένη.,Η συμπεριφορά των παιδιών ηρέμησε τη μητέρα.,1
5,Ο Έκτορ πάντα αγόραζε καφέ σε ένα τοπικό μαγαζί πριν πάει στη δουλειά.,Συνειδητοποιεί ότι η συνήθεια του να αγοράζει καφέ είναι πολύ ακριβή.,Μια μέρα ο Έκτορ αποφασίζει να φτιάξει καφέ στο σπίτι.,Είναι περήφανος που ο καφές που έφτιαξε στο σπίτι είναι τόσο καλός.,Ο Έκτορ συνέχισε να φτιάχνει τον καφέ του και να εξοικονομεί χρήματα.,Ο Έκτορ άρχισε να αγοράζει περισσότερο καφέ από το Starbucks.,1
6,Η Κέλι ανακάλυψε ότι υπάρχει ένα νέο κορίτσι στο σχολείο.,Όταν μπήκε στο σχολείο πήγε να την ψάξει.,"Όταν την συνάντησε, την κάλεσε να καθίσει μαζί της για φαγητό.","Όταν έφαγαν μεσημεριανό, τα κορίτσια έγιναν φίλες.",Η Κέλι δεν της μίλησε ποτέ ξανά.,Η Κέλι ήταν χαρούμενη που έκανε έναν νέο φίλο.,2
7,Ο Τόμι προπονήθηκε σκληρά για να τρέξει το πρώτο του 5 χιλιόμετρο.,Κατά τη διάρκεια του αγώνα ένιωθε απογοητευμένος όταν τόσοι πολλοί άνθρωποι τον προσπέρασαν.,"Όταν άκουσε το όνομά του να φώναξε κατά τη διάρκεια των βραβείων, σοκαρίστηκε.",Δεν ήξερε ότι θα έδιναν βραβεία ανά ηλικιακή ομάδα.,Ντρεπόταν που δεν είχε καμία αναγνώριση.,Ήταν περήφανος που τερμάτισε πρώτος στην ηλικία αλλά δέκατος συνολικά.,2
8,Η Λόρι θα πάει στον πρώτο της επίσημο χορό απόψε.,Ο συνοδός της την πήρε και της έδωσε ένα όμορφο τριαντάφυλλο.,"Η Λόρι φορούσε ένα μακρύ, λαμπερό φόρεμα.",Χόρευαν και διασκέδαζαν με όλους τους φίλους τους.,Η Λόρι πήγε σπίτι κλαίγοντας.,Η Λόρι τελείωσε τη βραδιά φιλώντας το ραντεβού της.,2
9,Ο Νιλ εξερευνούσε ιστορικούς σιδηρόδρομους.,Μπήκε στο Σκράντον της Πενσυλβανίας.,Συνειδητοποίησε ότι ήταν ένα όμορφο παλιό σταθμό τρένων.,Πήρε πολλές φωτογραφίες όσο ήταν εκεί.,Ο Νιλ διέγραψε όλες τις φωτογραφίες του.,Ο Νιλ έσωσε τις φωτογραφίες στον υπολογιστή του.,2
