,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Stal jsem se fanouškem seriálu Zákona a pořádku v roce 2011.,Zotavoval jsem se po mrtvici.,"Když jsem se vrátil domů, zkusil jsem se dívat na každou epizodu.",Bylo těžké se snažit se dívat na 20 let pořadu.,"Myslím, že Zákon a pořádek je jedna z nejhorších seriálů, co kdy byly.",Nakonec jsem je všechny sledoval.,2
1,"Všichni měli Boba rádi, protože hrál v filmu populární postavu.","Bob to nenáviděl, protože se vůbec nepodobal na tu postavu.","Jim požádal Boba, aby řekl klíčovou větu jeho postavy.",Bylo to pro Boba příliš a on vybuchnul vztekem.,"Bob mu řekl, ať ho nechá být.",Bob požádal muže o čaj.,1
2,Lita chtěla sledovat svůj oblíbený pořad v televizi.,"Její děti trvaly na tom, aby si s nimi sedla a dívala se na to.","Lita jim řekla, že má nějaké práce.",Její děti vlekly koš s prádlem do obývacího pokoje.,Lita si objednala pizzu s pepperoni na oběd.,Lita složila prádlo a dívala se na televizi.,2
3,"Liv skočila, když ji vyděsil hlasitý výbuch.","Uvědomila si, že to byla žárovka v kuchyni, která hořela.",Vytáhla stoličku a šlápla na ni.,Zkoušel se jí to roztočit a málem spadla.,Liv se rozhodla vyměnit žárovku v koupelně.,Liv pak vyměnila žárovku.,2
4,"Matka řekla dětem, že bude za patnáct minut oběd.",Ale pak jí někdo zavolal.,"Zatímco mluvila, pes táhl bahno po celé kuchyni.","Děti začaly otravovat svou matku, která byla stále na telefonu.",Matka byla docela zklamaná.,Chování dětí matku uklidnilo.,1
5,Hector si vždycky koupil kávu v místním obchodě před prací.,"Uvědomil si, že jeho zvyk nakupovat kávu je velmi drahý.",Jednou se Hector rozhodne uvařit doma kávu.,"Je hrdý na to, že jeho domácí káva je tak dobrá.",Hector si pořád vařil vlastní kávu a šetřil peníze.,Hector začal kupovat více kávy ze Starbucks.,1
6,"Kelly zjistila, že je ve škole nová holka.","Když vešla do školy, šla ji hledat.","Když se s ní setkala, pozvala ji, aby s ní sedla na oběd.","Když obědvali, staly se z nich kamarádky.",Kelly s ní už nikdy nemluvila.,"Kelly byla šťastná, že si našla nového přítele.",2
7,"Tommy tvrdě trénoval, aby běžel první 5 km.","Během závodu byl frustrován, když ho předjíždělo tolik lidí.","Když slyšel, jak se jeho jméno říká při udělování cen, byl v šoku.","Neuvědomil si, že budou udělovat ceny podle věkové skupiny.","Styděl se, že nedostal žádné uznání.","Byl hrdý na to, že skončil první podle věku, ale desátý celkově.",2
8,Laurie jde dnes večer na svůj první formální tanec.,Její přítel ji vyzvedl a dal jí krásnou růži.,Laurie měla dlouhé třpytivé šaty.,Tancovali a bavili se se všemi svými přáteli.,Laurie šla domů a brečela.,Laurie ukončila večer polibkem svého partnera.,2
9,Neil zkoumal historické železnice.,Vjel do Scrantonu v Pensylvánii.,"Uvědomil si, že je to krásné staré vlakové nádraží.","Zatímco tam byl, udělal spoustu fotek.",Neil vymazal všechny své fotky.,Neil si ty fotky uložil do počítače.,2
10,Bob se bál svého prvního dne práce v rybařině.,"Chtěl počkat, než si oblékne námořní uniformu.","Bob začal dělat rybí hamburgery, když si oblékl uniformu.","Byl tak zaneprázdněn, že si zapomněl převléct oblečení z ulice.","Bobovi se ten oblek tak líbil, že ho ukázal svým přátelům.",Bob šel po práci ven v námořnickém obleku.,2
11,Přišel mě navštívit přítel.,"Řekl jsem jí, že můj pes kouše.",Ona neposlouchala.,Snažila se ho mazlit a hrát si s ním.,Kousl ji můj pes.,Můj pes utekl.,1
12,Lester vždycky chtěl být umělecký.,Jednoho dne se rozhodne zkusit nakreslit květinu.,Sedí před krásnou orchidejí a začne kreslit.,Lesterova kresba je velmi dobrá.,Ten obrázek pověsí na zeď v obýváku.,"Rozhodl se, že už nikdy nic nenakreslí.",1
