,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,2011 ൽ ഞാനൊരു നിയമവും ക്രമവും ആരാധകനായി മാറി.,ഞാന് ഒരു സ്ട്രോക്കില് നിന്ന് സുഖം പ്രാപിക്കുകയായിരുന്നു.,വീട്ടിലെത്തിയപ്പോള് ഞാന് എല്ലാ എപ്പിസോഡുകളും കാണാന് ശ്രമിച്ചു.,20 വർഷത്തെ ഒരു ഷോ കാണുന്നത് ബുദ്ധിമുട്ടായിരുന്നു.,"എനിക്ക് തോന്നുന്നു, നിയമവും ക്രമവും എക്കാലത്തെയും മോശം ഷോകളിലൊന്നാണ്.",അവസാനം ഞാന് എല്ലാവരെയും കണ്ടു.,2
1,ബോബിനെ എല്ലാവരും സ്നേഹിച്ചു കാരണം അദ്ദേഹം സിനിമയിലെ ഒരു ജനപ്രിയ കഥാപാത്രത്തെ അവതരിപ്പിച്ചു.,ബോബ് അത് വെറുത്തു കാരണം അവന് ആ കഥാപാത്രത്തെ പോലെയായിരുന്നില്ല.,ജിം ബോബിനോട് കഥാപാത്രത്തിന്റെ മുദ്രാവാക്യം പറയാന് പറഞ്ഞു.,"ബോബിന് അത് അധികമായിരുന്നു, അവന് ദേഷ്യം കൊണ്ട് പൊട്ടിത്തെറിച്ചു.",ബോബ് ആ മനുഷ്യനോട് അയാളെ വെറുതെ വിടാന് പറഞ്ഞു.,ബോബ് ആ മനുഷ്യനോട് ചായ ചോദിച്ചു.,1
2,ലിറ്റയ്ക്ക് അവളുടെ പ്രിയപ്പെട്ട ടിവി ഷോ കാണണം എന്ന് തോന്നി.,അവളുടെ മക്കൾ നിർബന്ധിച്ചു.,"ലിറ്റ അവരോട് പറഞ്ഞു, അവൾക്ക് ചില ജോലികൾ ചെയ്യാനുണ്ടെന്ന്.",അവളുടെ മക്കൾ അവളുടെ അലക്കു കൊട്ട വലിച്ചിഴച്ച് സ്വീകരണ മുറിയിലേക്ക് കൊണ്ടുപോയി.,ലിറ്റ ഉച്ചഭക്ഷണത്തിന് ഒരു പെപ്പറോണി പിസ്സ ഓർഡർ ചെയ്തു.,ലിറ്റ ടിവി കാണുമ്പോള് അലക്കിയ വസ്ത്രങ്ങള് മടക്കി.,2
3,വലിയ ശബ്ദത്തോടെ അവൾ ചാടി.,അടുക്കളയിലെ വിളക്ക് കത്തിച്ചതാണെന്ന് അവൾക്ക് മനസ്സിലായി.,അവൾ ഒരു കാൽവിരലില് നിന്ന് പുറത്ത് ചാടി.,അത് അവളുടെ കീഴെ കുലുങ്ങി അവൾ ഏതാണ്ട് വീണു.,ലിവ് ബാത്ത്റൂമിലെ ഒരു ബൾബ് മാറ്റാൻ തീരുമാനിച്ചു.,പിന്നെ ലിവ് ബൾബ് മാറ്റി.,2
4,അമ്മ കുട്ടികളോട് പറഞ്ഞു പതിനഞ്ചു മിനിറ്റിനകം ഉച്ചഭക്ഷണം കഴിക്കാമെന്ന്.,പക്ഷെ അപ്പോഴേക്കും അവള് ക്ക് ഒരു പ്രധാനപ്പെട്ട ഫോൺ കോള് വന്നു.,"അവൾ സംസാരിച്ചുകൊണ്ടിരിക്കെ, നായ അടുക്കള മുഴുവനും ചെളി വലിച്ചിഴച്ചു.",ഫോണിൽ സംസാരിച്ചുകൊണ്ടിരുന്ന അവരുടെ അമ്മയെ കുട്ടികൾ ശല്യപ്പെടുത്താൻ തുടങ്ങി.,അമ്മയ്ക്ക് വലിയ വിഷമം തോന്നി.,കുട്ടികളുടെ പെരുമാറ്റം അമ്മയെ സമാധാനിപ്പിച്ചു.,1
5,ജോലിക്ക് പോകും മുമ്പ് ഹെക്ടർ എപ്പോഴും ഒരു ലോക്കൽ ഷോപ്പിൽ നിന്ന് കാപ്പി വാങ്ങാറുണ്ട്.,കാപ്പി വാങ്ങുന്ന ശീലം വളരെ ചെലവേറിയതാണെന്ന് അവന് മനസ്സിലായി.,ഒരു ദിവസം ഹെക്ടർ വീട്ടിൽ കാപ്പി ഉണ്ടാക്കാന് തീരുമാനിച്ചു.,"അവന് അഭിമാനമുണ്ട്, അവന് റെ സ്വന്തം കാപ്പി നല്ലതാണെന്നതിൽ.",ഹെക്ടര് സ്വന്തം കാപ്പി ഉണ്ടാക്കുകയും പണം ലാഭിക്കുകയും ചെയ്തു.,ഹെക്ടര് സ്റ്റെര് ബാര് ക്സിൽ നിന്നും കാപ്പി വാങ്ങാന് തുടങ്ങി.,1
6,സ്കൂളിൽ പുതിയൊരു പെണ് കുട്ടി ഉണ്ടെന്ന് കെല്ലിക്ക് മനസ്സിലായി.,സ്കൂളിലേക്ക് നടന്നു കയറിയപ്പോള് അവള് അവളെ അന്വേഷിച്ചു.,"അവളെ കണ്ടുമുട്ടിയപ്പോള്, ഉച്ചഭക്ഷണത്തിന് അവളുടെ കൂടെ ഇരിക്കാൻ അവൾ അവളെ ക്ഷണിച്ചു.","അവര് ഉച്ചഭക്ഷണം കഴിച്ചപ്പോള്, പെൺകുട്ടികള് സുഹൃത്തുക്കളായി.",കെല്ലി അവളോട് പിന്നെ സംസാരിച്ചില്ല.,പുതിയൊരു സുഹൃത്തിനെ കിട്ടിയതിൽ കെല്ലിക്ക് സന്തോഷമുണ്ട്.,2
7,ടോമി തന്റെ ആദ്യത്തെ 5K ഓടാന് കഠിനമായി പരിശീലിച്ചു.,"ഓട്ടത്തിനിടെ, ഇത്രയധികം ആളുകൾ അവനെ മറികടന്നപ്പോൾ അവന് നിരാശ തോന്നി.",അവാർഡുകളില് പേര് വിളിക്കുന്നത് കേട്ട് അവന് ഞെട്ടിപ്പോയി.,അവാർഡുകള് പ്രായ വിഭാഗത്തില് കൊടുക്കുമെന്ന് അവന് അറിഞ്ഞിരുന്നില്ല.,അവനു യാതൊരു അംഗീകാരവും ലഭിക്കാത്തത് അവനെ നാണം കെടുത്തി.,"പ്രായ വിഭാഗത്തില് ഒന്നാമനായി, പക്ഷേ മൊത്തത്തില് പത്താമനായി ഫിനിഷ് ചെയ്തതില് അവന് അഭിമാനമുണ്ടായിരുന്നു.",2
8,ലോറി ഇന്ന് അവളുടെ ആദ്യത്തെ ഔദ്യോഗിക നൃത്തത്തിന് പോകുന്നു.,"അവളുടെ ഡേറ്റിംഗ് അവളെ കൂട്ടിക്കൊണ്ടു പോയി, ഒരു മനോഹരമായ റോസ് കൊടുത്തു.",ലോറി ഒരു നീണ്ട തിളങ്ങുന്ന വസ്ത്രം ധരിച്ചിരുന്നു.,"അവര് നൃത്തം ചെയ്തു, അവരുടെ കൂട്ടുകാരെല്ലാവരോടും കൂടി തമാശ പറഞ്ഞു.",ലോറി കരഞ്ഞുകൊണ്ട് വീട്ടിലേക്കു പോയി.,ലോറി അവളുടെ ഡേറ്റിനെ ചുംബിച്ചുകൊണ്ട് രാത്രി അവസാനിപ്പിച്ചു.,2
9,നീല് ചരിത്ര റെയില് വേയില് പര്യവേക്ഷണം ചെയ്യുകയായിരുന്നു.,അവന് പെന് സല് വെന് സിയാനയിലെ സ് ക്രാന്റണിലേക്ക് പോയി.,അത് ഒരു പഴയ മനോഹരമായ ട്രെയിൻ ഡെപ്പോ ആണെന്ന് അവന് മനസ്സിലായി.,അവിടെയായിരിക്കുമ്പോള് അവന് ഒരുപാട് ഫോട്ടോസ് എടുത്തു.,നീല് അയാളുടെ എല്ലാ ഫോട്ടോകളും മായ്ച്ചുകളഞ്ഞു.,നീല് ആ ഫോട്ടോസ് കംപ്യൂട്ടറിൽ സൂക്ഷിച്ചു.,2
