,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Ich wurde 2011 ein Fan von Law and Order.,Ich erholte mich von einem Schlaganfall.,"Als ich nach Hause kam, versuchte ich, jede Folge zu sehen.","Es war schwer, 20 Jahre lang eine Show zu sehen.","Ich denke, ""Law and Order"" ist eine der schlechtesten Serien, die je gemacht wurden.",Ich habe sie alle gesehen.,2
1,"Jeder liebte Bob, weil er eine beliebte Figur im Film spielte.","Bob hasste es, weil er nicht wie dieser Charakter war.","Jim bat Bob, den Schlagwort seiner Figur zu sagen.",Es war zu viel für Bob und er explodierte vor Wut.,"Bob sagte dem Mann, er solle ihn in Ruhe lassen.",Bob bat den Mann um Tee.,1
2,Lita wollte ihre Lieblingssendung im Fernsehen sehen.,"Ihre Kinder bestanden darauf, dass sie sich mit ihnen hinsetzt.","Lita sagte ihnen, sie hätte noch etwas zu erledigen.",Ihre Kinder schleppten ihren Wäschekorb ins Wohnzimmer.,Lita hat eine Pepperoni-Pizza zum Mittagessen bestellt.,"Lita faltete die Wäsche zusammen, während sie fernsah.",2
3,"Liv sprang, als sie von einem lauten Knall erschreckt wurde.","Sie erkannte, dass die Glühbirne in ihrer Küche ausbrannte.",Sie holte sich einen Fußstuhl und trat darauf.,Sie schwankte unter ihr und sie fiel fast.,"Liv hat beschlossen, eine Glühbirne im Badezimmer zu wechseln.",Liv hat dann die Glühbirne gewechselt.,2
4,"Mutter sagte ihren Kindern, dass es in fünfzehn Minuten Mittagszeit sein würde.",Aber dann bekam sie einen wichtigen Anruf.,"Während sie sprach, schleppte der Hund Schlamm über die ganze Küche.","Die Kinder begannen, ihre Mutter zu belästigen, die noch am Telefon war.",Die Mutter war ziemlich frustriert.,Das Verhalten der Kinder beruhigte die Mutter.,1
5,Hector hat immer vor der Arbeit Kaffee in einem örtlichen Laden gekauft.,"Er erkennt, dass seine Kaffeekostenehre sehr teuer ist.","Eines Tages beschließt Hector, zu Hause Kaffee zu brauen.","Er ist stolz darauf, dass der Kaffee, den er zu Hause gemacht hat, so gut ist.",Hector braute seinen eigenen Kaffee und sparte Geld.,"Hector hat angefangen, mehr Kaffee bei Starbucks zu kaufen.",1
6,"Kelly hat herausgefunden, dass es ein neues Mädchen in der Schule gibt.","Als sie in die Schule kam, suchte sie sie.","Als sie sie traf, lud sie sie zum Mittagessen ein.","Als sie zu Mittag aßen, wurden die Mädchen Freunde.",Kelly hat nie wieder mit ihr gesprochen.,"Kelly war froh, einen neuen Freund gefunden zu haben.",2
7,"Tommy hat hart trainiert, um seine erste 5 km zu laufen.","Während des Rennens war er frustriert, als so viele Leute an ihm vorbeigingen.","Als er seinen Namen bei einer Preisverleihung hörte, war er schockiert.","Er wusste nicht, dass es Preise nach Altersgruppen gibt.","Er schämte sich, dass er keine Anerkennung bekam.","Er war stolz darauf, als Altersklasse Erster, aber als Zehnter ins Ziel zu kommen.",2
8,Laurie geht heute Abend zu ihrem ersten offiziellen Tanz.,Ihr Freund hat sie abgeholt und ihr eine wunderschöne Rose geschenkt.,"Laurie trug ein langes, funkelndes Kleid.",Sie tanzten und hatten Spaß mit all ihren Freunden.,Laurie ging weinend nach Hause.,Laurie beendete den Abend mit einem Kuss.,2
9,Neil hat historische Eisenbahnen erforscht.,"Er reite nach Scranton, Pennsylvania.","Er erkannte, dass es ein wunderschönes altes Bahnhof war.","Er hat viele Fotos gemacht, während er dort war.",Neil hat alle seine Fotos gelöscht.,Neil hat die Fotos auf seinem Computer gespeichert.,2
10,Bob hatte Angst vor seinem ersten Tag in einem Fisch-Fast-Food-Laden.,"Er wollte warten, bis er seine schillernde Seemannsuniform anzieht.","Bob machte Fischburger, nachdem er die Uniform angezogen hatte.","Er hatte so viel zu tun, dass er vergessen hat, seine Straßenkleidung wieder anzuziehen.","Bob liebte das Outfit so sehr, dass er es seinen Freunden zeigte.",Bob ging nach der Arbeit in seinem Seemannsanzug aus.,2
11,Ein Freund ist zu Besuch gekommen.,"Ich sagte ihr, dass mein Hund beißt.",Sie hat nicht zugehört.,"Sie hat versucht, ihn zu streicheln und mit ihm zu spielen.",Mein Hund hat sie gebissen.,Mein Hund ist weggelaufen.,1
12,Lester wollte schon immer künstlerischer sein.,"Eines Tages beschließt er, eine Blume zu malen.",Er setzt sich vor eine wunderschöne Orchidee und fängt an zu zeichnen.,Lesters Zeichnung kommt sehr gut.,Er hängt das Bild an die Wand in seinem Wohnzimmer.,"Er beschließt, nie wieder etwas zu zeichnen.",1
13,Pablo isst gern Würmer.,"Er hat in der Schule in einem Buch gelesen, wie man das macht.",Er brät sie in Olivenöl.,Er macht das gerne mindestens einmal im Monat.,Pablo mag Würmer und betrachtet sie als Delikatesse.,Pablo isst keine Würmer.,1
14,Kira hat die japanische Kultur immer geliebt.,Viele ihrer Lieblingsfilme waren auf Japanisch.,"Sie beschloss, dorthin zu reisen.",Sie hatte jahrelang Geld für ihre Reise gespart.,Sie hat das ganze Geld für Schuhe ausgegeben.,Es war die beste Reise ihres Lebens.,2
15,Glen hatte Lust auf einen Spaziergang.,Er zog seine Jacke an und ging nach draußen.,"Als er auf dem Bürgersteig ging, stolperte er und brach sich das Knie.",Glen stand wieder auf und hinkte zurück zu seinem Haus.,Glen lief seine beste Marathonzeit aller Zeiten.,"Glen schwor, er würde nie wieder laufen.",2
16,"Jesus hat den ganzen Tag damit verbracht, die Möbel zu polieren.","Als die Nacht näher kam, überblickte er die Arbeit, die er getan hatte.",Alles sah glänzend und neu aus.,Jesus lud alle seine Freunde zu einer Party ein.,"Sie sagten, seine Möbel sahen gut aus.",Seine Freunde polierten seine Möbel.,1
17,Ich ging kürzlich zum Laden.,"Als ich an einer Ausfahrt vorbeikam, spürte ich einen kalten, harten Stahl auf meinem Arm.","Ich war schockiert, dass ich von einem Auto angefahren wurde!","Der Fahrer entschuldigte sich sehr, nachdem er gesehen hatte, dass ich getroffen wurde.","Ich sagte, es sei okay und ging dann weg.",Der Fahrer des Wagens wurde sehr wütend auf mich.,1
18,Ginas Schwester hat sich an Glasschnitten den Knöchel geschnitten.,Das Blut lief ihr den Fuß runter und in ihren Schuh.,"Als sie das Blut sah, rannte sie nach Hause.","Gina lief hinter ihr her, konnte aber nicht mithalten.","Als sie nach Hause kamen, hatten sie alle Eis.",Ginas Schwester ist zum Arzt gegangen.,2
19,Ein kleiner Junge war in der dritten Klasse.,"Er war sehr schlau, aber es fiel ihm schwer, zu lesen.","Immer wenn er laut las, lachten seine Klassenkameraden über ihn.","Er begann, jeden Tag zu lesen.","Der kleine Junge akzeptierte, dass er sich nie verbessern würde.",Am Ende des Jahres machte er einen guten Lesetest.,2
20,Rosie's Klasse hatte eine kleine Party.,"Sie beschloss, für alle einen Obstsalat zu machen.","Sie gab viel Geld für die Früchte aus und viel Zeit, sie zu bereiten.",Am Tag der Party schöpfte sie eine große Schüssel Fruchtsalat auf.,Rosie's Klasse hat den Obstsalat geteilt.,Rosie hatte die Schale mit dem Obstsalat zu Hause im Kühlschrank.,1
21,"Kelly war froh, ihr neues Telefon zu haben.",Sie hat ihn überall mitgenommen.,Leider hat sie es zerschlagen.,Zum Glück konnte sie es reparieren lassen.,Der Laden hat ihr einen fairen Preis dafür gegeben.,Kelly hat ein neues Telefon gekauft.,1
22,"Als ich auf dem College war, hatte ich einen älteren Mann kennengelernt.",Ich war 22 und er 38.,Wir hatten eine gute Verständigung und hatten eine gute Zeit zusammen.,"Wir waren die ganze Zeit zusammen, die ich dort war.",Ich habe schöne Erinnerungen an diese Zeit.,Ich habe negative Erinnerungen an diese Zeit.,1
23,Bob wollte im Schulstück spielen.,Er hat die Rolle sorgfältig studiert.,Er hat oft seine Zeilen geübt.,Am Tag des Vorsprechens hat er einen tollen Job gemacht.,Bob war sehr stolz.,Bob schämte sich sehr.,1
