,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Me convertí en un fan de la Ley y el Orden en 2011.,Me estaba recuperando de un derrame cerebral.,Cuando llegué a casa traté de ver todos los episodios.,Fue difícil tratar de ver 20 años de un espectáculo.,"Creo que ""Ley y orden"" es una de las peores series que se han hecho.",Al final las vi todas.,2
1,Todos amaban a Bob porque interpretaba a un personaje popular en una película.,Bob lo odiaba porque no se parecía en nada a ese personaje.,Jim le pidió a Bob que dijera la frase de su personaje.,Fue demasiado para Bob y explotó de rabia.,Bob le dijo al hombre que lo dejara en paz.,Bob le pidió té al hombre.,1
2,Lita quería ver su programa favorito en la televisión.,Sus hijos insistieron en que se sentara a verlo con ellos.,Lita les dijo que tenía tareas que hacer.,Sus hijos arrastraron su canasta de ropa a la sala de estar.,Lita pidió una pizza con pepperoni para el almuerzo.,Lita dobló la ropa mientras veía la televisión.,2
3,Liv saltó cuando fue sorprendida por un fuerte estallido.,Se dio cuenta de que era la bombilla de su cocina quemándose.,Ella sacó un escabel y se subió a él.,Se tambaleó debajo de ella y casi se cae.,Liv decidió cambiar una bombilla en el baño.,Liv entonces cambió la bombilla.,2
4,La madre les dijo a sus hijos que sería la hora del almuerzo en quince minutos.,Pero entonces recibió una llamada importante.,"Mientras ella hablaba, el perro arrastró barro por toda la cocina.","Los niños comenzaron a molestar a su madre, que todavía estaba al teléfono.",La madre se sintió muy frustrada.,El comportamiento de los niños calmó a la madre.,1
5,Héctor siempre ha comprado café en una tienda local antes de ir a trabajar.,Se da cuenta de que su hábito de comprar café es muy caro.,Un día Héctor decide preparar café en su casa.,Está orgulloso de que el café que hace en casa sea tan bueno.,Hector seguía preparando su propio café y ahorraba dinero.,Hector comenzó a comprar más café en Starbucks.,1
6,Kelly se enteró de que había una chica nueva en la escuela.,Cuando entró en la escuela fue a buscarla.,"Cuando la conoció, la invitó a sentarse con ella a almorzar.","Cuando almorzaron, las chicas se hicieron amigas.",Kelly nunca volvió a hablar con ella.,Kelly estaba feliz de haber hecho un nuevo amigo.,2
7,Tommy entrenó duro para correr su primer 5K.,Durante la carrera se sintió frustrado cuando tanta gente lo pasó.,"Cuando escuchó su nombre durante los premios, se sorprendió.",No se dio cuenta de que harían premios por grupos de edad.,Se avergonzaba de no haber recibido ningún reconocimiento.,Estaba orgulloso de terminar primero por edad pero décimo en general.,2
8,Laurie va a su primer baile formal esta noche.,Su cita la recogió y le dio una hermosa rosa.,Laurie llevaba un vestido largo y brillante.,Bailaban y se divirtieron con todos sus amigos.,Laurie se fue a casa llorando.,Laurie terminó la noche besando a su cita.,2
9,Neil estaba explorando los ferrocarriles históricos.,"Él entró en Scranton, Pensilvania.",Se dio cuenta de que era una hermosa estación de tren.,Tomó muchas fotos mientras estuvo allí.,Neil borró todas sus fotos.,Neil guardó las fotos en su computadora.,2
10,Bob temía su primer día de trabajo en un restaurante de comida rápida.,Planeaba esperar para ponerse su llamativo uniforme náutico.,Bob empezó a trabajar haciendo hamburguesas de pescado después de ponerse el uniforme.,"Estaba tan ocupado, que se olvidó de volver a su ropa de calle.",A Bob le encantó tanto el traje que se lo mostró a sus amigos.,Bob salió después del trabajo con el traje de marinero.,2
11,Un amigo vino de visita.,Le dije que mi perro muerde.,Ella no escuchó.,Ella trató de acariciarlo y jugar con él.,Mi perro la mordió.,Mi perro se escapó.,1
12,Lester siempre ha querido ser más artístico.,Un día decide intentar dibujar una flor.,Se sienta frente a una hermosa orquídea y comienza a dibujar.,El dibujo de Lester sale muy bien.,Él cuelga el cuadro en la pared de su sala de estar.,Decide no volver a dibujar nada más.,1
13,A Pablo le gusta comer gusanos.,Leyó un libro en la escuela sobre cómo hacer esto.,Las fría en aceite de oliva.,Le gusta hacer esto al menos una vez al mes.,Pablo disfruta de los gusanos y los considera un manjar.,Pablo no disfruta de comer gusanos.,1
14,Kira siempre amó la cultura japonesa.,Muchas de sus películas favoritas estaban en japonés.,Ella decidió que viajaría allí.,Durante años ahorró dinero para su viaje.,Gastó todo el dinero en zapatos.,Fue el mejor viaje de su vida.,2
