,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Станах фен на ""Закон и ред"" през 2011 г.",Бях в възстановяване от инсулт.,"Когато се прибрах, се опитах да гледам всеки епизод.",Беше трудно да се опиташ да гледаш 20 години шоу.,"Мисля, че ""Закон и ред"" е едно от най-лошите предавания, създавани някога.",Накрая ги гледах всичките.,2
1,"Всички обичаха Боб, защото играеше популярния герой във филма.","Боб го мразеше, защото той не приличаше на този герой.",Джим помоли Боб да каже фразата на героя си.,Това беше твърде много за Боб и той избухна от ярост.,Боб каза на човека да го остави на мира.,Боб помоли човека за чай.,1
2,Лита искаше да гледа любимото си предаване по телевизията.,Децата й настояха да седне и да го гледа с тях.,"Лита им каза, че има работа.",Децата й завлечеха кошницата за пране в хола.,Лита поръча пица с пеперони за обяд.,"Лита сгъна прането, докато гледа телевизия.",2
3,"Лив скочи, когато беше изненадана от силен гръм.","Тя осъзна, че е лампата в кухнята й, която изгаря.",Тя извади стомаха и стъпи върху него.,Тя се разклати под нея и тя почти падна.,Лив реши да смени крушката в банята.,Лив смени крушката.,2
4,"Майка каза на децата си, че след петнадесет минути ще е обяд.",Но тогава тя получи важно обаждане.,"Докато тя говореше, кучето пълнеше кал по цялата кухня.","Децата започнаха да тормозят майка си, която все още говореше по телефона.",Майката се почувства доста разочарована.,Поведението на децата успокоило майката.,1
5,Хектор винаги си купува кафе в местния магазин преди работа.,"Осъзнава, че навика му да купува кафе е много скъпа.",Един ден Хектор решава да си направи кафе вкъщи.,"Гордее се, че кафето, което е направил у дома, е толкова добро.",Хектор продължаваше да си прави кафе и спестяваше пари.,Хектор започна да купува повече кафе от Старбъкс.,1
6,"Кели е разбрала, че има ново момиче в училище.","Когато влезе в училището, тя отиде да я търси.","Когато я срещна, тя я покани да обядва с нея.","Когато обядваха, момичетата станаха приятели.",Кели никога повече не говори с нея.,"Кели беше щастлива, че си е намерила нов приятел.",2
7,Томи се е тренирал здраво за първите си 5 км.,"По време на състезанието той се чувстваше разочарован, когато толкова много хора го преминаха.","Когато чу името му да се казва по време на наградите, беше шокиран.","Не е осъзнавал, че ще правят награди по възрастови групи.","Срамуваше се, че не е получил признание.","Гордее се, че е първи по възраст, но десети като цяло.",2
8,Лори ще ходи на първия си официален танц тази вечер.,Нейният приятел я взе и й подари красива роза.,Лори носеше дълга блестяща рокля.,Танцуваха и се забавляваха с всичките си приятели.,Лори се прибра плачейки.,Лори завърши вечерта с целувка.,2
9,Нийл е изследвал исторически железници.,"Той е в Скрантън, Пенсилвания.","Осъзнал, че е красиво старо влаково депо.","Той направи много снимки, докато беше там.",Нийл изтри всичките си снимки.,Нийл е запазил снимките в компютъра си.,2
10,Боб се страхуваше от първия си ден в ресторант за бързо хранене.,"Той планираше да изчака, за да облече блестящата си морска униформа.","Боб започна да прави рибни бургери, след като облече униформата.","Беше толкова зает, че забрави да се преоблече в уличните си дрехи.","Боб толкова обичаше костюма, че го показваше на приятелите си.",Боб излезе след работа облечен в морски костюм.,2
11,Приятелка дойде на гости.,"Казах й, че кучето ми хапе.",Тя не ме послуша.,Опита се да го гали и да си играе с него.,Кучето ми я ухапа.,Кучето ми избяга.,1
12,Лестър винаги е искал да бъде по-художествен.,Един ден решава да нарисува цвете.,Седнал е пред красива орхидея и започнал да рисува.,Рисунката на Лестър е много добра.,Той окачва картината на стената в хола си.,Решава никога повече да не рисува нищо.,1
13,Пабло обича да яде червеи.,В училище е чел как се прави това.,Той ги пържи в зехтин.,Обича да прави това поне веднъж месечно.,Пабло обича червеите и ги смята за деликатес.,Пабло не обича да яде червеи.,1
14,Кира винаги е обичал японската култура.,Много от любимите й филми са на японски.,Тя реши да пътува там.,От години спестяваше пари за пътуването си.,Изхарчи всичките пари за обувки.,Беше най-хубавото пътуване в живота й.,2
