,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Eg blei ein fan av ""Law and Order"" i 2011.",Eg var på veg tilbake frå ein slag.,Då eg kom heim prøvde eg å sjå på kvar einaste episode.,"Det var verkeleg vanskelge å sjå ""20 år av røyk"".","Eg trur ""Law and Order"" er ein av dei verste serieene nok.",Til slutt så såg eg på dei alle.,2
1,Alle elska Bob fordi han spelte ein populær karakter i ein film.,Bob hatar det fordi han ikkje er typen som spelar innimellom.,Jim bad Bob om å seia karakteren sin sin kåre.,"Det var for mykje for Bob, og han eksploderte av sinne.",Bob sa til mannen at han skulle la han vera i fred.,Bob bad mannen om te.,1
2,Lita ville sjå på favorittprogrammet sitt på fjernsyn.,Barna hennar insisterte på at ho skulle setja seg og sjå på han saman med dei.,Lita sa til dei at ho hadde ein del oppgåver å gjera.,Barna hennar drog vaskerommet til stua.,Lita bestilte ein pepperoni pizza til lunsj.,Lita foldte vasketøy medan ho såg på TV.,2
3,Liv hoppa over då ho vart skremd av ein kraftig røyst.,Ho skjøna at det var gløden i kjøkkenet hennar som hadde gått av.,Ho fekk ut ein fotstol og trilla på han.,"Ho sveip under seg, og ho gjekk nesten ut av vegen.",Liv bestemte seg for å byta ei gløydlampa på badet.,Liv bytte ut gløydlampa.,2
4,Mamma sa til borna at det var lunsj om femten minutt.,Men så fekk ho ein telefon.,"Medan ho snakka, dra hunden med seg leire over heile kjøkkenet.","Dei små byrja å plaga mor si, som berre sat på telefonen.",Moren vart ganske frustrert.,Barnas oppførsel rote moren ned.,1
5,Hector har alltid kjøpt kaffi i ein lokal butikk før han går på jobb.,Han skjønar at vanen med å kjøpa kaffi er veldig dyr.,Ein dag bestemte Hector seg for å brygge kaffi heime.,Han er stolt av at kaffen han laga heime er så god.,"Hector laga kaffi for seg sjølv, og sparte pengar.",Hector byrja å kjøpe kaffi frå Starbucks.,1
6,Kelly fekk vita at det var ei ny jente på skulen.,"Då ho gjekk inn i skulen, gjekk ho ut og leita etter henne.","Då ho møtte henne, inviterte ho henne til å sitja med henne til lunsj.","Då dei åt lunsj, vart jentene vener.",Kelly snakka aldri med ho att.,Kelly var glad for å ha fått ein ny ven.,2
7,Tommy trena hardt for å springa sine første fem kilometer.,Under løpet vart han frustrert då så mange menneske gjekk forbi han.,"Då han høyrde namnet sitt kalla under prisutdelingar, vart han sjokkert.",Han visste ikkje at dei gav ut pris etter aldersgruppe.,Han skamma seg over at han ikkje blei anerkjend.,"Han var stolt av å ha vore nummer ein i aldersklassen, men tiande i allrekker.",2
8,Laurie skal til sin fyrste dans ikveld.,Datteren hennar tok henne med og gav henne ei vakker rose.,"Laurie hadde på seg ei lang, glittrande klede.",Dei dansa og hadde det gøy med alle venene sine.,Laurie gjekk gråtande heim.,Laurie enda kvelden med å kyssa daten sin.,2
9,Neil var på leting etter historiske jernbanelinjer.,"Han reiste inn i Scranton, Pennsylvania.","Han innsåg at det var eit vakkert, gammalt tog.",Han tok mange bilete medan han var der.,Neil har sletta alle bileta sine.,Neil sparte bilda på datamaskina si.,2
10,Bob var redd for den første dagen han jobba på ein matbutikk.,Han planla å venta med å kle på seg den kåande sjømannsuniformen.,Bob fekk til å laga fiskburgar etter å ha sett på seg uniformen.,"Han var så oppteken, han gløymde å skifte tilbake til gateklæret sitt.",Bob likte kleda så mykje at han viste dei til venene sine.,Bob gjekk ut etter jobb med sjømannskostyme på.,2
11,Ein ven kom på besøk.,Eg sa til henne at hunden min bit.,Ho høyrde ikkje på.,"Ho prøvde å leika med han, og ho fekk ein blekk.",Hunden min bit henne.,Hunden min rømde bort.,1
12,Lester har alltid vore meir kunstnerisk.,Ein dag bestemte han seg for å teikna eit bilete av ein blomst.,Han set seg framfor ein vakker orkidé og tek tekst.,Lester teiknar det veldig godt.,Han heng ut biletet på veggen i stua si.,Han bestemte seg for å ikkje teikne meir.,1
13,Pablo likar å eta ormar.,Han las om dette i ein bok på skulen.,Han stekt dei i olivenolje.,Han likar å gjera dette minst ein gong i månaden.,Pablo likte orm og såg på dei som ein delikatesse.,Pablo liker ikkje å eta ormar.,1
14,Kira har alltid elska japansk kultur.,Mange av dei yndlingsfilmane hennar var på japansk.,Ho bestemte seg for å reise dit.,I mange år spara ho pengar til reisa si.,Ho brukte alle pengane på sko.,Det var den beste reisa ho nokon gong har hatt.,2
15,Glen var i stemning for å gå ein tur.,Han tok på seg jakka si og gjekk ut.,"Medan han gjekk på fortauet, snubla han og braut kneet sitt opp.",Glen reiste seg opp att og limpa heim til seg.,Glen spelte sitt beste maraton noensinne.,Glen sa at han aldri ville gå igjen.,2
16,Jesus brukte dagen på å polera møblane.,Då det nærma seg natt såg han på arbeidet han hadde gjort.,Alt såg skinande og nytt ut.,Jesus inviterte alle venene sine over til ei fest den kvelden.,Dei sa at møblet hans såg fint ut.,Vennane hans polerte møblene hans.,1
17,Eg gjekk til butikken nyleg.,"Då eg gjekk forbi ei utgang, kjende eg koldt, hardt stål på armen min.",Eg vart sjokkert over at eg blei slått av ein bil!,Sjåføren var veldig oppriktig etter han såg at eg vart skadd.,"Eg sa at det var greit, og så gjekk eg.",Sjåføren av bilen vart veldig sint på meg.,1
18,Sysken til Gina skar ankeln på glasskjort.,Blodet rann nedover foten hennar og inn i skoen hennar.,Då ho såg blodet sprang ho heim.,"Gina sprang etter henne, men kunne ikkje halde på.","Då dei kom heim, åt dei alle is.",Sysken til Gina gjekk til legen.,2
19,Ein liten gutt var i tredje klasse.,"Han var veldig smart, men hadde vanskeligheter med å lesa.","Når han las høgt, lo klassekameratane av han.",Han byrja å trene lese lese lese dagen etter.,Den vesle gutten aksepterte at han aldri ville bli betre.,På slutten av året gjorde han det godt på lesestesten sin.,2
20,Rosie hadde ein liten fest.,Ho bestemte seg for å laga ein fruktsalate for alle.,Ho brukte mykje pengar på frukt og tid på å laga den.,På dagen for festen skumpa ho opp ei stor skål med fruktsalate.,Klassen til Rosie delte fruktsalaten.,Rosie hadde skålen med fruktsalate i kjøleskåpet heime.,1
21,Kelly var glad for å ha den nye telefonen sin.,Ho tok med seg den med seg kvar og ein stad.,Dessverre øydelagde ho det.,Heldigvis klarde ho å fiksa det.,Butikken gav henne ein rettferdig pris for å laga han.,Kelly kjøpte ei ny telefon.,1
22,"Då eg var på college, hadde eg møtt ein eldre mann.","Eg var 22 år gamal, og han var 38.",Vi hadde ei god forståing og hadde ein god tid saman.,Me vart verande saman heile tida eg var der.,Eg har gode minner frå den tida.,Eg har negative minner om den tida.,1
23,Bob ville vera i skolespelen.,Han studerte delen nøye.,Han øvde replikkane sine ofte.,Han gjorde ein strålande jobb med ho.,Bob var veldig stolt.,Bob skamma seg mykje.,1
24,Jackie har vorte utnemnd til å halde vakt over salen i 8. klasse.,Ho er misunneleg i heile klassen.,Klassekameratar sette ofte jobben hennar i fare.,Dei ville stela avgangskortene til Jackie.,Rektoren suspenderte dei bråkande klassekameratane.,Klassekameratane hennar fekk prisar for atferd.,1
25,Far min hadde nettopp kjøpt ei ny bil.,For å feira det gjekk me alle på ein tur.,Ein annan bil gjekk forbi ein stoppskilt og krasja inn i oss.,Eg slo på vindauga så hardt at han vart broten.,Eg gjekk ut av rommet og fekk vita at eg og far min hadde det bra.,Vi vart begge trilla ned av bilen.,1
26,"Niesen min elskar filmen ""Frosen"".",Ho vil alltid ha den på seg.,Ho går rundt i huset og syng.,"Ho elskar å skrike og kjem alltid til å seie, ""Lat det gå!""",Ho syngjer det om og om igjen.,Ho elskar sport og ikkje har noko imot prinsesse.,1
27,Alex gjekk på banen og hadde to poeng att.,"Han såg på resultattavla, og såg at det berre var fem sekunder igjen.",Han prøvde å finna ein mann som kunne opna hjartet sitt.,Dei forsvarsmennene heldt på like sterkt som lim.,"Blåsen gjekk, og laget hans vann kampen.",Han prøvde å kasta tre poeng og mista.,2
28,Eg kom inn i biblioteket og sette meg.,"Då eg såg meg rundt, såg eg ein liten.",Han stirra på meg ei stund.,Eg vart frustrert og reiste meg frå sitja.,Eg brydde meg ikkje om kva han sa.,Eg spurde han kva problemet var.,2
29,Iva og Brant prøvde å bli med barn.,Dei hadde prøvd i seks månader utan å lykkes.,På apotektsmøtet sitt uttrykte dei motløyse.,Men så såg dei at doktoren smilte mykje.,Brant kansellerar planen sin for å kidnappa eit barn.,Paret vil vera glade når dei veit at dei har ein baby på veg.,2
30,Catherine har alltid vore fascinert av curling.,Catherine elskar å sjå idrettsutøvarane på TV.,Ein dag bestemte Catherine seg for å gå på ein curling trening.,Under treninga bød ein av idrettsutøvarane Catherine til å spela.,Catherine byrja då å träna kvar dag og vart god på det.,Catherine meinte at curling såg keisam ut.,1
31,Francis har alltid sett fram til å læra å sjåførja.,Til slutt er han gammal nok til å få førarlegvisens.,Francis studerar veldig hardt for å få ein lisens.,Han klarar sjåførprøva lett.,Francis er verkeleg stolt av det han har gjort.,Francis bestemde at han heller ville ta offentleg transport.,1
32,I går hadde eg ein flott stund på å sjå Nøtskjellaren.,Eg elskar det.,Som dansarane prydde scenen var det vakkert.,Eg følde meg æra over å ha sett showet.,Eg svor at eg aldri skulle sjå han igjen.,Eg ville sjå det igjen.,2
33,Eg vakna til timen min klokka 8:30 om morgonen.,Eg stod somnarleg opp av senga og tok ei dusj.,Eg åt fort frokost og tok til å gå til klassen.,Etter ein halv time på skule gjekk eg tilbake til rommet mitt.,Eg bestemte meg for å gå tilbake til klassen igjen.,"Då eg kom dit, tok eg ein lur.",2
34,Gary ville få Lisas oppmerksomhet.,Ein dag bestemte han seg for å skriva eit dikt til Lisa.,"Dagen etter i skulen, ser Gary Lisa i hallen.",Gary leitar verkeleg til Lisa og gjev henne dikt.,"Gary slår Lisa hardt, og går bort.",Lisa innreknar at ho òg er forelskad i Gary.,2
35,Carlos har alltid ynskt å vitja Frankrike.,Han bestemde seg for at han skulle læra å tala fransk før han gjekk.,Han tek timar om kvelden og studerar veldig hardt.,Carlos kan endeleg snakka fransk ganske godt.,Carlos tek eit fly til Australia.,Carlos nyttar fransk på ein måte han kan på reisa til Paris.,2
36,Lars hadde alltid ynskt å prøva fotografi.,"Venen hans var ein framtredande fotograf, men han hadde aldri prøvd det.","Ein dag kjøpte han eit enkelt, men høgkvalitets, kamera.",Frå den dagen av tok Lars bilder av naturen kvar dag.,Lars vart forelskad i fotografi.,Lars hata fotografi.,1
37,Eg kjøpte ein fjernsyn i ein elektronikkbutikk.,Det er ein stor flatskjerm med ein høgt definert kvalitetsbilde.,"Ein av dei ansatte overtala meg til å kjøpe ei garanti på den, for ein gongs skuld.",Ei veke seinare fall fjernsynet av veggen min og gjekk i stykker.,Eg fekk laga den med garanti.,Den ansatte blei seinare funne død.,1
38,Ryan var i ein park.,Og han såg ein liten jente med ein ballong.,"Då han gjekk ut av parken, såg han den same ballongen sitja fast i eit tre.",Han klatrer opp i treet for å henta ballongen.,Ryan poppa ballongen med vilje.,Ryan fann jenta og gav henne ballongen ho hadde tapt.,2
39,Manageren hennar sa at ho måtte lasta opp CV-en hennar.,Ho merka at CV-en hennar ikkje var formata riktig.,Ho overførte alt innhaldet til den rette malen.,"Ho la til informasjon om den siste jobben sin, og oppdaterte CV-en.",Så sendte ho det til forvaltaren sin.,Jen hata å vaska opplag.,1
