,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,ကျွန်တော်ဟာ ၂၀၁၁ ခုနှစ်မှာ Law and Order ကို အားပေးလာသူပါ။,လေဖြတ်ပြီး ပြန်ကောင်းလာခဲ့တယ်။,အိမ်ရောက်တော့ ဇာတ်ဝင်ခန်းတိုင်း ကြည့်တယ်။,နှစ် ၂၀ စာပွဲကြည့်ဖို့ ကြိုးစားတာ မခံနိုင်အောင် ခက်ခဲခဲ့တယ်။,ကျွန်မထင် Law and Order ဟာ အဆိုးဆုံးပွဲတွေထဲက တစ်ခုပါ။,နောက်ဆုံးမှာ အကုန်လုံးကို ကြည့်ခဲ့တယ်။,2
1,Bob ဟာ ရုပ်ရှင်ထဲမှာ နာမည်ကြီး ဇာတ်ကောင်ဖြစ်ခဲ့လို့ လူတိုင်းက သူ့ကို ချစ်ခဲ့ကြတယ်။,Bob က ဒါကို မုန်းတယ်။ အကြောင်းက သူက ဒီဇာတ်ကောင်နဲ့ လုံးဝမတူလို့ပါ။,Jim က Bob ကို သူ့ဇာတ်ကောင်ရဲ့စကားစုကို ပြောခိုင်းတယ်။,ဒါဟာ Bob အတွက်တော့ တော်တော်လေးကို ကြီးမားလွန်းပါတယ်၊ သူ ဒေါသထွက်ပြီး ဖောက်ခွဲလိုက်တယ်။,Bob က သူ့ကို နေသာထိုင်သာ ထားဖို့ ပြောတယ်။,ဘော့က အဲဒီလူကို လက်ဖက်ရည်တိုက်ဖို့ ပြောတယ်။,1
2,Lita ဟာ သူမ အကြိုက်ဆုံး တီဗီရှိုးကို ကြည့်ချင်တယ်။,ကလေးတွေက သူမကို ထိုင်ကြည့်ခိုင်းတယ်။,Lita က အိမ်မှုကိစ္စတွေ လုပ်ဖို့လိုတယ်လို့ သူတို့ကို ပြောတယ်။,ကလေးတွေက အဝတ်လျှော်စက်ကို အခန်းထဲ ဆွဲထည့်လိုက်ကြတယ်,Lita က နေ့လည်စာအတွက် ငရုတ်သီးနဲ့ ပီဇာတစ်လုံး မှာတယ်။,Lita ဟာ တီဗီကြည့်နေရင်း အဝတ်လျှော်စက်ကို ခေါက်တယ်။,2
3,အသံကျယ်ကြီးနဲ့ ပွင့်လာတော့ Liv က ခုန်ချလိုက်တယ်။,မီးက မီးအိမ်ထဲက မီးသီးကို လောင်ကျွမ်းစေတာလို့ သူသိခဲ့တယ်။,သူမဟာ ခြေဖဝါးအောက်မှာ ထိုင်ခုံကိုယူပြီး ခြေကိုနင်းတယ်။,သူ့အောက်မှာ တုန်ယင်နေတော့ သူမ လဲကျလုလုပါ။,Liv ဟာ ရေချိုးခန်းထဲက မီးလုံးတစ်လုံးကို လဲဖို့ ဆုံးဖြတ်လိုက်တယ်။,Liv က မီးလုံးကို လဲလိုက်တယ်,2
4,မိခင်က ကလေးတွေကို ၁၅ မိနစ်အတွင်း နေ့လည်စာစားဖို့ပြောတယ်။,ဒါပေမဲ့ နောက်မှာ အရေးပါတဲ့ ဖုန်းခေါ်သံ တစ်ခု ရလာတယ်။,သူပြောနေတုန်း ခွေးက မီးဖိုချောင်တစ်ခုလုံး ရွှံ့နွံနဲ့ ပွတ်သပ်တယ်။,ကလေးတွေက သူတို့အမေကို ဖုန်းဆက်ပြီး နှောင့်ယှက်နေကြတယ်။,[စာမျက်နှာ ၂၃ ပါ ရုပ်ပုံ],ကလေးတွေရဲ့အပြုအမူက မိခင်ကို စိတ်အေးစေတယ်။,1
5,Hector ဟာ အလုပ်မစခင် ဒေသတွင်းက ကော်ဖီဆိုင်မှာ အမြဲ ကော်ဖီသောက်တယ်။,ကော်ဖီသောက်တဲ့ အကျင့်ဟာ စျေးကြီးတာကို သူနားလည်တယ်။,တစ်နေ့မှာ Hector ဟာ အိမ်မှာ ကော်ဖီချက်ဖို့ ဆုံးဖြတ်လိုက်တယ်။,သူ အိမ်မှာချက်တဲ့ ကော်ဖီဟာ အရမ်းကောင်းတာကို ဂုဏ်ယူတယ်။,Hector က သူ့ငွေကို ချွေတာရင်း ကော်ဖီကို သူကိုယ်တိုင်ချက်ခဲ့တယ်။,Hector က Starbucks က ကော်ဖီတွေ စဝယ်လာတယ်။,1
6,Kelly ဟာ ကျောင်းမှာ မိန်းကလေး အသစ်တစ်ယောက် ရှိနေတာ သိလိုက်တယ်။,ကျောင်းကို သူမရောက်တော့ သူမကို ရှာနေခဲ့တယ်။,သူမနဲ့တွေ့တော့ သူမနဲ့ နေ့လည်စာမှာ အတူထိုင်ဖို့ ဖိတ်တယ်။,သူတို့ နေ့လည်စာစားချိန်မှာ၊ မိန်းကလေးတွေဟာ မိတ်ဆွေတွေ ဖြစ်လာကြတယ်။,Kelly က သူမကို နောက်တစ်ခါ မပြောခဲ့ဘူး။,မိတ်ဆွေသစ်ရတာကို Kelly ပျော်ခဲ့တယ်။,2
7,Tommy ဟာ သူ့ရဲ့ပထမဆုံး ၅ ကီလိုမီတာ ပြေးပွဲအတွက် ကြိုးစားလေ့ကျင့်ခဲ့တယ်။,[စာမျက်နှာ ၂၃ ပါ ရုပ်ပုံ],သူ့နာမည်ကို ဆုပေးပွဲမှာ ကြားတော့ သူ လန့်သွားခဲ့တယ်။,အသက်အရွယ်အလိုက် ဆုပေးမယ်ဆိုတာကို သူနားမလည်ခဲ့ဘူး။,သူ့အတွက် အသိအမှတ်ပြုမှု မရတာကို ရှက်နေခဲ့တယ်။,သူဟာ အသက်အရွယ်အလိုက် ပထမနေရာကို ရယူနိုင်ခဲ့တာကို ဂုဏ်ယူခဲ့ပေမဲ့၊ သူဟာ တစ်တန်းလုံးမှာ ဆယ်ဦးမြောက်ပါ။,2
8,Laurie ဟာ ဒီည ပထမဆုံး တရားဝင် ကပွဲကို သွားတော့မယ်။,သူမနဲ့အတူ ချိန်းတဲ့လူက သူမကို လှပတဲ့ နှင်းဆီတစ်ပွင့်ပေးတယ်။,Laurie ဟာ ရှည်လျားပြီး တောက်ပတဲ့ ဝတ်စုံတစ်ထည် ဝတ်ခဲ့တယ်။,သူတို့အဖော်တွေနဲ့ ကကြ၊ ပျော်ပွဲဖွဲ့ကြတယ်။,Laurie ဟာ အိမ်ပြန်တော့ ငိုနေခဲ့တယ်။,Laurie က သူနဲ့ချိန်းတဲ့လူကို နမ်းပြီး ညကို အဆုံးသတ်ခဲ့တယ်။,2
9,Neil ဟာ သမိုင်းဝင် ရထားလမ်းတွေကို စူးစမ်းနေခဲ့တယ်။,"Scranton, Pennsylvania ကို သူ မောင်းဝင်ခဲ့တယ်။",ဒါက လှပတဲ့ ရထားဘူတာကြီး ဖြစ်တာ သူ သဘောပေါက်ခဲ့တယ်။,အဲဒီမှာရှိတုန်း ဓာတ်ပုံတွေ အများကြီး ရိုက်ခဲ့တယ်။,Neil က သူ့ဓာတ်ပုံအားလုံးကို ဖျက်ပစ်လိုက်ပါတယ်။,Neil က ဓာတ်ပုံတွေကို သူ့ကွန်ပျူတာမှာ သိမ်းထားတယ်။,2
10,အစာချက်စား ငါးဆိုင်မှာ ပထမရက်လုပ်ရတာ Bob အတွက်တော့ စိတ်ပျက်စရာပါ။,သူရဲ့ ခမ်းနားတဲ့ ရေတပ်ဝတ်စုံကို ဝတ်ဆင်ဖို့ စောင့်နေဖို့ သူ စီစဉ်ခဲ့တယ်။,Bob ဟာ ယူနီဖောင်းဝတ်ပြီးနောက် ငါးပေါင်မုန့်တွေ လုပ်ရတော့တယ်။,အလုပ်ရှုပ်လွန်းတော့ လမ်းပေါ်က အဝတ်အစားကို ပြန်ဝတ်ဖို့ မေ့သွားတယ်လေ။,Bob က သူ့ဝတ်စုံကို ကြိုက်လွန်းတော့ မိတ်ဆွေတွေကို ပြတယ်။,Bob ဟာ အလုပ်ပြီးသွားတော့ သင်္ဘောသားဝတ်စုံကို ဝတ်ထားတယ်။,2
11,မိတ်ဆွေတစ်ဦး လာလည်ခဲ့တယ်။,ကျွန်မခွေးကိုက်တယ်လို့ ပြောလိုက်တယ်။,သူမ နားထောင်ခဲ့ဘူး။,သူ့ကို ပွေ့ဖက်ပြီး ကစားဖို့ ကြိုးစားတယ်။,ကျွန်မခွေးက သူမကို ကိုက်လိုက်တယ်,ကျွန်မခွေးကတော့ ထွက်ပြေးသွားပြီ။,1
12,Lester ဟာ အမြဲပဲ အနုပညာပိုဆန်ချင်ခဲ့တယ်။,တစ်နေ့မှာ ပန်းတစ်ပွင့်ကို ဆွဲဖို့ ဆုံးဖြတ်လိုက်တယ်။,လှပတဲ့ ပန်းသီးတစ်ပွင့်ရှေ့မှာ ထိုင်ပြီး ပုံစဆွဲတယ်။,Lester ရဲ့ ပုံကြမ်းက သိပ်ကို လှပါတယ်။,သူ့ဧည့်ခန်းနံရံမှာ ဒီပုံကို ကပ်ထားတယ်။,နောက်တစ်ခါ ဘယ်တော့မှ ဘာတစ်ခုမှ မဆွဲတော့ဘူးလို့ ဆုံးဖြတ်လိုက်တယ်။,1
13,Pablo က တီကောင်တွေ စားတာ ကြိုက်တယ်။,ဒါကို ဘယ်လိုလုပ်ရမယ်ဆိုတာ ကျောင်းစာအုပ်မှာ သူဖတ်ခဲ့တယ်။,သံလွင်ဆီထဲမှာ ကြော်တယ်။,အနည်းဆုံး တစ်လတစ်ကြိမ်တော့ လုပ်ချင်တာပဲလေ။,Pablo က တီကောင်တွေကို နှစ်သက်ပြီး အရသာရှိတယ်လို့ မြင်တယ်။,Pablo ဟာ တီကောင်တွေကို မစားချင်ပါ။,1
14,Kira ဟာ ဂျပန်ယဉ်ကျေးမှုကို အမြဲ ကြိုက်ခဲ့တယ်။,သူကြိုက်တဲ့ ရုပ်ရှင်အများအပြားဟာ ဂျပန်မှာပါ။,သူမ အဲဒီကို သွားမယ်လို့ ဆုံးဖြတ်လိုက်တယ်။,နှစ်များစွာ သူ့ခရီးအတွက် ငွေစုခဲ့တယ်။,သူမဟာ ဖိနပ်အတွက် ပိုက်ဆံအားလုံး သုံးခဲ့တယ်။,သူ့ဘဝရဲ့ အကောင်းဆုံးခရီးပါ။,2
15,Glen က လမ်းလျှောက်ချင်နေတယ်။,သူက ဂျက်ကက်ကို ဝတ်ပြီး အပြင်ထွက်သွားတယ်။,[စာမျက်နှာ ၂၃ ပါ ရုပ်ပုံ],Glen ပြန်ထပြီး သူ့အိမ်ကို ပြန်ခြေခြေခြေဆောင့်သွားခဲ့တယ်။,Glen ဟာ သူ့ရဲ့ အကောင်းဆုံး မာရသွန်ပြေးပွဲကို ပြေးခဲ့ဖူးတယ်။,Glen က နောက်တစ်ခါ ဘယ်တော့မှ မလျှောက်တော့ဘူးလို့ ကျိန်ဆိုခဲ့တယ်။,2
16,Jesus ဟာ ပရိဘောဂတွေကို အချောသတ်ရင်း တစ်နေ့လုံး ကုန်ဆုံးခဲ့တယ်။,ညဦးယံရောက်လာတော့ သူလုပ်ထားတဲ့ အလုပ်ကို ပြန်ကြည့်လိုက်တယ်။,အရာရာဟာ တောက်ပပြီး အသစ်လိုဖြစ်နေတယ်။,ဒီညနေခင်းမှာ သူ့မိတ်ဆွေအားလုံးကို ပါတီတစ်ခုဆီဖိတ်တယ်။,သူတို့ပြောတာက သူ့အိမ်သာတွေဟာ လှပတယ်လို့ထင်တယ်တဲ့။,သူ့သူငယ်ချင်းတွေက သူ့ပရိဘောဂတွေကို အသားပေးတယ်။,1
17,မကြာခင်က ကုန်စုံဆိုင်ကို လမ်းလျှောက်သွားတုန်း,ကျွန်မ ထွက်ပေါက်ကို ဖြတ်လျှောက်စဉ်မှာ ကျွန်မ လက်မောင်းမှာ အေးစက်တဲ့ သံမဏိလို ခံစားရတယ်။,ကားတိုက်ခံရတော့ ကျွန်တော် လန့်သွားမိတယ်။,ကားမောင်းသူက ကျွန်တော့ကို ဝင်တိုက်မိတာမြင်တော့ စိတ်မကောင်းဖြစ်ခဲ့တယ်။,အဆင်ပြေတယ်လို့ သူတို့ကိုပြောပြီး ထွက်လိုက်တယ်။,ကားမောင်းသူက ကျွန်တော့်ကို အရမ်းဒေါသထွက်တယ်။,1
