input_sentence_1;input_sentence_2;input_sentence_3;input_sentence_4;sentence_quiz1;sentence_quiz2;answer_right_ending
ངས་ཕྱི་ལོ་ ༢༠༡༡ ལོར་ཁྲིམས་ལུགས་དང་ཁྲིམས་ལུགས་ཀྱི་དགེ་འདུན་པ་ཆགས་ཡོད། ;ངས་གློག་འཁྱུགས་པའི་ནད་ལས་དྲག་གི་འདུག ;ང་ཁྱིམ་དུ་ལོག་པའི་རྗེས་སུ་ངས་གློག་བརྙན་རེ་རེར་བལྟ་བར་བརྩམས་པ་ཡིན། ;ལོ་ངོ་ ༢༠ ཙམ་གྱི་དུས་སྟོན་ལ་བལྟ་རྒྱུ་ནི་དཀའ་བ་ཞིག་རེད། ;ངས་ཁྲིམས་ལུགས་དང་ཁྲིམས་ལུགས་ནི་འཛམ་གླིང་གི་བརྙན་སྟོན་ངན་པ་ཤོས་ཤིག་རེད་བསམ་གྱི་ཡོད། ;མཐའ་མར་ངས་དེ་དག་ཚང་མ་མཐོང་བྱུང་། ;2
བོ བ ་ལ་ཚང་མས་དགའ་ཞི བ ་བྱས་ཡོད། གང་ལགས་ཟེར་ན། ཁོ་ནི་གློག་བརྙན་ནང་དུ་མི་གྲགས་པའི་ཁྱད་ཆོས་ཞིག་འཁྲབ་ཡོད་པས་ཡིན། ;བོབ་ཀྱིས་དེ་ལ་སྡང་སེམས་བྱེད་ཀྱི་ཡོད་ཅིང། ཁོང་མི་འདྲ་བ་ཞིག་ཡིན་པས་རེད། ;ཇིམ་གྱིས་ བོབ་ལ་ཁོའི་ཁྱད་ཆོས་ཀྱི་ཚིག་རྒྱུན་བཤད་པར་ཞུས་པས། ;བོབ་ལ་དེ་བས་ཀྱང་དཀའ་ངལ་ཆེན་པོ་བྱུང་། ཁོ་ཁྲོས་ནས་གློ་བུར་དུ་ཆག་གོ། ;བོབ་ཀྱིས་མི་དེ་ལ་ཁོ་ཁོ་ན་བཞག་ཅེས་ལབ་པ་རེད། ;བོ་བྷོས་མི་ལ་ཆུ་འཐུང་རོགས་ཞུས་པ་རེད། ;1
ལི་ཏ་ལ་མོ་དགའ་བའི་བརྙན་ཟློས་ལ་ལྟ་འདོད་འདུག ;མོ་ལ་ཁོང་ཚོ་མཉམ་དུ་ལྟ་བར་སྡོད་དགོས་ཅེས་བུ་གཉིས་ནས་ནན་གྱིས་ཞུས་སོ། ;ལི་ཏ་ (Lita) ཀྱིས་ཁོང་ཚོར་ལས་ཀ་ཞིག་བྱེད་དགོས་འདུག་ཅེས་བཤད་པས། ;བུ་མོ་ཚོས་གོས་འཁྲུ་སའི་ཙེལ་པོ་དེ་འཚམས་ཁང་དུ་འདྲུད་སོང་། ;ལིས་ཏ་ཡིས་ཉིན་གུང་གི་ཟས་སུ་པེ་པེ་རོ་ནི་ (pepperoni) གྱི་ཕི་ཟཱ་ཞིག་བཤམས་པ་ཡིན། ;ལི་ཏ་ (Lita) གྱིས་བརྙན་འཕྲིན་བལྟ་བཞིན་གོས་བཀྲུས་པའི་ལས་རིམ་བསྒྲུབས་པ་རེད། ;2
ལིཝི་ (Liv) ནི་སྐད་ཤུགས་ཆེན་པོ་ཞིག་ཐོས་ནས་འཇིགས་སྣང་ཆེན་པོ་སྐྱེས་ནས་མཆོངས་སོ། ;མོ་གིས་འདི་ནི་མོའི་ཁང་པའི་ནང་དུ་མེ་འབར་བ་ཞིག་ཡིན་པ་ཤེས་པ་རེད། ;མོ་ལ་རྐང་སྟེགས་ཞིག་ཐོབ་ནས་དེའི་སྟེང་བསྡད་དོ། ;ཁོ་མོའི་འོག་ནས་ས་ལ་གཡོ་འགུལ་བྱུང་སྟེ་མོ་འགྱེལ་བར་ཐག་ཉེར་ཡོད། ;ལིཝི་ (Liv) གྱིས་ཁྲུས་ཁང་དུ་གློག་མེ་ (light bulb) ཞིག་བརྗེ་བར་ཐག་བཅད་འདུག ;དེ་ནས་ལི་ཝིས་གློག་མེ་སོར་བསྒྱུར་བྱས་པ་ཡིན། ;2
ཨ་མས་རང་གི་བུ་ཚོར་ཆུ་ཚོད་ ༡༥ ནང་ཟས་ཟ་གི་ཡིན་ཞེས་བཤད་བྱུང་། ;དེ་ནས་མོ་ལ་གལ་ཆེ་བའི་電話ཞིག་འབྱོར་བྱུང་། ;མོ་ཁ་བཤད་བཞིན་པའི་སྐབས་ཁྱི་དེས་ཁང་མིག་གི་ས་ཆ་ཚང་མ་འདམ་ནས་འདྲུད་སོང་། ;བུ་ཕྲུག་ཚོས་ཨ་མ་ལ་སེམས་ཁྲལ་བྱེད་འགོ་ཚུགས་པ་དང་། ཨ་མ་ནི་ད་དུང་ཡང་ཁ་པར་ནས་སྐད་ཆ་བཤད་བཞིན་འདུག ;ཨ་མ་སེམས་ཕམ་ཆེན་པོ་བྱུང་སོང་། ;བུ་ཕྲུག་གི་སྤྱོད་ལམ་གྱིས་ཨ་མ་ཞི་འཇམ་བཟོས་པ་རེད། ;1
ཧེ་ཊར་གྱིས་ལས་ཀ་མ་བྱེད་པར་སྔ་མོ་ནས་ས་གནས་ཀྱི་ཚོང་ཁང་ཞིག་ནས་ཀ་ཕེབས། ;ཁོང་རང་གིས་ཉོ་བའི་ཀཱ་ཕི་དེ་རིན་པོ་ཆེ་རེད་ཟེར་ཤེས་པ་རེད། ;ཉིན་ཞིག་ཧེ་ཊར་གྱིས་ཁྱིམ་དུ་ཁུ་བ་བཙོས་པར་ཐག་བཅད་པ་རེད། ;ཁོང་རང་ཁྱིམ་དུ་བཟོས་པའི་ཀཱ་ཕི་དེ་ཧ་ཅང་ཡག་པོ་ཡིན་པར་ཁོང་ནི་སྤོབས་པ་ཡོད། ;ཧེ་ཊར་གྱིས་རང་རང་གི་ཀཱ་ཕི་བཙོས་ནས་དངུལ་གསོག་འཇོག་བྱས་པ་ཡིན། ;ཧེ་ཊར་གྱིས་སི་ཊར་བྷག་ནས་ཀ་ཕི་ཉོ་རྒྱུ་མང་དུ་ཕྱིན་པ་རེད། ;1
ཀེལ་ལིས་སློབ་གྲྭར་བུ་མོ་གསར་པ་ཞིག་ཡོད་པ་ཤེས་བྱུང་། ;ཁོ་མོ་སློབ་གྲྭར་འཛུལ་སྐབས་མོ་འཚོལ་བཞིན་ཕྱིན་པ་རེད། ;ཁོང་དང་ཐུག་འཕྲད་བྱས་རྗེས་དགོང་ཟས་ཟ་བར་གདན་འདྲེན་ཞུས་པ་རེད། ;ཁོང་གཉིས་ཉིན་གུང་ཟས་ཟ་སྐབས་བུ་མོ་གཉིས་གྲོགས་པོ་ཆགས་པ་རེད། ;ཀེལ་ལི་ཡིས་མོ་དང་ནམ་ཡང་གཏམ་གླེང་བྱས་མེད། ;ཀེལ་ལིས་གྲོགས་གསར་པ་ཞིག་ཐོབ་པར་དགའ་པོ་བྱུང་། ;2
ཐོ་མི་ཡིས་རང་གི་ཐོག་མའི་རྒྱང་རིང་ ༥༠༠༠ རྒྱུགས་པར་དཀའ་ལས་སྦྱོང་བརྡར་བྱས་པ་ཡིན། ;འགྲན་བསྡུར་སྐབས་ཁོང་ཧ་ཅང་མི་མང་པོས་ཁོང་ནས་ཕར་སོང་བའི་སྐབས་ཁོང་ཡིད་ཕམ་བྱུང་། ;ཁོང་མཚན་སྙན་བསྒྲགས་སྐབས་ཐོས་སྐབས་ཁོང་རྣམ་རྟོག་ལངས་པ་རེད། ;ཁོང་ཚོས་ལོ་ཚད་ཀྱི་རིམ་པ་ལྟར་བྱ་དགའ་སྤྲོད་ཀྱི་ཡོད་པ་མ་ཤེས་པ་རེད། ;ཁོང་ངོས་འཛིན་མ་བྱུང་བར་ངོ་ཚ་བྱུང་། ;ཁོང་ལོ་ཚད་ཀྱི་ཐོག་མ་དང་། སྤྱིར་བཏང་གི་བཅུ་པ་ཐོན་པར་དགའ་པོ་ཡོད། ;2
ལོར་ནི་དེ་རིང་དགོང་མོ་མོ་མོ་རང་གི་ཞབས་བྲོ་འགོ་འཛུགས་ཀྱི་ཡོད། ;མོའི་གྲོགས་པོ་དེས་མོ་ལ་དྲངས་ཏེ་ མེ་ཏོག་མཛེས་པོ་ཞིག་སྤྲད། ;ལོར་ཡེས་གྱོན་གོས་རིང་པོ་འོད་ཟེར་འཕྲོ་བའི་གོས་གྱོན་ཡོད། ;ཁོང་ཚོས་རང་གི་གྲོགས་པོ་རྣམས་དང་ལྷན་དུ་ཞབས་བྲོ་དང་དགའ་སྟོན་བྱས་པ་ཡིན། ;ལོར་ཡེ། ངུ་བཞིན་ཁྱིམ་དུ་ལོག་སོང་། ;ལོར་ཡེས་མོ་ལ་ཐུག་འཕྲད་བྱེད་མཁན་ལ་འོ་སྐྱེལ་ནས་མཇུག་བསྡུད། ;2
ནིལ་གྱིས་རྒྱལ་རབས་ཀྱི་ལྕགས་ལམ་སྐོར་ཞིབ་འཇུག་བྱེད་བཞིན་འདུག ;ཁོང་པེན་སི་ལི་ཝ་ནི་ཡའི་གྲོང་ཁྱེར་སི་ཀརན་ཊོན་དུ་ཕེབས་པ་རེད། ;ཁོང་ངོས་འཛིན་བྱས་པ་དེ་ནི་ རྒྱུན་ལམ་རྙིང་པ་ཞིག་ཡོད་པའི་ཁང་མིག་མཛེས་པོ་ཞིག་རེད། ;ཁོང་དེར་བཞུགས་སྐབས་ པར་མང་པོ་བཏོན་པ་རེད། ;ནིལ་གྱིས་རང་གི་པར་རིས་ཚང་མ་སུབ་པ་རེད། ;ནིལ་གྱིས་རང་གི་གློག་ཀླད་ནང་དུ་གློག་བརྙན་རྣམས་སྦྲགས་བཞག་པ་རེད། ;2
བོབ་ཀྱིས་ཉ་ཚོང་ཁང་ཞིག་ཏུ་ཉིན་དང་པོར་ལས་ཀ་བྱེད་སྐབས་འཇིགས་སྣང་ཆེན་པོ་སྐྱེས་པ་རེད། ;ཁོང་རང་གི་གྲུ་གཟིངས་ཀྱི་གྱོན་གོས་གྱོན་པའི་ཆེད་དུ་སྒུག་སྡོད་བྱེད་རྩིས་ཡོད། ;བོ་བྷས་དམག་ཆས་གྱོན་རྗེས་ཉ་ཤ་ཇ་བཟོ་རྒྱུར་ལས་ཀ་བྱེད་འགོ་ཚུགས་པ་རེད། ;ཁོང་ཧ་ཅང་ལས་ཀ་མང་པོ་བྱེད་ཀྱི་ཡོད་སྟབས་རང་གི་གྱོན་གོས་བརྗེ་བསྒྱུར་བྱེད་རྒྱུ་བརྗེད་སོང་། ;བོ་བྷས་གོས་དེ་ཧ་ཅང་དགའ་བས་རང་གི་གྲོགས་པོ་རྣམས་ལ་བསྟན་པ་རེད། ;བོ་བྷས་ལས་ཀ་ཚར་རྗེས་གྲུ་གཟིངས་ཀྱི་གོས་གྱོན་ནས་ཕྱི་རུ་སོང་འདུག ;2
