,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Ég varð aðdáandi Lög og reglu árið 2011.,Ég var ađ jafna mig eftir heilablóđfall.,Ég reyndi ađ horfa á alla þáttana ūegar ég kom heim.,Ūađ var erfitt ađ reyna ađ fylgjast međ 20 ára sýningu.,"Ég held ađ ""Lög og reglu"" sé einn versti þáttur sem gerđur hefur veriđ.",Ég horfđi á ūær allar.,2
1,Allir elskađi Bob ūví hann lék vinsælda persónu í bíķmynd.,Bob hatađi ūađ ūví hann var alls ekki eins og ūessi persķna.,Jim bað Bob um að segja slagorð persónunnar.,Ūađ var of mikiđ fyrir Bob og hann sprakk úr reiđinni.,Bob sagði við manninn að láta hann í friði.,Bob bað manninn um te.,1
2,Lita vildi horfa á uppáhaldsþáttinn sinn í sjónvarpinu.,Börnin hennar lögðu á því að hún sæti niður og horfði á myndina með þeim.,Lita sagði þeim að hún hefði heimavinnu að gera.,Börnin drógu þvottahylki hennar í stofuna.,Lita pantađi pepperonipizza í hádegismat.,Lita fléttaði þvottinn á meðan hún horfði á sjónvarpið.,2
3,Liv stökk þegar hún var skelfd af háværum popp.,Hún áttađi sig á ađ ūađ væri glerauginn í eldhúsinu hennar sem brann út.,Hún fékk sér stól og steig á hann.,Hún hristist undir henni og hún féll næstum.,Liv ákvað að skipta um ljósleiðara á baðherbergi.,Liv skipti svo um glögguna.,2
4,Móðir sagði börnum sínum að það væri hádegismatur eftir fimmtán mínútur.,En svo fékk hún mikilvægt símtal.,"Á meðan hún talaði, dró hundurinn leðju um allt eldhúsið.",Börnin fóru að pirra mömmu sína sem var ennþá í símanum.,Móðirin var mjög pirruð.,Hegðun barna róaði móðurina.,1
5,Hector hefur alltaf keypt kaffi í kaffihúsi á svæðinu fyrir vinnu.,Hann sér að kaffiinn sem hann er að kaupa er mjög dýr.,Einn daginn ákvað Hector að elda kaffi heima.,Hann er stoltur af því að kaffið sem hann gerði heima sé svo gott.,Hector hélt áfram að búa sér kaffi og sparaði peninga.,Hector fķr ađ kaupa meira kaffi frá Starbucks.,1
6,Kelly komst ađ ūví ađ nũ stúlka var í skķlanum.,Ūegar hún gekk inn í skķlann leitađi hún ađ henni.,Þegar hún hitti hana bauð hún henni að sitja með sér í hádeginu.,Þegar þær borðuðu hádegismat urðu stelpurnar vinkonur.,Kelly talađi aldrei viđ hana aftur.,Kelly var ánægđ međ ađ eignast nũja vini.,2
7,Tommy æfđi sig hart til ađ hlaupa sín fyrstu 5 km.,Á hlaupinu fannst honum það pirrandi að sjá svo marga fara framhjá sér.,Hann var skokkađur ūegar hann heyrđi nafni sitt kallađ á veittum verðlaunum.,Hann vissi ekki ađ ūeir myndu gefa verðlaun eftir aldurshópum.,Hann skammaðist sín fyrir að fá enga viðurkenningu.,Hann var stoltur af því að hafa lokið fyrsta sæti í aldursflokki en tíunda í heild.,2
8,Laurie fer í fyrsta formlega dansinn sinn í kvöld.,Hún fékk rós frá kærasta sínum.,Laurie var í löngum glittrandi kjól.,Ūau dansađu og skemmtu sér međ öllum vinum sínum.,Laurie fór grátandi heim.,Laurie lauk kvöldinu með því að kyssa stefnumótanum sínum.,2
9,Neil var ađ kanna sögulegar járnbrautir.,Hann reiđ inn í Scranton í Pennsylvaníu.,Hann áttađi sig á ađ ūetta var falleg gömul lestarsvæđi.,Hann tók margar myndir ūegar hann var ūar.,Neil eyđilagđi allar myndir sínar.,Neil vistađi myndirnar í tölvunni sinni.,2
