,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"הפכתי למעריץ של ""חוק וסדר"" ב-2011.",התאוששתי משבץ.,כשחזרתי הביתה ניסיתי לצפות בכל פרק.,זה היה קשה לנסות לצפות ב-20 שנות הופעה.,"אני חושב ש""חוק וסדר"" היא אחת התוכניות הגרועות ביותר שנעשו אי פעם.",בסופו של דבר צפיתי בכולם.,2
1,כולם אהבו את בוב כי הוא שיחק דמות פופולרית בסרט.,בוב שנא את זה כי הוא לא היה דומה לדמות הזאת.,ג'ים ביקש מבוב לומר את המשפט המפורסם של הדמות שלו.,זה היה יותר מדי עבור בוב והוא התפוצץ מכעס.,בוב אמר לאיש לעזוב אותו לנפשו.,בוב ביקש מהאיש תה.,1
2,ליטה רצתה לצפות בתוכנית האהובה עליה בטלוויזיה.,הילדים שלה התעקשו שהיא תשב לצפות בו איתם.,ליטה אמרה להם שיש לה מטלות לעשות.,הילדים שלה גררו את סל הכביסה שלה לסלון.,ליטה הזמינה פיצה עם פפרוני לארוחת צהריים.,ליטה קיפלה את הכביסה בזמן שצפתה בטלוויזיה.,2
3,ליב קפצה כשהיא נבהלה על ידי פקק חזק.,היא הבינה שזה היה נורה בבישול שלה נשרף.,היא הוציאה מגבת ודרכה עליה.,זה התנדנד מתחת לה והיא כמעט נפלה.,ליב החליטה להחליף נורה בחדר האמבטיה.,ואז ליב החליפה את הנורה.,2
4,אמא אמרה לילדיה שעד ארוחת הצהריים יגיעו בעוד חמש עשרה דקות.,אבל אז היא קיבלה שיחת טלפון חשובה.,"בזמן שהיא דיברה, הכלב גרר בוץ בכל המטבח.","הילדים התחילו להציק לאמא שלהם, שעדיין הייתה בטלפון.",האם הרגישה די מתוסכלת.,התנהגות הילדים הרגיעה את האמא.,1
5,הקטור תמיד קנה קפה בחנות מקומית לפני העבודה.,הוא מבין שהרגל קניית הקפה שלו יקר מאוד.,יום אחד הקטור מחליט להכין קפה בבית.,הוא גאה בכך שהקפה שהוא מכין בבית כל כך טוב.,הקטור המשיך להכין את הקפה שלו בעצמו וחסך כסף.,הקטור החל לקנות יותר קפה מסטארבקס.,1
6,קלי גילתה שיש בחורה חדשה בבית הספר.,כשהיא נכנסה לבית הספר היא הלכה לחפש אותה.,"כשפגשה אותה, היא הזמינה אותה לשבת איתה לארוחת צהריים.","כשהם אכלו ארוחת צהריים, הבנות הפכו לחברות.",קלי לא דיברה איתה יותר.,קלי שמחה שהייתה לה חברה חדשה.,2
7,"טומי התאמן קשה כדי לרוץ את 5 ק""מ הראשונים שלו.",במהלך המירוץ הוא הרגיש מתוסכל כשכל כך הרבה אנשים עברו אותו.,כששמע את שמו נקרא במהלך פרסים הוא היה בהלם.,הוא לא הבין שהם יעשו פרסים לפי קבוצות גיל.,הוא התבייש שלא קיבל שום הכרה.,הוא היה גאה לסיים ראשון לפי גיל אבל עשרה בכלליות.,2
8,לורי הולכת לנשף הרשמי הראשון שלה הערב.,הדייט שלה לקח אותה ונתן לה ורד יפה.,לורי לבשה שמלה ארוכה ומרצחת.,הם רקדו והיה להם כיף עם כל החברים שלהם.,לורי הלכה הביתה בוכה.,לורי סיים את הערב על ידי נשיקת הדייט שלה.,2
9,ניל חקר מסילות רכבת היסטוריות.,"הוא רכב לסקרנטון, פנסילבניה.",הוא הבין שזו תחנת רכבת ישנה ויפה.,הוא צילם הרבה תמונות בזמן שהוא היה שם.,ניל מחק את כל התמונות שלו.,ניל שמר את התמונות במחשב שלו.,2
