,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Saya menjadi peminat Law and Order pada tahun 2011.,Saya sedang pulih dari strok.,Apabila saya sampai di rumah saya cuba untuk menonton setiap episod.,Sukar untuk menonton 20 tahun pertunjukan.,Saya fikir Law and Order adalah salah satu rancangan terburuk yang pernah dibuat.,Akhirnya saya menonton mereka semua.,2
1,Semua orang suka Bob kerana dia memainkan watak popular dalam filem.,Bob membencinya kerana dia tidak seperti watak itu.,Jim meminta Bob untuk mengatakan frasa wataknya.,Bob terlalu marah dan dia meletup.,Bob memberitahu lelaki itu untuk meninggalkan dia sendiri.,Bob meminta lelaki itu untuk minum teh.,1
2,Lita mahu menonton rancangan kegemarannya di televisyen.,Anak-anaknya berkeras untuk dia menonton bersama mereka.,Lita memberitahu mereka bahawa dia mempunyai kerja-kerja rumah yang perlu dilakukan.,Anak-anaknya menyeret bakul pakaian ke ruang tamu.,Lita pesan pizza pepperoni untuk makan tengah hari.,Lita melipat pakaian semasa menonton televisyen.,2
3,Liv melompat ketika dia terkejut dengan bunyi yang kuat.,Dia sedar bahawa itu adalah mentol lampu di dapurnya yang terbakar.,Dia keluar dari kaki dan melangkah ke atasnya.,Ia bergoyang di bawahnya dan dia hampir jatuh.,Liv memutuskan untuk menukar mentol lampu di bilik mandi.,Liv kemudian menukar mentol lampu.,2
4,Ibu memberitahu anak-anaknya bahawa ia akan menjadi waktu makan tengah hari dalam lima belas minit.,Tapi kemudian dia mendapat panggilan telefon penting.,"Semasa dia bercakap, anjing itu menyeret lumpur di seluruh dapur.","Anak-anak mula mengganggu ibu mereka, yang masih di telefon.",Ibu berasa agak kecewa.,Tingkah laku anak-anak menenangkan ibu.,1
5,Hector selalu beli kopi di kedai tempatan sebelum bekerja.,Dia sedar bahawa kebiasaan membeli kopi itu sangat mahal.,Suatu hari Hector memutuskan untuk membuat kopi di rumah.,Dia bangga kerana kopi yang dibuatnya di rumah begitu baik.,Hector terus menyeduh kopi sendiri dan menjimatkan wang.,Hector mula membeli kopi dari Starbucks.,1
6,Kelly tahu ada gadis baru di sekolah.,Apabila dia berjalan ke sekolah dia pergi mencari dia.,"Apabila dia bertemu dengannya, dia menjemput dia untuk duduk bersamanya di makan tengah hari.","Apabila mereka makan tengahari, gadis-gadis menjadi kawan.",Kelly tidak pernah bercakap dengannya lagi.,Kelly gembira kerana dapat kawan baru.,2
7,Tommy berlatih keras untuk berlari 5K pertamanya.,"Semasa perlumbaan, dia berasa kecewa apabila begitu banyak orang melewatinya.",Apabila dia mendengar namanya dipanggil semasa anugerah dia terkejut.,Dia tidak menyedari mereka akan melakukan anugerah oleh kumpulan umur.,Dia malu kerana tidak mendapat pengiktirafan.,Dia bangga menamatkan perlumbaan sebagai yang pertama dalam kategori umur tetapi ke-10 secara keseluruhan.,2
8,Laurie akan ke tarian rasmi pertamanya malam ini.,Rakan kencan dia menjemputnya dan memberinya mawar yang indah.,Laurie memakai gaun berkilau panjang.,Mereka menari dan berseronok dengan semua kawan-kawan mereka.,Laurie pulang sambil menangis.,Laurie mengakhiri malam dengan mencium teman kencannya.,2
9,Neil sedang meneroka kereta api bersejarah.,"Dia menunggang ke Scranton, Pennsylvania.",Dia sedar ia adalah sebuah depot kereta api lama yang indah.,Dia mengambil banyak gambar semasa dia berada di sana.,Neil memadam semua fotonya.,Neil menyimpan gambar-gambar di komputernya.,2
10,Bob takut hari pertama bekerja di tempat makan ikan makanan segera.,Dia merancang untuk menunggu untuk memakai pakaian seragam lautnya.,Bob mula membuat burger selepas memakai pakaian seragam.,"Dia begitu sibuk, dia lupa untuk menukar kembali ke pakaian jalanannya",Bob sangat suka pakaian itu sehingga dia menunjukkannya kepada kawan-kawannya.,Bob keluar selepas bekerja memakai pakaian pelaut.,2
11,Seorang kawan datang melawat.,Saya beritahu dia anjing saya menggigit.,Dia tidak mendengar.,Dia cuba membelai dan bermain dengannya.,Anjing saya menggigitnya.,Anjing saya lari.,1
12,Lester sentiasa mahu menjadi lebih artistik.,Dia memutuskan untuk cuba melukis gambar bunga suatu hari nanti.,Dia duduk di hadapan anggrek yang indah dan mula melukis.,Lukisan Lester sangat bagus.,Dia menggantung gambar itu di dinding di ruang tamu.,Dia memutuskan untuk tidak melukis apa-apa lagi.,1
13,Pablo suka makan cacing.,Dia baca buku di sekolah tentang cara melakukannya.,Dia goreng mereka dalam minyak zaitun.,Dia suka buat ini sekurang-kurangnya sebulan sekali.,Pablo suka cacing dan menganggapnya sebagai makanan istimewa.,Pablo tidak suka makan cacing.,1
14,Kira sentiasa suka budaya Jepun.,Banyak filem kegemaran dia dalam bahasa Jepun.,Dia memutuskan untuk pergi ke sana.,Selama bertahun-tahun dia menyimpan wang untuk perjalanannya.,Dia menghabiskan semua wang untuk kasut.,Ia adalah perjalanan terbaik dalam hidupnya.,2
15,Glen dalam mood untuk berjalan-jalan.,Dia memakai jaketnya dan keluar.,"Semasa berjalan di trotoar, dia tersandung dan lututnya pecah.",Glen berdiri semula dan berjalan ke rumahnya.,Glen berlari masa maraton terbaiknya.,Glen bersumpah dia takkan berjalan lagi.,2
16,Jesus menghabiskan hari menggilap perabot.,Ketika malam mendekati dia mengkaji kerja yang telah dilakukannya.,Semuanya kelihatan berkilat dan baru.,Yesus menjemput semua rakannya untuk pesta pada malam itu.,Mereka kata perabotnya kelihatan bagus.,Kawan-kawan dia yang menggilap perabotnya.,1
17,Saya berjalan ke kedai baru-baru ini.,"Semasa saya melewati pintu keluar, saya merasakan sejuk, besi keras di lengan saya.",Saya terkejut kerana saya terhempas kereta!,Pemandu itu sangat meminta maaf selepas dia melihat saya tertabrak.,Saya beritahu mereka itu tak apa-apa dan kemudian pergi.,Pemandu kereta itu menjadi sangat marah pada saya.,1
18,Adik Gina memotong pergelangan kakinya pada kaca pecah.,Darah mengalir ke kakinya dan ke kasutnya.,Apabila dia melihat darah dia berlari pulang.,"Gina berlari di belakangnya, tapi tak dapat mengikutinya.",Apabila mereka sampai di rumah mereka semua makan ais krim.,Adik Gina pergi ke doktor.,2
19,Seorang budak lelaki kecil berada di gred ketiga.,Dia sangat pintar tetapi bergelut dengan membaca.,"Apabila dia membaca dengan kuat, rakan sekelasnya menertawakannya.",Dia mula berlatih membaca setiap hari.,Anak lelaki itu menerima bahawa dia tidak akan menjadi lebih baik.,"Pada akhir tahun, dia berjaya dalam ujian membaca.",2
20,Kelas Rosie mengadakan parti kecil.,Dia memutuskan untuk membuat salad buah untuk semua orang.,Dia menghabiskan banyak wang untuk buah-buahan dan banyak masa untuk menyiapkannya.,Pada hari parti dia mengambil mangkuk besar salad buah-buahan.,Kelas Rosie berkongsi salad buah.,Rosie menyimpan mangkuk salad buah di dalam peti sejuknya di rumah.,1
21,Kelly gembira kerana dapat telefon baru.,Dia bawa ke mana-mana.,Malangnya dia rosakkan.,Syukurlah dia berjaya memperbaikinya.,Kedai itu memberinya harga yang adil untuk memperbaikinya.,Kelly beli telefon baru.,1
22,"Semasa saya di kolej, saya bertemu seorang lelaki yang lebih tua.",Saya berusia 22 tahun dan dia berusia 38 tahun.,Kami mempunyai pemahaman yang baik dan mempunyai masa yang baik bersama-sama.,Kami tinggal bersama sepanjang masa saya berada di sana.,Saya mempunyai kenangan yang baik dari masa itu.,Saya ada kenangan negatif masa itu.,1
23,Bob mahu bermain dalam drama sekolah.,Dia mempelajari peranan itu dengan teliti.,Dia sering berlatih ayatnya.,"Pada hari audisi, dia melakukan kerja yang hebat.",Bob sangat bangga.,Bob sangat malu.,1
24,Jackie telah dilantik sebagai pengawas kelas lapan.,Dia dikira oleh seluruh kelas.,Rakan sekelas sering membahayakan pekerjaannya.,Mereka akan mencuri pas Jackie.,Pengetua itu menggantung rakan sekelasnya yang bising.,Rakan-rakannya diberi anugerah atas tingkah laku mereka.,1
25,Ayah saya baru beli kereta baru.,Untuk meraikan kami semua pergi memandu.,Kereta lain melintas tanda berhenti dan menabrak kami.,Saya memukul tingkap cukup kuat untuk memecahkannya.,Saya memanjat keluar dan saya dan ayah saya adalah okay.,Kami berdua telah diratakan oleh kenderaan.,1
26,Anak saudara saya suka filem Frozen.,Dia selalu mahu pakai.,Dia berkeliaran di rumah menyanyi.,Dia suka menjerit lepaskan.,Dia menyanyikannya berulang kali.,Dia suka sukan dan benci perkara puteri.,1
27,"Alex sedang bermain di lapangan, dengan pasukannya kalah dua mata.","Dia melihat papan skor, dan melihat hanya 5 saat lagi.",Fikiran dia berlari ketika dia cuba mencari seorang lelaki yang terbuka.,Pembela-pembela itu melekat pada rakan sepasukannya seperti gam.,Bunyi buzzer berbunyi dan pasukannya memenangi permainan.,Dia cuba tiga mata dan terlepas.,2
28,Saya masuk ke perpustakaan dan mengambil tempat duduk.,"Ketika saya melihat sekeliling, saya melihat seorang kanak-kanak.",Dia menatap saya untuk seketika.,Saya menjadi kecewa dan bangun dari tempat duduk.,Saya tidak kisah apa yang dilakukan oleh budak itu.,Saya tanya apa masalahnya.,2
29,Iva dan Brant cuba untuk mengandung anak.,Mereka telah mencuba selama enam bulan tanpa kejayaan.,"Pada temujanji doktor mereka, mereka menyatakan kekecewaan.",Tetapi mereka melihat doktor itu tersenyum lebar.,Brant akan membatalkan rancangan untuk menculik seorang kanak-kanak.,Pasangan itu akan gembira mengetahui mereka mempunyai bayi dalam perjalanan.,2
30,Catherine sentiasa tertarik dengan sukan Curling.,Catherine suka menonton atlet bermain sukan di televisyen.,"Suatu hari, Catherine memutuskan untuk melawat sesi latihan Curling.","Semasa latihan, salah seorang atlet menjemput Catherine untuk bermain.",Catherine mula berlatih setiap hari dan menjadi mahir.,Catherine fikir curling kelihatan membosankan.,1
31,Francis sentiasa berharap untuk belajar memandu.,Akhirnya dia cukup umur untuk lesen memandu.,Francis belajar keras untuk mendapatkan lesen.,Dia lulus ujian memandu dengan mudah.,Francis sangat bangga dengan pencapaian beliau.,Francis memutuskan dia lebih suka menggunakan pengangkutan awam.,1
32,Semalam saya seronok menonton The Nutcracker.,Saya sangat sukakannya.,Ketika penari menghiasi pentas itu indah.,Saya merasa terhormat untuk menonton pertunjukan itu.,Saya bersumpah untuk tidak pernah melihatnya lagi.,Saya mahu melihatnya lagi.,2
33,Saya bangun untuk kelas saya pada pukul 8:30 pagi.,Saya mengantuk keluar dari katil dan mengambil mandi.,Saya cepat-cepat makan sarapan dan mula berjalan ke kelas.,"Selepas 50 minit kelas, saya mula berjalan kembali ke asrama saya.",Saya memutuskan untuk kembali ke kelas lagi.,"Apabila saya sampai di sana, saya mengambil tidur siang.",2
34,Gary mahu menarik perhatian Lisa.,Suatu hari dia memutuskan untuk menulis Lisa Puisi.,"Hari berikutnya di sekolah, Gary melihat Lisa di lorong.",Gary tersenyum lebar dan menyerahkan puisi itu kepada Lisa.,"Gary menampar Lisa keras, dan berjalan pergi.",Lisa mengaku dia juga nak Gary.,2
35,Carlos selalu ingin melawat Perancis.,Dia memutuskan bahawa dia harus belajar bercakap Perancis sebelum dia pergi.,Dia mendaftar di kelas malam dan belajar dengan sangat keras.,Akhirnya Carlos boleh bercakap bahasa Perancis dengan baik.,Carlos menempah penerbangan ke Australia.,Carlos menggunakan bahasa Perancisnya sebaik mungkin dalam perjalanannya ke Paris.,2
36,Lars selalu mahu mencuba fotografi.,"Kawan dia adalah jurugambar yang sangat baik, tetapi dia tidak pernah cuba.","Suatu hari dia membeli kamera yang sederhana, tetapi berkualiti tinggi.","Dari hari itu, Lars mengambil gambar alam semula jadi setiap hari.",Lars jatuh cinta dengan fotografi.,Lars benci fotografi.,1
37,Saya membeli televisyen dari kedai elektronik.,Ia adalah skrin rata besar dengan kualiti gambar definisi tinggi.,Pekerja itu meyakinkan saya untuk membeli jaminan untuk itu hanya dalam kes.,Seminggu kemudian televisyen jatuh dari dinding saya dan rosak.,Saya berjaya memperbaikinya dengan jaminan.,Pekerja itu kemudiannya ditemui mati.,1
38,Ryan berada di taman.,Dan dia melihat seorang gadis kecil memegang belon.,"Semasa dia meninggalkan taman, dia melihat belon yang sama terjebak di pokok.",Dia memanjat pokok untuk mengambil belon.,Ryan kemudian meletupkan belon dengan sengaja.,Ryan kemudian menemui gadis itu dan memberinya belon yang hilang.,2
39,Pengurus Jen memberitahunya dia perlu memuat naik resume.,Dia sedar resume dia tidak diformat dengan betul.,Dia memindahkan semua kandungan ke templat yang betul.,"Menambah maklumat mengenai pekerjaan terbarunya, dia mengemas kini resume.",Kemudian dia hantar kepada pengurusnya.,Jen benci mencuci pinggan mangkuk.,1
40,Neil sedang melawat bandar Fez.,Dia mencicipi masakan etnik mereka.,Kemudian dia pergi membeli-belah untuk suvenir.,"Fez juga mempunyai pelakon jalanan yang hebat, katanya.",Neil mempunyai masa yang hebat.,Neil dan Fez menjadi kawan baik.,1
41,Saya perlu untuk mengambil anjing saya untuk berjalan-jalan.,Kejiranan saya memerlukan tali.,Saya mencari tali di rumah saya.,Saya tidak dapat menemuinya.,Saya mengambil keputusan untuk membawa anjing saya ke halaman belakang.,Saya membiarkan anjing saya masuk ke dalam rumah.,1
42,Hari itu cerah dan hangat.,Jadi Joe fikir ia akan menjadi baik untuk berjalan-jalan.,Dia memutuskan untuk berjalan kaki ke kedai kopi tempatan.,"Tetapi separuh jalan, dia mula letih.",Jadi dia berlari ke kedai kopi.,Joe menyesal keluar.,2
43,Jen menunggu pakej sepanjang hari.,Akhirnya dia melihat lelaki UPS berjalan ke pintu.,Dia menghantar bungkusan itu dan dia membawanya ke dalam.,Dia membuka bungkusan itu dengan pisau.,Dalam kotak itu terdapat bayi yang baru lahir.,Jen mendapati kot baru dalam pakej.,2
44,Frank tidak mahu buat kerja rumah.,Dia mahu bermain permainan video.,Ibu bapa Frank menyuruhnya buat kerja rumah dulu.,Frank berlagak dan dihukum.,Frank hilang permainan video untuk seminggu.,Frank mendapat permainan baru.,1
45,Timmy bertanding dalam pertandingan 3 mata di sekolahnya.,Pemenang akan berpeluang memenangi biasiswa kolej $1000.,Timmy berlatih menembak 3 mata sepanjang hujung minggu.,Dia sudah bersedia ketika hari pertandingan tiba.,Timmy memenangi pertandingan.,Timmy pergi ke padang perlumbaan pada hari pertandingan.,1
46,Drake menghadiri parti pada hari Jumaat.,Dia mendapati bahawa dompetnya telah dicuri dari kotnya.,"Drake segera memanggil polis, tetapi dompet itu tidak ditemui.",Drake berhadapan dengan tuan rumah parti mengenai isu itu.,Dan tuan rumah memberitahu dia bahawa dia tidak tahu sama ada.,Drake memberitahu tuan rumah yang dia mahu menghadiri parti-parti beliau lagi.,1
47,Bob mendapati traknya mempunyai tayar pecah.,Dia tak pernah tukar tayar sebelum ini.,Dia keluarkan jack tayar dan besi.,Dia tak boleh keluarkan bautnya.,Bob memanggil seseorang untuk memperbaiki tayar pecahnya.,Bob memandu traknya ke pasar.,1
48,Jack sudah bosan menulis e-mel di komputer tabletnya.,Dia memutuskan dia perlu melabur dalam komputer riba.,Dia meneliti komputer riba yang berbeza sehingga dia menemui yang sempurna.,Akhirnya dia beli.,Sekarang Jack sebenarnya suka membalas e-mel.,Jack sekarang menggunakan perkhidmatan pos bukannya e-mel.,1
49,Rambut Jake semakin panjang.,Dia ada temuduga kerja.,Dia meminta ibunya untuk memotong rambutnya.,Ibunya memberinya potongan rambut yang kelihatan profesional.,Jake mencuci tangannya.,Jake mendapat pekerjaan itu.,2
50,Sean datang hari ini.,"Sam, Sean, dan saya bermain permainan.",Mereka mula marah dengan saya tentang betapa buruknya saya.,Mereka kata saya tak boleh bermain lagi sehingga saya sembuh.,Saya benar-benar terluka.,Saya sangat gembira.,1
51,Sarah mahu poskan kad.,Dia pergi ke pejabat pos.,Dia membayar untuk setem.,Dia meletakkan surat itu dalam sampul surat.,Sarah menghantar suratnya sendiri.,Surat Sarah tidak lama lagi menuju ke destinasi.,2
52,Chuck penat bekerja.,Dia tutup kerja untuk sementara waktu.,Dia buka forum untuk berbual dengan rakan sekerja.,"Selepas Zoltar yang buruk, dia perlukan rehat.",Chuck memutuskan untuk berhenti kerja.,Dia kemudian merasa terdorong untuk kembali bekerja.,2
53,Bob menggunakan beg plastik untuk membeli-belah.,"Kemudian, rakannya memberitahu dia bahawa plastik buruk untuk alam sekitar.",Bob memutuskan untuk melepaskan beg plastiknya.,Bob melabur dalam beberapa beg runcit yang boleh digunakan semula.,Bob menggunakan beg runcitnya untuk membeli-belah.,Bob terus menggunakan beg plastik untuk membeli-belah.,1
54,Joe perlu mengambil potret dirinya untuk projek.,Dia menelefon beberapa artis tempatan dan bertanya harga mereka.,Salah seorang artis mempunyai harga yang munasabah.,Joe membuat temujanji dengan artis itu untuk membuat potret.,Joe sangat berpuas hati dengan hasilnya.,Artis melukis kucing Joe.,1
55,Ann cuba berhenti merokok.,Dia membuat beberapa percubaan tetapi selalu gagal.,Kemudian dia memohon untuk tampalan nikotin untuk membantu dia.,Dan bantu dia melakukannya!,Ann menggandakan jumlah rokok yang dia merokok setiap hari.,Ann berjaya berhenti merokok.,2
56,Jen dihantar ke rumah makciknya untuk musim panas.,Dia benci memikirkan akan jauh dari perpustakaan tempatan sepanjang musim panas.,Dia membawa beberapa buku dengannya tetapi dia akan pergi melalui mereka dengan cepat.,"Apabila dia tiba, makciknya membawanya ke bilik khas di rumahnya.",Jen melihat buku-bukunya terbakar di perapian.,Bilik itu penuh dengan rak buku yang menarik minat gadis-gadis.,2
57,Semalam Rob bersihkan gigi.,Dia biasanya takut dengan doktor gigi.,Tapi ada jururawat baru yang comel di pejabat.,Jadi dia teruja untuk pergi.,Rob berasa segar selepas kolonoskopi.,Rob kecewa apabila jururawat comel tidak berada di hari itu.,2
58,Joe suka makan tanah.,Dia akan membuat pai lumpur setiap kali dia mendapat peluang.,Dia sedang makan pai apabila dia merasakan sesuatu yang sangat keras di mulutnya.,Joe menggigit batu dan gigi dia terputus.,Joe mahu mengunyah lebih banyak batu.,Joe memutuskan untuk tidak makan tanah lagi.,2
59,Rob tak pernah naik rollercoaster.,Kawan Rob menawarkan tiket percuma untuk Six Flags.,Rob memutuskan dia boleh juga menyertai.,Mereka semua pergi dan menunggu barisan panjang.,Rob mempunyai kawan yang murah hati.,Kawan-kawan Rob tidak berfikir.,1
