,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,2011 watamanta Law and Order nisqa nisqa nisqa qelqapi yanapakurqani.,Chay kutipi onqoymanta kutichkarqani.,"Wasiman chayaspaqa, tukuy videokunata qhawaykurqani.",20 watata qhawariyta mana atillarqanichu.,"Kay ""Ley y orden"" nisqa programaqa mana allinchu.",Chaymantataj tukuy imasta qhawarqani.,2
1,"Tukuy runakunan Bobta munakurqanku, imaraykuchus payqa, cinepi may allin personajeta ruwarqa.","Bobqa chaymanta mayta phiñakurqa, imaraykuchus payqa mana chay runa jinachu karqa.","Jimqa Bobta mañakurqan, personajpa sutinta willananta.","Chaytaj Bobta mayta phiñacherqa, chayraykutaj phiñakuspa sinchʼita phiñakorqa.",Bobqa chay runata saqerparerqa.,Bobqa chay runata tawanata mañakurqa.,1
2,Litaqa televisionpi munakusqan programa qhawananpaqmi munarqan.,"Wawasninqa, paykunawan khuska qhawanankuta munarqanku.","Litaqa, wasimpi llankʼanan kasqanta nerqa.","Wawasninqa, chay tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa tʼaqasqa","Litaqa, p'unchaypi p'unchaypaq, p'epperoni p'isqata mikhunapaq mañakurqa.","Litaqa, televisionta qhawaykuspa, p'achata p'achachirqa.",2
3,"Chay ratollaqa, chay jatun chʼajwapi rikukuspa, chaymanta chʼajwapi rikukuspa, chaymanta chʼajwapi rikukuspa, chaymanta chʼajwapi rikukuspa,","Chay warmiqa, cocinapi lamparata qʼolachisqanta repararqa.","Chay warmiqa, uj chakipi churasqa kajta japʼispa, chay chakipi sayaykorqa.","Chayqa, chay warmipa kʼumuykukusqanpi, urmanmanman karqa.","Livqa, wasipita kʼanchay llimpʼita cambiayta munarqa.","Chaymantataq, Livqa lamparata cambiarqa.",2
4,"Mamayqa wawasninta nerqa 15 minutosmantaqa mikhunankupaj tiempo kanqa, nispa.",Chaymantataj uj importante telefonopi wajyarerqa.,"Chay warmi parlashaspa, chay perqa tukuy cocinapi qʼotuta chʼakichirqa.","Chay wawasqa, mamankuta, telefonopi parlasqantawan, chʼampaykurqanku.","Chay warmiqa, mayta llakikurqa.","Wawasninqa, mamankuta sumajta qhawanqanku.",1
5,"Hectorqa, llankʼayta qallarinanpaq, chay lugarpi uj caféta rantikun.","Chaytaj, qʼuñiwan, qʼuñiwan ima, qʼuñiwan ima, qʼuñiwan ima, qʼuñiwan ima.","Chaytaj, Hectorpa wasinpi uj caféta ruwananta rikuchin.","Payqa, wasinpi ruwasqan café ancha allin kasqanmanta kusikun.","Hectorqa, kikinta caféta ruwarqa, chayraykutaj qolqeta qollqeta qollqeta qollqeta saqerparqa.",Hectorqa Starbuckspi astawan caféta rantikurqan.,1
6,Kellyqa yacharan escuelapi uj mosoj sipas kasqanta.,"Escuelapi yaykuspataj, payta maskʼarqa.","Chay warmiwan tinkukuspataj, mikhunankupaj wajyarqa.","Chaywantaq, chay sipaskunawan amigokuna tukurqanku.",Kellyqa manaña paywan parlayta qallarerqachu.,"Kellyqa, uj mosoj amigota tarisqanmanta mayta kusikorqa.",2
7,Tommyqa 5 km runata ñawpaq kutipi atipanampaq sinchita yachachirqan.,"Chay ratopi, may chhika runas paymanta pasajtinku, mayta llakikorqa.","Paypa sutinta uyarispataj, tʼukorqa.","Payqa mana yacharqachu, chay qotuchakuypi qotuchakuypi qotuchakuypi qotuchakuykuna kasqanta.","Payqa, mana reqsisqa kasqanmanta pʼenqakusqa.","Payqa, may kusisqa karqa, chaywanpis 10 watasniyoj kasqanrayku, 10 kaq kaq karqa.",2
8,Laurieqa kunan tuta ñawpaq kuti tantanakuyninkuman rin.,"Chay warmiwan kuska risqan, uj rosa rosawan churarqa.","Laurieqa, uj jatun pʼachata churakusqa.","Paykunaqa, amigosninkuwan kusisqa tusurqanku.",Laurieqa waqaspa wasinman kutiporqa.,"Laurieqa, chay tutaqa, compañerota muchʼasqanrayku tukorqa.",2
9,"Neilqa, ñawpa tiempopi trenesta qhawarishan.","Scranton, Pensilvania llajtaman chayarqa.","Chaytaj, uj sumaj, ñawpa trenpa depon kasqanta repararqa.","Chaypi kashaspa, achkha fotosta jap'erqa.",Neilqa tukuy fotosta chinkacherqa.,Neilqa fotosta computadorapi waqaycharqa.,2
10,"Bobqa, fast foodpi challwa mikhuypi llankʼayta qallarishaspa, mancharisqa kasharqa.","Chay watamantaqa, barcota mana japʼiyta munarqachu.","Bobqa, chay oficinapi llankʼaspa, challwa pʼachata ruwarqa.","Payqa tukuy imapi llank'aq kasqanrayku, mana ima p'achayoqchu karqa.","Bobqa chay pʼachata munakusqanrayku, amigosninman rikucherqa.","Bobqa llank'aymanta lloqsispanmi, marinero p'achata churakuspa lloqsimurqa.",2
11,Uj amigo visitamuwarqayku.,"Chaysi, ñuqaqa, chay qhariwan, chay qhariwan, chay qhariwan, chay qhariwan,",Payqa mana uyariyta munarqachu.,"Payqa, wawanta kʼachachayta munarqa, paywantaj pukllaykorqa.",Chaytaqa ñuqaq aychawan ch'akichirqan.,"Allilla, ñuqawan, ñuqawan.",1
