,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Ik werd een Law and Order fan in 2011.,Ik was aan het herstellen van een beroerte.,"Toen ik thuis was, probeerde ik elke aflevering te kijken.",Het was moeilijk om 20 jaar lang een show te binge-watchen.,Ik denk dat Law and Order een van de slechtste shows ooit is.,Uiteindelijk heb ik ze allemaal bekeken.,2
1,Iedereen hield van Bob omdat hij een populair personage speelde in een film.,Bob haatte het omdat hij helemaal niet op dat personage leek.,Jim vroeg Bob om de slagzin van zijn personage te zeggen.,Het was te veel voor Bob en hij explodeerde van woede.,Bob zei tegen de man dat hij hem met rust moest laten.,Bob vroeg de man om thee.,1
2,Lita wilde haar favoriete programma op tv kijken.,Haar kinderen wilden dat ze met hen ging kijken.,Lita zei dat ze nog wat klusjes moest doen.,Haar kinderen sleepten haar wasmandje naar de woonkamer.,Lita bestelde een pepperoni pizza voor de lunch.,Lita vouwde de was terwijl ze tv keek.,2
3,Ze sprong toen ze werd geschokt door een harde knal.,Ze besefte dat het de gloeilamp in haar keuken was die uitbrandde.,Ze kreeg een voetbank en stapte erop.,Het wankelde onder haar en ze viel bijna.,Liv besloot een gloeilamp in de badkamer te vervangen.,Liv veranderde toen de gloeilamp.,2
4,Moeder zei tegen haar kinderen dat het over vijftien minuten lunchtijd zou zijn.,Maar toen kreeg ze een belangrijk telefoontje.,"Terwijl ze sprak, sleepte de hond de hele keuken met modder.","De kinderen begonnen hun moeder te lastig te vallen, die nog steeds aan de telefoon was.",De moeder voelde zich nogal gefrustreerd.,Het gedrag van de kinderen kalmeerde de moeder.,1
5,Hector koopt altijd koffie in een plaatselijke winkel voor het werk.,Hij beseft dat zijn koffiekost erg duur is.,Op een dag besluit Hector thuis koffie te brouwen.,Hij is trots dat de koffie die hij thuis maakt zo goed is.,Hector braaide zijn eigen koffie en bespaarde geld.,Hector begon meer koffie te kopen bij Starbucks.,1
6,Kelly heeft ontdekt dat er een nieuw meisje op school is.,Toen ze de school binnenkwam ging ze haar zoeken.,"Toen ze haar ontmoette, nodigde ze haar uit om bij haar te komen zitten voor de lunch.","Toen ze aan het lunchen waren, werden de meisjes vrienden.",Kelly heeft nooit meer met haar gepraat.,Kelly was blij dat ze een nieuwe vriend had.,2
7,Tommy heeft hard getraind om zijn eerste 5K te lopen.,Tijdens de wedstrijd voelde hij zich gefrustreerd toen zoveel mensen hem voorbijliepen.,Toen hij zijn naam hoorde tijdens de prijsuitreiking was hij geschokt.,Hij wist niet dat ze prijzen zouden uitreiken naar leeftijdsgroep.,Hij schaamde zich dat hij geen erkenning kreeg.,"Hij was trots om als eerste te eindigen in de leeftijdsgroep, maar als tiende in het algemeen.",2
8,Laurie gaat vanavond naar haar eerste formele dans.,Haar date nam haar op en gaf haar een mooie roos.,"Laurie droeg een lange, glinsterende jurk.",Ze dansten en hadden plezier met al hun vrienden.,Laurie ging huilend naar huis.,Laurie sloot de avond af door haar date te kussen.,2
9,Neil was historische spoorwegen aan het verkennen.,"Hij reed naar Scranton, Pennsylvania.",Hij besefte dat het een prachtig oud treindepot was.,Hij nam veel foto's terwijl hij daar was.,Neil heeft al zijn foto's verwijderd.,Neil heeft de foto's op zijn computer opgeslagen.,2
10,Bob was bang voor zijn eerste dag in een visrestaurant.,Hij wilde wachten om zijn schitterende zeevaardige uniform aan te trekken.,Bob ging vissenburgers maken nadat hij het uniform aantrok.,"Hij was zo druk, dat hij vergeten was om zijn straatkleren aan te trekken.",Bob vond het zo mooi dat hij het aan zijn vrienden liet zien.,Bob ging na het werk uit met het zeemanskostuum aan.,2
