,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,আমি ২০১১ সালে আইন ও শৃঙ্খলা অনুরাগী হয়েছি।,আমি স্ট্রোক থেকে সুস্থ হয়ে উঠছিলাম।,"যখন বাড়ি ফিরে আসলাম, আমি সব পর্ব দেখার চেষ্টা করলাম।",এটা কঠিন ছিল 20 বছর ধরে একটি শো দেখতে চেষ্টা করা.,আমার মনে হয় আইন ও শৃঙ্খলা এখন পর্যন্ত করা সবচেয়ে খারাপ শোগুলোর একটি।,শেষ পর্যন্ত আমি তাদের সবাইকে দেখলাম।,2
1,সবাই ববকে ভালোবাসতো কারণ তিনি চলচ্চিত্রে জনপ্রিয় চরিত্রটি অভিনয় করতেন।,বব এটাকে ঘৃণা করত কারণ সে ঐ চরিত্রের মত ছিল না।,জিম ববকে তার চরিত্রের শিরোনাম বলতে বলেছিল।,বব এর থেকে অনেক বেশি কিছু অনুভব করলো এবং সে রাগের সাথে বিস্ফোরিত হলো।,বব লোকটিকে বলেছে তাকে একা থাকতে।,বব লোকটিকে চা খেতে বলেছে।,1
2,লিটা টেলিভিশনে তার প্রিয় শো দেখতে চেয়েছিল।,তার বাচ্চারা জোর দিয়েছিল যে সে তাদের সাথে বসে এটা দেখতে চায়।,লিটা তাদের বলেছে যে তার কিছু কাজ আছে।,তার বাচ্চারা তার কাপড় ধোয়ার ঝুড়িটা লিভিং রুমে টেনে নিয়ে গেল।,লিটা দুপুরের খাবারের জন্য পেপারনি পিৎজা অর্ডার করেছে।,লিটা টিভি দেখার সময় কাপড় গুটিয়ে নিয়েছে।,2
3,লাইভ লাফিয়ে উঠেছিল যখন সে একটা জোরে জোরে শব্দ শুনে হতবাক হয়ে গেল।,সে বুঝতে পারলো যে তার রান্নাঘরের বাতিটা পুড়ে গেছে।,সে একটা পাদদেশের খুচরা থেকে বেরিয়ে এসে তার উপর পা রেখেছে।,এটা তার নিচে দুলছে আর সে প্রায় পড়ে গেছে।,লিভ বাথরুমে একটা বাল্ব বদলানোর সিদ্ধান্ত নিয়েছে।,তারপর লাইভ বাতি বদল করে দিলো।,2
4,মা তার বাচ্চাদের বলেছিল পনেরো মিনিটের মধ্যে দুপুরের খাবার হবে।,কিন্তু তারপরে একটা গুরুত্বপূর্ণ ফোনকল আসে।,"সে কথা বলছিল, কুকুরটা রান্নাঘর জুড়ে কাদা টানছিল।","বাচ্চারা তাদের মাকে বিরক্ত করতে শুরু করে, যিনি তখনও ফোনে কথা বলছিলেন।",মা বেশ হতাশ বোধ করলো।,বাচ্চাদের আচরণ মাকে শান্ত করে।,1
5,হেক্টর সবসময় কাজ করার আগে স্থানীয় দোকানে কফি কিনে থাকে।,সে বুঝতে পারছে যে তার কফি কেনার অভ্যাসটি খুব ব্যয়বহুল।,একদিন হেক্টর বাড়িতে কফি বানানোর সিদ্ধান্ত নেন।,সে গর্বিত যে সে বাড়িতে যে কফি তৈরি করেছে তা এত ভাল।,হেক্টর নিজের কফি বানাতে থাকলো এবং টাকা সঞ্চয় করলো।,হেক্টর স্টারবাকস থেকে কফি কিনতে শুরু করেছে।,1
6,কেলি জানতে পেরেছে স্কুলে নতুন একটা মেয়ে এসেছে।,যখন সে স্কুলে ঢুকেছিল তখন সে তার খোঁজ করতে গিয়েছিল।,"যখন সে তার সাথে দেখা করে, সে তাকে দুপুরের খাবারে তার সাথে বসতে আমন্ত্রণ জানায়।",দুপুরের খাবার খাওয়ার পর মেয়েদের মধ্যে বন্ধুত্ব হয়ে গেল।,কেলি আর কখনো তার সাথে কথা বলেনি।,কেলি নতুন বন্ধু পেয়ে খুশি ছিল।,2
7,টমি তার প্রথম ৫ কিমি দৌড়ানোর জন্য কঠোর প্রশিক্ষণ নিয়েছে।,দৌড়ের সময় তিনি হতাশ বোধ করেছিলেন যখন এত লোক তার পাশ দিয়ে যায়।,পুরস্কার বিতরণের সময় যখন তার নাম উচ্চারণ করা হয় তখন সে হতবাক হয়।,সে বুঝতে পারেনি যে তারা বয়সের গ্রুপ অনুযায়ী পুরস্কার দেবে।,তিনি লজ্জিত ছিলেন যে তিনি কোন স্বীকৃতি পাননি।,তিনি বয়সের দিক থেকে প্রথম এবং সামগ্রিকভাবে দশম স্থানে শেষ করতে পেরে গর্বিত ছিলেন।,2
8,লরি আজ রাতে তার প্রথম আনুষ্ঠানিক নাচ করতে যাচ্ছে।,তার ডেট তাকে তুলে নিয়ে গেল এবং তাকে একটা সুন্দর গোলাপ উপহার দিল।,লরি একটি দীর্ঘ ঝলকানি পোষাক পরতেন.,তারা তাদের বন্ধুদের সাথে নাচতে এবং মজা করতে লাগল।,লরি বাড়ি গিয়ে কাঁদতে লাগলো।,লরি তার ডেটকে চুমু খেয়ে রাত শেষ করে।,2
9,নীল ঐতিহাসিক রেলপথগুলো ঘুরে দেখছিল।,তিনি পেনসিলভানিয়া স্ক্র্যান্টন মধ্যে rode.,সে বুঝতে পারলো এটা একটা সুন্দর পুরনো ট্রেন ডিপো।,সে ওখানে থাকাকালীন অনেক ছবি তুলেছে।,নীল তার সব ছবি মুছে ফেলেছে।,নীল ছবিগুলো তার কম্পিউটারে সংরক্ষণ করেছে।,2
10,বব তার প্রথম দিনকে ভয় পেয়েছিল ফাস্ট ফুডের মাছের দোকানে কাজ করতে গিয়ে।,তিনি তার চমকপ্রদ নৌবাহিনীর ইউনিফর্ম পরার জন্য অপেক্ষা করার পরিকল্পনা করেছিলেন।,বব ইউনিফর্ম পরে মাছের বার্গার বানাতে কাজ করতে গেলো।,"সে এত ব্যস্ত ছিল, সে তার রাস্তার পোশাক পরিবর্তন করতে ভুলে গেছে",বব এই পোশাকটি এত পছন্দ করতো যে সে এটা তার বন্ধুদের দেখিয়ে দিতো।,বব কাজ শেষে নাবিকের পোশাক পরে বেরিয়েছিল।,2
11,আমার এক বন্ধু এসেছিল।,আমি তাকে বলেছি আমার কুকুর কামড়ায়।,সে শুনলো না।,সে তাকে জড়িয়ে ধরতে এবং তার সাথে খেলতে চেষ্টা করেছিল।,আমার কুকুর তাকে কামড়ায়।,আমার কুকুর পালিয়ে গেছে।,1
12,লেস্টার সবসময়ই আরো বেশি শিল্পী হতে চেয়েছিল।,একদিন সে একটা ফুলের ছবি আঁকতে চায়।,সে একটা সুন্দর অর্কিডের সামনে বসে ছবি আঁকতে শুরু করে।,লেস্টারের আঁকা ছবিটা খুব সুন্দর হয়েছে।,সে তার লিভিং রুমের দেয়ালে ছবিটা ঝুলিয়ে রাখে।,সে সিদ্ধান্ত নেয় যে সে আর কখনো কিছু আঁকবে না।,1
