,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Aku dadi penggemar Law and Order ing taun 2011.,Aku lagi pulih saka stroke.,"Wektu tekan omah, aku nyoba nonton saben épisode.",Iku hard nyoba kanggo binge nonton 20 taun saka show.,Aku mikir Hukum lan Tatanan iku salah siji saka nuduhake paling awon tau digawe.,"Akiré, aku nonton kabèh.",2
1,Kabeh wong seneng karo Bob amarga dheweke main karakter populer ing film.,Bob sengit amarga dheweke ora kaya karakter kasebut.,Jim njaluk Bob ngucapake tembung kunci karakter.,Bob ora isa ngatasi masalah kuwi lan dadi nesu banget.,Bob kandha marang wong lanang mau supaya ora ngganggu.,Bob njaluk teh marang wong lanang kuwi.,1
2,Lita péngin nonton acara favorité ing tivi.,Anak-anaké péngin dhèwèké nonton bareng.,Lita kandha nèk dhèwèké nduwé tugas.,Anak-anaké nyeret kranjang cuciané menyang ruang tamu.,Lita pesen pizza pepperoni kanggo nedha awan.,Lita ngliwati cucian nalika nonton televisi.,2
3,Liv mlumpat nalika dheweke kaget dening pop banter.,Dhèwèké sadhar yèn lampu ing pawoné sing kobong.,Dhèwèké njupuk bangku sikil lan mlaku ing ndhuwuré.,Iku wobbled ing dheweke lan dheweke meh ambruk.,Liv mutuské kanggo ngganti bohlam lampu ing kamar mandhi.,Liv banjur ngganti bohlam lampu.,2
4,Ibu kandha marang anak-anake yen wis jam limalas menit wis wayahe mangan.,"Ning, dhèwèké ditelpon karo sedulur lanang sing penting.","Nalika lagi ngomong, asu kuwi ngeterké lumpur ing pawon.",Bocah-bocah kuwi mulai ngganggu ibuné sing isih ngubungi.,Ibuné ngrasa frustasi.,Tumindaké bocah-bocah kuwi nggawé ibu saya tenang.,1
5,Hector mesthi tuku kopi ing toko lokal sadurunge kerja.,Dheweke ngerti yen kebiasaan tuku kopi larang banget.,"Ing sawijining dina, Hector mutuské kanggo nyedhot kopi ing omah.",Dheweke bangga yen kopi sing digawe ing omah iku apik banget.,Hector terus nyedhot kopi dhéwé lan ngirit dhuwit.,Hector wiwit tuku kopi saka Starbucks.,1
6,Kelly ngerti ana bocah wadon anyar ing sekolah.,Nalika dheweke mlaku menyang sekolah dheweke banjur nggoleki dheweke.,"Nalika ketemu, dheweke ngajak dheweke lungguh karo dheweke nalika nedha awan.","Wektu mangan awan, bocah-bocah wadon kuwi dadi kanca.",Kelly ora tau ngomong karo dhèwèké manèh.,Kelly seneng banget merga nduwé kanca anyar.,2
7,Tommy nglatih kanthi tenanan kanggo mlayu 5K sing sepisanan.,"Wektu balapan, dhèwèké ngrasa frustasi merga akèh wong sing ngliwati dhèwèké.","Nalika krungu asmane diarani nalika penghargaan, dheweke kaget.",Dheweke ora ngerti yen dheweke bakal menehi penghargaan miturut klompok umur.,Dhèwèké isin ora nampa pengakuan.,"Dhèwèké bangga bisa dadi sing kapisan miturut umur, nanging nomer sepuluh ing sakabèhé.",2
8,Laurie arep menyang tari resmi pisanan bengi iki.,Kancané njupuk lan mènèhi kembang mawar sing éndah.,Laurie nganggo klambi sing dawa lan mencorong.,Wong-wong kuwi nari lan seneng-seneng karo kanca-kancané.,Laurie mulih karo nangis.,Laurie ngambung pacaré.,2
9,Neil lagi njelajah jalur sepur sing wis ana ing jaman kuna.,"Dhèwèké numpak jaran menyang Scranton, Pennsylvania.",Dhèwèké ngerti nèk kuwi stasiun sepur lawas sing éndah.,Dheweke njupuk akeh foto nalika dheweke ana ing kana.,Neil mbusak kabèh fotoné.,Neil nyimpen fotoné ing komputeré.,2
