,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"2011年に""法と秩序""のファンになりました",卒中から回復していた,家に帰ったら 全話を見ようとしてた,20年ぶりの番組を 観るのが大変だった,"""法律と秩序""は史上最悪の番組だ",終りには全部見ました,2
1,ボブは映画で人気のキャラクターだったからみんなに愛されていた.,ボブは嫌だった だって彼にはそんな性格がなかった,ジムはボブにキャラクターの名言を口にしてもらった.,ボブには無理だった 彼は怒り狂った,ボブはその人に彼を放っておくように言った.,ボブはその男に茶を頼んだ.,1
2,リタはテレビで好きな番組を見たいと思った.,子供たちは一緒に 座って見てもらいたいと 強く言っていました,"リタは,家事があると言った.",子供たちは彼女の洗濯バスケットを リビングまで引きずり込んだ.,リタは昼食にペペロニピザを注文した,リタはテレビを見ている間に洗濯物を折った.,2
3,激しく鳴ったので 飛び降りた,厨房の電球が燃え尽きたことに気づいたのです,彼女は足場を抜いて足場の上に踏み出した.,震え落ちて 倒れかけていた,リブはトイレの電球を交換しようと決めた,リブは電球を交換した,2
4,母は子供たちに15分後に昼食がとると言った.,"でも,彼女は重要な電話を 受け取った.","彼女が話している間に,その犬はキッチン中を泥でまき散らした.",子供たちはまだ電話で話している母親を悩ませ始めた.,母親はかなり不満を感じた.,子供たちの振る舞いは母親を落ち着かせた.,1
5,ヘクターはいつも仕事前に地元の店でコーヒーを買っている.,"彼は,彼のコーヒー購入習慣が非常に高価であることを理解しています.",ある日 ヘクターは家でコーヒーを めることにしました,"彼は,彼が家で作ったコーヒーはとても美味しいことを誇りに思っている.",ヘクターがコーヒーを自作して お金を貯めた,ヘクターがスターバックスから コーヒーを買うようになった,1
6,ケリーは学校に新しい女の子が いたと知った,学校に足を踏み入れた時 彼女を探しに行きました,"彼女に会った時,彼女は彼女を昼食に一緒に座るように招待した.","彼らは昼食をとると,女の子たちは友達になった.",ケリーは二度と彼女と話さなかった,ケリーは新しい友だちをできたことに喜んだ.,2
7,トミーが初めての5Kを走るために一生懸命トレーニングした.,"レース中に,彼が追い越された人が大勢いたので,彼は不満を感じた.","彼は賞授与式で自分の名前を呼ばれたとき,ショックを受けた.",年齢別賞を 授与するなんて 知りませんでした,彼は自分が認められていなかったことを恥じていた.,"彼は年齢で1位で,全体で10位で終えたことを誇りに思っていた.",2
8,ローリーは今夜初めての正式なダンスをします,"デートは彼女を迎え,美しいバラを贈った.",ローリーは長い輝くドレスを着ていた.,彼らは友達と踊って楽しんでいました,ローリーは泣きながら家に帰った.,ローリーはデート相手にキスして夜を終わらせた.,2
9,ニールは歴史ある鉄道を探検していた,彼はペンシルベニア州スクラントンへ,美しい古い鉄道駅だと気づきました,"彼はそこにいた間,たくさんの写真を撮った.",ニールは自分の写真をすべて消した.,ニールは写真をパソコンに保存した,2
