,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Jeg blev fan af lov og orden i 2011.,Jeg var ved at komme mig efter et slagtilfælde.,"Da jeg kom hjem, prøvede jeg at se hver episode.",Det var svært at prøve at binge se 20 års show.,"Jeg synes, at ""Law and Order"" er et af de værste serier nogensinde.",Til sidst så jeg dem alle sammen.,2
1,"Alle elskede Bob, fordi han spillede en populær karakter i en film.","Bob hadede det, fordi han ikke lignede den person.",Jim bad Bob om at sige karakterens slagord.,"Det var for meget for Bob, og han eksploderede af raseri.",Bob sagde til manden at lade ham være.,Bob bad manden om te.,1
2,Lita ville se sit yndlingsprogram på tv.,Hendes børn insisterede på at hun skulle se den sammen med dem.,"Lita fortalte dem, at hun havde noget at gøre.",Hendes børn slæbte hendes vaskekurv til stuen.,Lita bestilte en pepperoni pizza til frokost.,"Lita faldt vasketøjet, mens hun så fjernsyn.",2
3,"Liv sprang, da hun blev overrasket af et højt knald.","Hun indså, at det var pæren i køkkenet, der brændte ud.",Hun tog en fodsøjle og trådte på den.,"Den vaklede under hende, og hun faldt næsten.",Liv besluttede at skifte en pære i badeværelset.,Liv skiftede så pæren.,2
4,Mor sagde til sine børn at det ville være frokosttid om femten minutter.,Men så fik hun et vigtigt opkald.,"Mens hun talte, slæbte hunden mudder over hele køkkenet.","Børnene begyndte at plage deres mor, som stadig var i telefonen.",Moderen var meget frustreret.,Børnenes opførsel beroligede moderen.,1
5,"Hector har altid købt kaffe i en lokal butik, før han går på arbejde.",Han indser at hans kaffehusk er meget dyr.,En dag beslutter Hector at brygge kaffe derhjemme.,Han er stolt af at den kaffe han har lavet hjemme er så god.,Hector fortsatte med at brygge sin egen kaffe og sparede penge.,Hector begyndte at købe mere kaffe fra Starbucks.,1
6,"Kelly fandt ud af, at der var en ny pige i skolen.","Da hun kom ind på skolen, gik hun ud for at lede efter hende.","Da hun mødte hende, inviterede hun hende til at sidde sammen med hende til frokost.","Da de spiste frokost, blev pigerne venner.",Kelly talte aldrig med hende igen.,Kelly var glad for at have fået en ny ven.,2
7,Tommy har trænet hårdt for at løbe sine første 5 km.,Under løbet blev han frustreret over at så mange mennesker gik forbi ham.,"Da han hørte sit navn kaldt under en prisuddeling, blev han chokeret.","Han vidste ikke, at der var en aldersgruppe.","Han skammede sig over, at han ikke fik nogen anerkendelse.","Han var stolt over at være nummer et i aldersklassen, men nummer ti i alt.",2
8,Laurie skal til sin første formelle dans i aften.,Hun blev hentet af sin date og fik en smuk rose.,"Laurie havde en lang, glitterende kjole på.",De dansede og morede sig med alle deres venner.,Laurie gik grædende hjem.,Laurie endte aftenen med at kysse sin date.,2
9,Neil udforskede historiske jernbaner.,"Han red ind i Scranton, Pennsylvania.","Han indså, at det var en smuk gammel togstation.","Han tog mange billeder, mens han var der.",Neil har slettet alle sine billeder.,Neil gemte billederne på sin computer.,2
10,Bob frygtede sin første dag på en fastfood-fiskbutik.,Han havde planlagt at vente med at tage sin farverige nautiske uniform på.,Bob begyndte at lave fiskeburgere efter at have taget uniformen på.,"Han havde så travlt, at han glemte at skifte til sit gade tøj.","Bob elskede det så meget, at han viste det til sine venner.",Bob gik ud efter arbejde iført sømandsdressen.,2
11,En ven kom på besøg.,"Jeg sagde, at min hund bider.",Hun lyttede ikke.,Hun prøvede at klappe ham og lege med ham.,Min hund bed hende.,Min hund løb væk.,1
12,Lester har altid villet være mere kunstnerisk.,En dag beslutter han sig for at tegne en blomst.,Han sætter sig foran en smuk orkidé og begynder at tegne.,Lesters tegning kommer ud meget godt.,Han hænger billedet på væggen i sin stue.,Han beslutter sig for aldrig at tegne noget igen.,1
13,Pablo kan lide at spise orme.,"Han læste en bog i skolen om, hvordan man gør det.",Han steger dem i olivenolie.,Han kan lide at gøre det mindst en gang om måneden.,Pablo nyder orme og betragter dem som en delikatesse.,Pablo kan ikke lide at spise orme.,1
14,Kira har altid elsket japansk kultur.,Mange af hendes yndlingsfilm var på japansk.,Hun besluttede at hun ville rejse derhen.,I årevis sparte hun penge til sin rejse.,Hun brugte alle pengene på sko.,Det var den bedste tur i hendes liv.,2
15,Glen var i humør til en tur.,Han tog sin jakke på og gik udenfor.,"Da han gik på fortovet, snublede han og brækkede knæet.",Glen rejste sig igen og limede tilbage til sit hus.,Glen løb sit bedste maraton nogensinde.,"Glen svor, at han aldrig ville gå igen.",2
16,Jesus brugte dagen på at polere møblerne.,"Da natten nærmede sig, overvejede han det arbejde, han havde gjort.",Alt så skinnende og nyt ud.,Jesus inviterede alle sine venner til en fest den aften.,"De sagde, hans møbler så pæne ud.",Hans venner har poleret hans møbler.,1
17,Jeg gik til butikken for nylig.,"Da jeg passerede en udgang, følte jeg koldt, hårdt stål på min arm.",Jeg var chokeret over at blive kørt ned af en bil!,"Chaufføren undskyldte meget, da han så, at jeg var blevet ramt.","Jeg sagde, det var okay, og gik så.",Bilens chauffør blev meget vred på mig.,1
18,Ginas søster skar sig i anklen på glas.,Blodet løb ned af hendes fod og ind i hendes sko.,"Da hun så blodet, løb hun hjem.","Gina løb bag hende, men kunne ikke holde trit.","Da de kom hjem, fik de alle is.",Ginas søster gik til lægen.,2
19,En lille dreng gik i tredje klasse.,"Han var meget klog, men havde svært ved at læse.","Når han læste højt, lo hans klassekammerater af ham.",Han begyndte at øve sig i at læse hver eneste dag.,Den lille dreng accepterede at han aldrig ville blive bedre.,Ved årets udgang klarede han sig godt i læsningstesten.,2
20,Rosie's klasse holdt en lille fest.,Hun besluttede at lave en frugtsalat til alle.,Hun brugte mange penge på frugten og meget tid på at forberede den.,På festen skød hun en stor skål frugtsalat op.,Rosie's klasse delte frugtsalat.,Rosie havde frugtsalat i køleskabet derhjemme.,1
21,Kelly var glad for at have sin nye telefon.,Hun tog den med sig overalt.,Desværre smadrede hun den.,Heldigvis fik hun det ordnet.,Butikken gav hende en rimelig pris for at få den repareret.,Kelly har købt en ny telefon.,1
22,"Da jeg gik på college, havde jeg mødt en ældre mand.","Jeg var 22 år, og han var 38.",Vi havde en god forståelse og havde en god tid sammen.,"Vi var sammen, mens jeg var der.",Jeg har gode minder fra den tid.,Jeg har negative minder fra den tid.,1
23,Bob ville være med i skolespillet.,Han studerede rollen omhyggeligt.,Han øvede sine replikker ofte.,På prøven gjorde han et godt stykke arbejde.,Bob var meget stolt.,Bob var meget flov.,1
24,Jackie er blevet udpeget til at holde øje med hallen i 8. klasse.,Hun er misundt i hele klassen.,Klassekammerater satte ofte hendes job i fare.,De ville stjæle Jackie's adgangskort.,Rektoren suspenderede hendes larmende klassekammerater.,Hendes klassekammerater fik priser for deres opførsel.,1
25,Min far havde lige fået en ny bil.,For at fejre det gik vi en tur.,En anden bil kørte forbi et stopskilt og kørte ind i os.,"Jeg slog hårdt nok ind i vinduet, at det gik i stykker.","Jeg klatrede ud, og min far og jeg var okay.",Vi blev begge ramt af bilen.,1
26,Min niece elsker Frozen-filmen.,Hun vil altid have den på.,Hun går rundt i huset og synger.,"Hun elsker at skrige ""lad det være"".",Hun synger den igen og igen.,Hun elsker sport og hader prinsesse ting.,1
27,"Alex dribblede op på banen, mens hans hold tabte to point.","Han kiggede på resultattavlen og så, at der kun var fem sekunder tilbage.",Han ledte efter en åben mand.,Forsvaret var som lim fastklemt til hans holdkammerater.,- Hans hold vandt kampen.,Han forsøgte at skyde tre point og missede.,2
28,Jeg kom ind på biblioteket og satte mig.,"Da jeg så mig omkring, så jeg en dreng.",Han stirrede på mig et stykke tid.,Jeg blev frustreret og rejste mig fra min plads.,"Jeg var ligeglad med, hvad drengen lavede.","Jeg spurgte ham, hvad hans problem var.",2
29,Iva og Brant forsøgte at få et barn.,De havde forsøgt i seks måneder uden held.,De var modløse da de skulle gå til lægen.,Men så så de lægen smile bredt.,Brant vil aflyse sin plan om at kidnappe et barn.,"Parret vil være glade for at vide, at de har en baby på vej.",2
30,Catherine har altid været fascineret af curling.,Catherine elsker at se atleterne spille sport på tv.,En dag besluttede Catherine at besøge en curling træning.,På træningen inviterede en af atleterne Catherine til at spille.,Catherine begyndte at øve sig hver dag og blev god til det.,"Catherine syntes, at curling var kedeligt.",1
31,Francis har altid glædet sig til at lære at køre bil.,Endelig er han gammel nok til at få kørekort.,Francis studerer hårdt for at få en licens.,Han bestod let sin kørekort.,Francis er virkelig stolt af sin præstation.,Francis beslutter at han hellere vil tage offentlig transport.,1
32,I går havde jeg det sjovt med at se Nøddeknækkeren.,Jeg elskede det.,"Det var smukt, da danserne pryder scenen.",Jeg følte mig beæret over at have set showet.,Jeg svor aldrig at se den igen.,Jeg ville se det igen.,2
33,Jeg vågnede til min time kl. 8.30 om morgenen.,Jeg stod søvnigt op og tog et bad.,Jeg spiste hurtigt morgenmad og gik til timen.,Efter 50 minutters undervisning gik jeg tilbage til min stue.,Jeg besluttede at gå tilbage til klassen igen.,"Da jeg kom derhen, tog jeg en lur.",2
34,Gary ville have Lisas opmærksomhed.,En dag beslutter han sig for at skrive et digt til Lisa.,Dagen efter i skolen ser Gary Lisa i gangen.,Gary smiler meget til Lisa og giver hende digtet.,Gary slår Lisa hårdt og går sin vej.,"Lisa indrømmer, at hun også er forelsket i Gary.",2
35,Carlos har altid ønsket at besøge Frankrig.,Han beslutter at han skal lære at tale fransk før han tager af sted.,Han går på natklasse og studerer meget hårdt.,Endelig kan Carlos tale fransk ret godt.,Carlos booker et fly til Australien.,Carlos udnytter sit fransk på sin rejse til Paris.,2
