,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,أصبحت من محبي مسلسل القانون والنظام في عام 2011,كنت أتعافى من سكتة دماغية,عندما عدت للمنزل حاولت مشاهدة كل حلقة,كان من الصعب محاولة الإفراط في مشاهدة 20 عاما من العرض.,"أعتقد أن ""القانون والنظام"" هو أحد أسوأ العروض التي تم إعدادها على الإطلاق",في النهاية شاهدتهم جميعاً,2
1,الجميع أحب بوب لأنه لعب دور شخصية شعبية في فيلم,بوب كره ذلك لأنه لم يكن مثل تلك الشخصية,طلب (جيم) من (بوب) أن يقول عبارة شخصيته المشهورة.,كان الأمر كثيرًا على (بوب) فانفجر من الغضب,أخبر (بوب) الرجل أن يتركه وشأنه,طلب بوب الشاي من الرجل.,1
2,ليتا أرادت مشاهدة برنامجها المفضل على التلفاز,أطفالها أصروا على أن تجلس لمشاهدته معهم,أخبرتهم (ليتا) أن لديها أعمالاً لتنفيذها,أطفالها سحبوا سلة الغسيل إلى غرفة المعيشة,(ليتا) طلبت بيتزا بيبيروني للغداء,ليتا طوّت الغسيل بينما كانت تشاهد التلفاز.,2
3,قفزت ليف عندما فزعت من صوت صوت عال,أدركت أن المصباح في مطبخها كان يشتعل,لقد خرجت من مقعد وخطوت عليه,لقد هزت تحتها و كادت أن تسقط,ليف قررت تغيير مصباح في الحمام,ليف) غيرت المصابيح),2
4,أخبرت الأم أطفالها أن وقت الغداء سيكون بعد خمس عشرة دقيقة.,لكن بعدها تلقت مكالمة هاتفية مهمة,بينما كانت تتحدث، جرف الكلب الطين في جميع أنحاء المطبخ.,بدأ الأطفال يضايقون أمهم، التي كانت لا تزال على الهاتف.,شعرت الأم بالإحباط,سلوك الأطفال هدأ من قلق الأم.,1
5,هيكتور دائماً يشتري القهوة من متجر محلي قبل العمل,يدرك أن عادته في شراء القهوة باهظة الثمن,في يوم ما قرر (هيكتور) إعداد القهوة في المنزل,إنه فخور بأن القهوة التي أعدها في المنزل جيدة جداً.,(هيكتور) استمر في إعداد قهوته بنفسه ووفّر المال,بدأ (هيكتور) بشراء المزيد من القهوة من (ستاربكس).,1
6,كيلي اكتشفت أن هناك فتاة جديدة في المدرسة,عندما دخلت المدرسة ذهبت للبحث عنها,عندما قابلتها، دعتها لتجلس معها على الغداء.,عندما تناولوا الغداء، أصبحت الفتيات صديقات.,كيلي لم تتحدث معها بعد ذلك,كيلي كانت سعيدة لأنها حصلت على صديق جديد,2
7,تدرب (تومي) بجد ليركض أول 5 كيلومترات له,أثناء السباق شعر بالإحباط عندما مرّ عليه الكثير من الناس,عندما سمع اسمه يُدعى خلال الجوائز صُدم,لم يدرك أنهم سيقومون بتقديم الجوائز حسب الفئة العمرية,كان يشعر بالخجل لأنه لم يحصل على أيّ إعتراف.,كان فخوراً بالوصول إلى المركز الأول في فئة السن ولكن في المركز العاشر في مجموعها,2
8,لوري ستذهب إلى أول حفلة رقص رسمية لها الليلة,رفيقها التقطها و أعطاها وردة جميلة,لوري ارتدت فستاناً طويل و متألقاً,لقد رقصوا و استمتعوا مع كل أصدقائهم,لوري ذهبت للبيت تبكي,لوري أنهت الليلة بتقبيل رفيقها,2
9,نيل كان يستكشف السكك الحديدية التاريخية.,لقد دخل إلى (سكرانتون) ، (بنسلفانيا),أدرك أنه كان مخزن قطار قديم جميل,لقد التقط الكثير من الصور بينما كان هناك,لقد قام (نيل) بحذف كل صورة,نيل حفظ الصور على حاسوبه.,2
