,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Я стала фанатом ""Закон і порядок"" у 2011 році.",Я одужав від інсульту.,"Коли я повернувся додому, я намагався переглянути кожну серію.","Було важко намагатися перекусити, дивлячись ""20 років шоу"".","Я думаю, що ""Закон і порядок"" - один з найгірших серіалів, які коли-небудь були зроблені.","Зрештою, я переглянула їх усіх.",2
1,"Всі любили Боба, тому що він грав популярного героя у фільмі.","Боб ненавидів це, тому що він зовсім не схожий на цього героя.",Джим попросив Боба сказати фразу свого персонажа.,"Боб не міг цього впоратися, і він вибухнув від гніву.",Боб сказав чоловікові залишити його в спокої.,Боб попросив чоловіка чаю.,1
2,Літа хотіла подивитися улюблене шоу по телевізору.,"Діти наполягали, щоб вона сіла і дивилася разом з ними.","Літа сказала їм, що має зробити домашню роботу.",Діти тягли її корзинку з пранням до вітальні.,Літа замовила піцу з пепероні на обід.,"Літа складала білизну, дивлячись телевізор.",2
3,"Ліва стрибала, коли була здивована гучним вибухом.","Вона зрозуміла, що це була лампочка на її кухні, яка вигоріла.",Вона вибрала підставку і наступила на неї.,Він коливався під нею і вона майже впала.,Лів вирішила замінити лампочку в ванній.,Потім Лів змінила лампочку.,2
4,"Мати сказала своїм дітям, що через п'ятнадцять хвилин буде час обіду.",Але потім їй дзвонили.,"Поки вона розмовляла, собака розв'язала по всій кухні брудом.","Діти почали дратувати маму, яка все ще говорила по телефону.",Мати була дуже розчарована.,Поведінка дітей заспокоїла матір.,1
5,Гектор завжди купував каву в місцевому магазині перед роботою.,"Він розуміє, що його звичка купувати каву дуже дорога.",Одного дня Гектор вирішує приготувати каву вдома.,"Він пишається тим, що кава, яку він готує вдома, така гарна.",Гектор продовжував сам готувати каву і заощаджував гроші.,Гектор почав купувати більше кави в Старбаксі.,1
6,"Келлі дізналася, що в школі нова дівчина.","Коли вона прийшла до школи, вона пішла її шукати.","Коли вона зустріла її, вона запросила її посидіти з нею на обід.","Коли вони пообідали, дівчата стали друзями.",Келлі більше ніколи з нею не розмовляла.,"Келлі була щаслива, що знайшла нового друга.",2
7,"Томмі важко тренувався, щоб пробігти свій перший 5 км.","Під час гонки він відчував розчарування, коли стільки людей проїхали його.","Коли він почув, як його назвали під час нагородження, він був шокований.","Він не знав, що вони будуть нагороджувати за віковою групою.","Йому було соромно, що він не отримав ніякого визнання.","Він був пишається тим, що закінчив перший за віком, але десятий загалом.",2
8,Сьогодні Лорі збирається на свій перший офіційний танець.,Її знайомий підняв її і подарував їй прекрасну троянду.,"Лорі носила довгу, блискучу сукню.",Вони танцювали і веселилися з усіма своїми друзями.,Лорі пішла додому плачучи.,"Лорі закінчила вечір, поцілувавши свого хлопця.",2
9,Ніл досліджував історичні залізниці.,"Він їхав до Скрантона, Пенсільванія.","Він зрозумів, що це був прекрасний старий залізничний гараж.","Він зробив багато фотографій, коли був там.",Ніл видалив всі свої фотографії.,Ніл зберег фотографії на своєму комп'ютері.,2
10,Боб боявся свого першого дня роботи в ресторані швидкого харчування.,"Він планував почекати, щоб одягнути свою яскраву морську форму.","Боб почав робити рибні бургери після того, як одягнув форму.","Він був так зайнятий, що забув переодягнутися у вуличне одяг.","Боб так любив цей наряд, що показував його своїм друзям.",Боб вийшов після роботи в морському костюмі.,2
11,Привіт прийшов.,"Я сказав їй, що моя собака кусає.",Вона не слухала.,вона намагалася його ласкати і гратися з ним.,Мій собака укусив її.,Мій собака втік.,1
12,Лестер завжди хотів бути більш художнім.,Одного разу він вирішує намалювати квітку.,Він сідає перед прекрасною орхидеєю і починає малювати.,Лестер дуже добре малював.,Він повісив картину на стіну в вітальні.,Він вирішує більше ніколи нічого не малювати.,1
13,Пабло любить їсти черв'яків.,"Він читав у школі, як це робити.",Він смажує їх в оливковій олії.,Він любить робити це принаймні раз на місяць.,Пабло любить черв'яків і вважає їх делікатесом.,Пабло не любить їсти черв'яків.,1
14,Кіра завжди любив японську культуру.,Багато її улюблених фільмів були японськими.,"Вона вирішила, що поїде туди.",Вона роками заощаджувала гроші на подорож.,Вона витратила всі гроші на взуття.,Це була найкраща поїздка в її житті.,2
15,Глен був в настрої прогулятися.,Він одяг куртку і вийшов на вулицю.,"Ходячи по тротуарі, він споткнувся і розбив коліно.",Глен знову встав і хіпаючи повернувся до свого будинку.,Глен пробіг свій найкращий марафон.,"Глен присягнув, що більше ніколи не буде ходити.",2
16,Ісус весь день поливав меблі.,"Коли наближалася ніч, він переглянув роботу, яку він зробив.",Все виглядало яскраво і нове.,Ісус запросив усіх своїх друзів на вечірку того вечора.,"Вони сказали, що його меблі виглядають добре.",Його друзі полирали його меблі.,1
17,Я недавно ходила до магазину.,"Коли я йшов до виходу, я відчув холодну, тверду сталь на руці.","Я був шокований, коли дізнався, що мене збила машина!","Водій дуже вибачився, коли побачив, що мене збили.","Я сказала, що все гаразд, а потім пішла.",Водій машини дуже на мене розлютився.,1
18,Сестра Джіни порізала собі коліно на розбитому склі.,Кров протікала по її нозі і в її взуття.,"Коли вона побачила кров, вона бігла додому.","Джина бігла за нею, але не могла догнати.","Коли вони повернулися додому, всі з'їли морозиво.",Сестра Джіни пішла до лікаря.,2
19,Один хлопчик був у третьому класі.,"Він був дуже розумним, але йому було важко читати.","Коли він читав наголос, однокласники сміялися з нього.",Він почав щодня вчитися читати.,"Маленький хлопчик визнав, що ніколи не покращиться.",Наприкінці року він добре склав тест з читання.,2
20,У класі Розі була маленька вечірка.,Вона вирішила приготувати фруктовий салат для всіх.,Вона витратила багато грошей на фрукти і багато часу на їх приготування.,У день вечірки вона підняла величезну миску фруктового салата.,У класі Розі було фруктовий салат.,Розі тримала міску фруктового салата в холодильнику вдома.,1
21,"Келлі була щаслива, що отримала новий телефон.",Вона всюди брала його з собою.,"На жаль, вона розбила його.","На щастя, вона змогла його полагодити.",Магазин дав їй справедливу ціну за ремонт.,Келлі купила новий телефон.,1
22,"Коли я була в коледжі, я познайомилася з одним старшим чоловіком.","Мені було 22, а йому 38.",Ми добре розумілися і добре проводили час разом.,"Ми були разом, поки я там була.",Я пам'ятаю ті часи з радістю.,У мене є негативні спогади про той час.,1
23,Боб хотів грати у шкільній п'єсі.,Він уважно вивчив роль.,Він часто репетирував свої репліки.,У день прослуховування він зробив чудову роботу.,Боб був дуже гордий.,Бобу було дуже соромно.,1
24,Джекі призначили наглядачем за вісім класів.,У всьому класі їй заздрять.,Її однокласники часто ставили під загрозу її роботу.,Вони вкрали б пропуски Джекі.,Директор відлучила її класників.,Її однокласники отримали нагороди за свою поведінку.,1
25,Мій тато щойно купив нову машину.,"Щоб відсвяткувати, ми всі поїхали на прогулянку.","Інша машина проїхала знак ""Стоп"" і врізалася в нас.","Я так сильно вдарив вікно, що його зламало.",Я вийшов і ми з татом були в порядку.,Нас обох зруйнувала машина.,1
26,"Моя племінниця обожнює фільм ""Замёрзлі"".","Вона завжди хоче, щоб я її одягнула.","Вона ходить по будинку, співаючи.","Вона любить кричати ""Відпусти це"".",Вона співає це знову і знову.,Вона любить спорт і ненавидить принцеса.,1
27,"Алекс дріблював по корту, його команда була в двох очках відстані.","Він поглянув на табло і побачив, що залишилося лише 5 секунд.","Його розум біг, як він намагався знайти відкритий чоловік.","Захисники прилегли до його товаришів за команду, як клей.","Звук дзвінка заспівав, і його команда виграла гру.",Він спробував тричковий і промахнувся.,2
28,Я прийшов до бібліотеки і сів.,"Коли я озирнувся, я помітив дитину.",Він якийсь час дивився на мене.,Я розчарований і встав з місця.,"Мені було все одно, що робить хлопчик.","Я запитав його, в чому проблема.",2
29,Іва і Брант намагалися зачати дитину.,"Вони намагалися протягом шести місяців, але без успіху.","Коли вони прийшли до лікаря, то висловили розчарування.","Але потім вони побачили, що лікар широко посміхається.",Брант скасує свої плани викрасти дитину.,"Пара буде рада дізнатися, що у них дитина.",2
30,Кетрін завжди цікавилася спортом - керлінгом.,"Кетрін обожнює дивитися на спортсменів, які грають у спорт по телевізору.",Одного дня Кетрін вирішила відвідати тренування з керлінгу.,На тренуванні один з спортсменів запросив Катрин зіграти.,Катерина почала щодня практикувати і стала в цьому добре.,"Кетрін думає, що керлінг виглядає нудно.",1
31,"Франциск завжди з нетерпінням чекав на те, щоб навчитися керувати автомобілем.","Нарешті він досить дорослий, щоб мати водійські права.","Франциск дуже важко навчається, щоб отримати ліцензію.",Він легко здає іспит на водія.,Франциск дуже пишається своїм досягненням.,"Франциск вирішує, що краще їздити на громадському транспорті.",1
32,"Вчора я дуже добре провів час, дивлячись на ""Щореводерку"".",Мені дуже сподобалося.,"Як танцюристи прикрашали сцену, було дуже красиво.","Я відчував себе почесним, бачачи шоу.",Я присягнув ніколи більше не бачити його.,Я хотів побачити його знову.,2
33,Я прокинулася на заняття о 8:30 ранку.,Я сонливо встала з ліжка і прийняла душ.,Я швидко снідав і пішов до класу.,Після 50 хвилин занять я повернувся до свого гуртожитку.,Я вирішив знову повернутися до занять.,"Коли я приїхав туди, я трохи поспівав.",2
34,Гарі хотів привернути увагу Лізи.,Одного дня він вирішує написати Лізі вірш.,Наступного дня в школі Ґарі бачить Лізу в коридорі.,Гарі дуже широко посміхається Лізі і передає їй вірш.,Гарі сильно ударив Лізу і пішов.,"Ліза зізнається, що вона також закохалася в Ґарі.",2
35,Карлос завжди хотів відвідати Францію.,"Він вирішує, що перед тим, як піти, йому слід навчитися говорити французькою.",Він записується на вечірній курс і дуже старанно вчиться.,Нарешті Карлос досить добре говорить французькою.,Карлос забронює рейс до Австралії.,Карлос максимально використовує свою французьку в подорожі до Парижа.,2
36,Ларс завжди хотів спробувати фотографувати.,"Його друг був відмінним фотографом, але він ніколи не намагався.","Одного разу він купив простий, але якісний фотоапарат.",З того дня Ларс щодня знімав зображення природи.,Ларс закохався у фотографію.,Ларс ненавидів фотографію.,1
37,Я купив телевізор у магазині електроніки.,Це великий плоский екран з високою якістю зображення.,Працівець переконував мене купити гарантію на нього на всякий випадок.,Через тиждень телевізор впав зі стіни і зламався.,Я змогла його полагодити за гарантією.,Пізніше співробітника знайшли мертвим.,1
38,Райан був у парку.,"І він побачив маленьку дівчинку, яка тримала балон.","Коли він виходив з парку, він побачив той же повітряний шар, застрягший у дереві.","Він залез на дерево, щоб повернути повітряний шар.",Райан навмисно розбив повітряну кулю.,Райан знайшов дівчину і дав їй загублений повітряний шар.,2
39,"Менеджер Джен сказав їй, що їй потрібно завантажити резюме.","Вона зрозуміла, що її резюме не було правильно сформоване.",Вона перевела весь контент на правильний шаблон.,Вона додала інформацію про свою останню роботу і оновлила резюме.,Потім вона відправила його своєму менеджеру.,Джен ненавиділа мити посуд.,1
