,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Stałem się fanem ""Prawa i Porządku"" w 2011.",Odzyskałem siły po udarze.,"Kiedy wróciłem do domu, próbowałem obejrzeć każdy odcinek.",Ciężko było oglądać 20 lat serialu.,"Myślę, że ""Prawo i Porządek"" to jeden z najgorszych seriali, jakie kiedykolwiek powstały.",W końcu oglądałem je wszystkie.,2
1,"Wszyscy kochali Boba, bo grał popularną postać w filmie.","Bob nienawidził tego, bo nie był taki jak ta postać.","Jim poprosił Boba, żeby powiedział frazę jego postaci.",To było za dużo dla Boba i wybuchł z wściekłości.,Bob kazał mu odejść.,Bob poprosił gościa o herbatę.,1
2,Lita chciała obejrzeć swój ulubiony program w telewizji.,"Dzieci nalegały, żeby z nimi obejrzała.","Lita powiedziała im, że ma coś do zrobienia.",Dzieciaki zaciągnęły jej kosz na pranie do salonu.,Lita zamówiła na lunch pizzę z pepperoni.,"Lita złożyła pranie, oglądając telewizję.",2
3,"Liv skoczyła, gdy zaskoczyła ją głośna eksplozja.","Zdała sobie sprawę, że to żarówka w kuchni się wypaliła.",Wzięła podnóżek i na niego weszła.,Wstrząsnęła się pod nią i prawie upadła.,Liv postanowiła zmienić żarówkę w łazience.,Liv zmieniła żarówkę.,2
4,"Matka powiedziała dzieciom, że za piętnaście minut będzie czas na lunch.",Ale potem dostała ważny telefon.,"Kiedy ona mówiła, pies ciągnął błoto po całej kuchni.","Dzieci zaczęły nękać matkę, która wciąż rozmawiała przez telefon.",Matka była bardzo rozczarowana.,Zachowanie dzieci uspokajało matkę.,1
5,Hector zawsze przed pracą kupuje kawę w lokalnym sklepie.,"Zdaje sobie sprawę, że jego nawyk kupowania kawy jest bardzo drogi.",Pewnego dnia Hector postanowił upić kawę w domu.,"Jest dumny, że kawa, którą robi w domu, jest taka dobra.",Hector robił sobie kawę i oszczędzał pieniądze.,Hector zaczął kupować więcej kawy ze Starbucks.,1
6,"Kelly dowiedziała się, że w szkole jest nowa dziewczyna.","Kiedy weszła do szkoły, poszła jej szukać.","Kiedy ją poznała, zaprosiła ją na obiad.","Kiedy jadły lunch, dziewczyny się zaprzyjaźniły.",Kelly nigdy więcej z nią nie rozmawiała.,"Kelly była szczęśliwa, że ma nowego przyjaciela.",2
7,"Tommy ciężko trenował, żeby biegać pierwszy 5 km.","Podczas wyścigu czuł się sfrustrowany, gdy tak wielu ludzi przechodziło obok niego.","Kiedy usłyszał, że na nagrodach wywołano jego imię, był w szoku.","Nie zdawał sobie sprawy, że będą przyznawać nagrody według grup wiekowych.","Wstydził się, że nie otrzymał żadnego uznania.","Był dumny, że był pierwszy w grupie wiekowej, ale dziesiąty w klasyfikacji ogólnej.",2
8,Laurie idzie dziś na swój pierwszy formalny taniec.,Jej chłopak podniósł ją i dał jej piękną różę.,"Laurie miała długą, błyszczącą sukienkę.",Tańczyły i bawiły się ze wszystkimi przyjaciółmi.,Laurie poszła do domu płacząc.,Laurie zakończyła wieczór pocałunkiem.,2
9,Neil badał historyczne kolei.,Wjechał do Scranton w Pensylwanii.,"Zdał sobie sprawę, że to piękne stare dworce kolejowe.",Zrobił tam mnóstwo zdjęć.,Neil usunął wszystkie swoje zdjęcia.,Neil zapisał zdjęcia na swoim komputerze.,2
