,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Tiang dados penggemar Law and Order ring warsa 2011.,Tiang sampun seger ulian stroke.,Ri tatkala tiang budal tiang mautsaha nyingakin sabilang episode.,Susah banget nonton 20 Tahun.,Manut titiang Law and Order wantah silih tunggil acara sané kaon pisan sané naenin kakaryanin.,Pamuputne tiang nonton makejang.,2
1,Samian seneng ring Bob santukan dané dados tokoh sané kasub ring pilem.,Bob geting pisan santukan dané nénten pisan masaih sareng karakter punika.,Jim nunas ring Bob mangda nyambatang lengkara sané kaanggén ring karakternyané.,"Bob nénten prasida naur, raris ipun bengong.",Bob ngorahin anaké ento apang ngutang ia padidi.,Bob ngajakin omongan teh.,1
2,Lita meled nyingakin acara TV sané pinih demen ipun.,Pianak-pianaknyane nyekenang mangda ipun sareng-sareng nonton.,"Lita ngorahin ia ajaka makejang, ia ngelah gae lakar gaenin.",Pianak-pianakne nglempag kranjang panganggonne ka ruang tamu.,Lita ngidih pizza pepperoni anggén ajengan tengai.,Lita ngumbah baju sambilanga mabalih TV.,2
3,Liv melompat saking kagetnya.,Ipun uning wantah lampu ring dapurné sané ngendih.,Ipun ngambil bangku miwah macelep ka duur bangku punika.,Tyang mageng ring betenne lan ia meh ulung.,Liv raris magentos lampu ring kamar mandi.,Liv raris ngentosin lampu punika.,2
4,"Biang ngorahin pianakne, buin patbelas menit lakar masan makan siang.",Nanging dane polih pangrawuh penting saking telepon.,"Risedek ipun mabaos, asu punika ngambek endut ring dapur.","Anak alit punika ngawitin nyakitin biangnyane, sane kantun ring telepon.",Biang danene raris rumasa osek ring kayun.,Parilaksanan pianak-pianaknyane ngawinang biangnyane marasa tenang.,1
5,Hector setata matumbasan kopi ring warung lokal sadurung makarya.,Dané uning kawéntenan kopi sané sampun biasa anggén ipun punika mael pisan.,"Sedek rahina anu, Hector raris makarya kopi ring jeronné.",Ida bangga pisan santukan kopi sané kakaryanin ring jeroné punika becik pisan.,Hector tetep ngaryanin kopi antuk ragannyané miwah ngirit jinah.,Hector ngawit numbas kopi saking Starbucks.,1
6,Kelly uning wénten anak istri anyar ring sekolah.,"Rikala ipun ngranjing ka sekolah, ipun ngrereh anak istri punika.","Rikala ipun kapanggih ring Ida, Ida ngundang ipun mangda sareng-sareng marayunan.","Ritatkala ipun sareng kalih madaar, ipun raris dados sawitran.",Kelly nénten malih mabaos ring ipun.,Kelly bagia pisan santukan sampun polih sawitra anyar.,2
7,Tommy malatih antuk kuat antuk malaib 5K kapertama.,"Ri tatkala malaib, dane marasa sedih santukan akeh anake nglintangin dane.","Ritatkala ida mireng wastan ida kaucap ring acara penghargaan, ida marasa tengkejut.",Dané nénten uning yéning wénten penghargaan manut yusa.,Ia marasa kimud sawireh ia tusing ngamolihang pangakuan.,"Dané bangga pisan prasida dados anak kapertama ring kategori yusa, sakéwanten dados anak kaping dasa ring sekaa sané pinih ageng.",2
8,Laurie jagi nyarengin tari resmi kapertama ring wengi puniki.,Timpalnyane raris ngajak ipun ka kamar tur ngicen ipun mawar mawar sane becik.,Laurie nganggen busana panjang sane ngenyudin.,Ipun makidung tur maliang-liang sareng sawitrannyane.,Laurie raris budal ngajengang.,Laurie muputang malam antuk ngambungin pacarne.,2
9,Neil nuju nyelehin rel kereta api sané sampun lami.,"Ida ngungsi ka Scranton, Pennsylvania.",Dané uning irika wénten stasiun sepur sané becik pisan.,Dané ngambil akéh foto ri tatkala irika.,Neil ngusap makejang potrekannyane.,Neil nyimpen foto-fotone ring komputerne.,2
