,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Em vaig convertir en un fan de Llei i Ordre el 2011.,Em recuperava d'un atac cerebral.,Quan vaig arribar a casa vaig intentar veure cada episodi.,Era difícil intentar veure 20 anys d'un programa.,"Crec que ""Llei i Ordre"" és una de les pitjors sèries que s'han fet mai.",Finalment els vaig veure a tots.,2
1,Tothom estimava Bob perquè interpretava un personatge popular en pel·lícules.,Bob l'odiava perquè no era res com aquest personatge.,Jim va demanar a Bob que digués la frase clau del seu personatge.,Va ser massa per a Bob i va explotar de ràbia.,Bob li va dir a l'home que el deixés en pau.,Bob va demanar te a l'home.,1
2,Lita volia veure el seu programa preferit a la televisió.,Els seus fills van insistir que es posés a veure amb ells.,Lita els va dir que tenia tasques a fer.,Els seus fills van arrossegar la seva cistella de roba a la sala.,Lita va demanar una pizza amb pepperoni per dinar.,Lita va doblar la roba mentre mirava la televisió.,2
3,Liv va saltar quan va ser espantat per un gran trenc.,Va adonar-se que era la bombeta de la seva cuina que s'havia esgotat.,Va sortir d'un escabel i es va posar-hi.,Va trontollar-se sota ella i gairebé va caure.,La Liv va decidir canviar una bombeta al bany.,Liv va canviar la bombeta.,2
4,La mare va dir als seus fills que seria hora de dinar en quinze minuts.,Però després va rebre una trucada important.,"Mentre parlava, el gos va arrossegar fang per tota la cuina.","Els nens van començar a molestar la seva mare, que encara estava al telèfon.",La mare es va sentir molt frustrada.,El comportament dels nens va calmar la mare.,1
5,Hector sempre ha comprat cafè en una botiga local abans de treballar.,S'adona que el seu costum de comprar cafè és molt car.,"Un dia, l'Hector decideix fer cafè a casa.",Està orgullós que el cafè que fa a casa sigui tan bo.,Hector va seguir preparant el seu propi cafè i estalviant diners.,Hector va començar a comprar més cafè a Starbucks.,1
6,Kelly va descobrir que hi havia una noia nova a l'escola.,Quan va entrar a l'escola va anar a buscar-la.,"Quan la va conèixer, la va convidar a dinar amb ella.","Quan van dinar, les noies es van fer amigues.",Kelly mai més no va parlar amb ella.,Kelly estava feliç d'haver fet un nou amic.,2
7,Tommy s'ha entrenat dur per córrer els seus primers 5 km.,Durant la cursa es va sentir frustrat quan tanta gent el va passar.,Quan va sentir el seu nom durant els premis va quedar en un estat de xoc.,No s'havia adonat que hi havia premis per grups d'edat.,Li feia vergonya que no rebi cap reconeixement.,Estava orgullós de acabar primer per edat però desè en general.,2
8,La Laurie va al seu primer ball formal aquesta nit.,El seu company la va agafar i li va regalar una rosa preciosa.,La Laurie portava un vestit llarg i brillant.,Van ballar i es van divertir amb tots els seus amics.,La Laurie va anar a casa plorant.,La Laurie va acabar la nit petjant el seu amic.,2
9,Neil explorava ferrocarrils històrics.,"Va entrar a Scranton, Pennsilvània.",Va adonar-se que era una bonica estació de tren.,Va fer moltes fotos mentre estava allà.,Neil va esborrar totes les seves fotos.,Neil va guardar les fotos al seu ordinador.,2
10,Bob va tenir por del seu primer dia de treball en un restaurant de peixos de menjar ràpid.,Planea esperar per posar-se el seu vistós uniforme de mariners.,Bob va començar a treballar fent hamburgueses de peix després de posar-se l'uniforme.,"Estava tan ocupat, que va oblidar de tornar a la seva roba de carrer.",A Bob li va encantar tant el vestit que el va mostrar als seus amics.,Bob va sortir després de la feina vestit amb el vestit de mariners.,2
11,Un amic va venir a visitar-me.,Li vaig dir que el meu gos mordeix.,No m'ha escoltat.,Ella va intentar acariciar-lo i jugar amb ell.,El meu gos la va mossegar.,El meu gos s'ha fugit.,1
12,Lester sempre ha volgut ser més artístic.,Un dia decideix intentar dibuixar una flor.,Es posa davant d'una orquídea bonica i comença a dibuixar.,El dibuix de Lester surt molt bé.,Ell penja el quadre a la paret del seu saló.,Decideix no tornar a dibuixar res.,1
13,Al Pablo li agrada menjar cucs.,Va llegir un llibre a l'escola sobre com fer això.,Els frita en oli d'oliva.,Li agrada fer això almenys una vegada al mes.,Pablo gaudeix dels cucs i els considera un delicatès.,Al Pablo no li agrada menjar cucs.,1
14,A Kira sempre li va encantar la cultura japonesa.,Moltes de les seves pel·lícules favorites eren en japonès.,Va decidir que viatjaria allà.,Durant anys va estalviar diners per al seu viatge.,Va gastar tots els diners en sabates.,Va ser el millor viatge de la seva vida.,2
