,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Leta 2011 sem postal navijač serije Zakon in red.,Ozdravljal sem se možganske kapi.,"Ko sem prišel domov, sem poskusil gledati vsako epizodo.",Težko je bilo gledati 20 let predstave.,"Mislim, da je ""Zakon in red"" ena najslabših serij.",Na koncu sem jih vse gledal.,2
1,"Vsi so imeli radi Boba, ker je igral priljubljenega igralca.","Bob je sovražil, ker ni bil nič podoben temu licu.","Jim je Bobu rekel, naj izreče frazo njegovega lika.",Bob je bil preveč in je eksplodiral od jeze.,"Bob je rekel, naj ga pusti pri miru.",Bob je moškega prosil za čaj.,1
2,Lita je hotela gledati svojo najljubšo oddajo na televiziji.,"Njeni otroci so vztrajali, da si z njimi prisede in si jih ogleda.","Lita jim je rekla, da ima opravke.",Otroci so jo v dnevni sobi vlekli v košaro za perilo.,Lita je naročila pepperoni pico za kosilo.,"Lita je zložila perilo, medtem ko je gledala televizijo.",2
3,"Liv je skočila, ko jo je prestrašil glasen pop.","Ugotovila je, da je žarnica v kuhinji izgorela.",Vzela je stojalo in stopila nanj.,Pod njo se je zamahnila in skoraj je padla.,Liv je hotela zamenjati žarnico v kopalnici.,Liv je nato zamenjala žarnico.,2
4,"Mama je povedala otrokom, da bo čez petnajst minut kosilo.",Potem pa je dobila pomemben klic.,"Medtem ko je govorila, je pes potegnil blato po vsej kuhinji.","Otroci so začeli nadlegovati svojo mamo, ki je še vedno govorila po telefonu.",Mati je bila precej razočarana.,Otrokovo vedenje je mater pomirilo.,1
5,Hector je vedno kupil kavo v lokalni trgovini pred službo.,"Zaveda se, da je njegova navada kupovanja kave zelo draga.","Nekega dne se je Hector odločil, da bo doma skuhal kavo.","Ponosen je, da je doma pripravljena kava tako dobra.",Hector je še naprej pripravljal svojo kavo in prihranil denar.,Hector je začel kupovati več kave iz Starbucksa.,1
6,"Kelly je izvedela, da je v šoli nova punca.","Ko je prišla v šolo, jo je iskala.","Ko jo je srečala, jo je povabila k sebi na kosilo.","Ko sta kosila, sta se punce spoprijateljila.",Kelly ni nikoli več govoril z njo.,"Kelly je bila srečna, da je dobila novega prijatelja.",2
7,Tommy je trdo treniral za prvi tek.,"Med dirko je bil razočaran, ko je toliko ljudi prešlo mimo njega.","Ko je slišal, da ga kličejo na nagradnih prireditvah, je bil šokiran.","Ni vedel, da bodo podelili nagrade po starostnih skupinah.","Sram ga je bilo, da ni dobil priznanja.","Bil je ponosen, da je bil prvi po starosti, a deseti v skupini.",2
8,Laurie gre nocoj na svoj prvi formalni ples.,Njen zmenek jo je pobral in ji podaril lepo vrtnico.,"Laurie je nosila dolgo, bleščečo obleko.",Plesala sta in se zabavala s prijatelji.,Laurie je šla domov jokati.,Laurie je večer končala s poljubom svojega zmenka.,2
9,Neil je raziskoval zgodovinske železnice.,"Prišel je v Scranton, Pennsylvania.","Ugotovil je, da je to čudovita stara železniška postaja.","Veliko je slikal, ko je bil tam.",Neil je izbrisal vse svoje fotografije.,Neil je shranil fotografije na računalnik.,2
10,Bob se je bal svojega prvega dneva dela v ribji restavraciji s hitro hrano.,"Hotel je počakati, da si obleče svojo razkošno mornariško uniformo.","Bob je začel delati ribje hamburgerje, ko je oblekel uniformo.","Bil je tako zaposlen, da je pozabil, da se preoblečete v svoje ulične obleke.","Bob je bil tako navdušen nad obleko, da jo je pokazal prijateljem.",Bob je šel po službi v mornariški obleki.,2
11,Prijatelj je prišel na obisk.,"Rekel sem ji, da moj pes grize.",Ni poslušala.,Poskušala ga je mazliti in se igrati z njim.,Moj pes jo je ugriznil.,Moj pes je pobegnil.,1
12,Lester je vedno želel biti bolj umetniški.,"Nekega dne se odloči, da bo poskusil narisati cvet.",Sedel je pred čudovito orhidejo in začel risati.,Lesterjeva risba je zelo dobra.,Sliko je obesil na steno v dnevni sobi.,"Odloči se, da ne bo nikoli več kaj narisal.",1
13,Pablo rad je črve.,"V šoli je bral, kako to narediti.",Prženi jih v oljčnem olju.,To radi počne vsaj enkrat na mesec.,Pablo uživa v črvih in jih vidi kot delikateso.,Pablo ne uživa v uživanju v črvih.,1
14,Kira je vedno ljubil japonsko kulturo.,Mnoge njene najljubše filme so bile v japonskem jeziku.,"Odločila se je, da bo potovala tja.",Leta je varčevala za potovanje.,Ves denar je zapravila za čevlje.,To je bilo najboljše potovanje v njenem življenju.,2
15,Glen je bil v razpoloženju za sprehod.,Oblekel je jakno in odšel ven.,"Ko je hodil po pločniku, se je spotaknil in si zlomil koleno.",Glen je vstal in se hrupno vrnil domov.,Glen je tekel svoj najboljši čas v maraton.,"Glen je prisegel, da ne bo nikoli več hodil.",2
16,Jezus je cel dan poliral pohištvo.,"Ko se je približevala noč, je pregledal delo, ki ga je opravil.",Vse je bilo videti bleščeče in novo.,Jezus je povabil vse svoje prijatelje na zabavo.,"Pravijo, da je imel lepo pohištvo.",Njegovi prijatelji so mu polirali pohištvo.,1
17,Pred kratkim sem hodila v trgovino.,"Ko sem hodila mimo izhoda, sem na roki čutila hladno, trdo jeklo.","Presenečen sem bil, da me je povozil avto!","Voznik se je zelo opravičil, ko je videl, da sem bila zadeta.","Rekel sem, da je v redu, in odšel.",Voznik je postal zelo jezen name.,1
18,Ginin sestra si je prerezala gleženj na razbitem steklu.,Kri je tekla po njenem stopu in v njen čevelj.,"Ko je videla kri, je pobegnila domov.","Gina je tekla za njo, vendar je ne mogla slediti.","Ko so prišli domov, so vsi jedli sladoled.",Ginin sestra je šla k zdravniku.,2
19,Majhen fantek je bil v tretjem razredu.,"Bil je zelo pameten, vendar se je boril z branjem.","Ko je glasno bral, so se mu sošolci smejali.",Začel je vsak dan vaditi branje.,"Fantek je sprejel, da se ne bo nikoli izboljšal.",Ob koncu leta je dobro opravil preizkus branja.,2
20,Rosiejin razred je imel zabavo.,"Odločila se je, da bo za vse pripravila sadno solato.",Na sadje je zapravila veliko denarja in veliko časa.,Na dan zabave je vzela ogromno posodo sadne solate.,Rosiejin razred je jedel sadno solato.,Rosie je imela lonček sadne solate doma v hladilniku.,1
21,"Kelly je bila vesela, da ima nov telefon.",Povsod ga je vzela s seboj.,Na žalost jo je razbila.,Na srečo je uspela popraviti.,V trgovini so ji dali pošteno ceno za popravilo.,Kelly je kupila nov telefon.,1
22,"Ko sem bila na faksu, sem spoznala starejšega moškega.","Jaz sem imela 22 let, on pa 38.",Dobro sva se razumela in se imela lepo skupaj.,"Ves čas, ko sem bil tam, sva bila skupaj.",O tem času imam lepe spomine.,Imam negativne spomine na tisti čas.,1
23,Bob je hotel igrati v šolski predstavi.,Preučil je vlogo.,Pogosto je vadil svoje rešitve.,Na avdiciji je opravil odlično delo.,Bob je bil zelo ponosen.,Bob se je zelo sramoval.,1
24,Jackie je bila imenovana za nadzornico v osmem razredu.,V celotnem razredu ji zavidajo.,Sošolci so pogosto ogrožali njeno službo.,Ukradli bi Jackiejine vstopnice.,Ravnatelj je suspendiral njene razredne sošolce.,Njeni sošolci so dobili nagrade za svoje vedenje.,1
25,Moj oče je pravkar dobil nov avto.,"Da bi proslavili, smo šli vsi na vožnjo.",Drugi avto je prehitel znak STOP in nas zadel.,"Z dovolj močjo sem udaril okna, da se je zlomilo.",Z očetom sva bila v redu.,Oba sva bila zravna z vozilom.,1
26,"Moja nečakinja obožuje film ""Zmrzlo življenje"".","Vedno hoče, da jo oblečem.",Po hiši hodi in poje.,"Rada kriči, da jo pusti.",Vedno znova jo poje.,Rada ima šport in sovraži princeske stvari.,1
27,"Alex je drobil po igrišču, njegova ekipa je bila za dve točki.","Pogledal je na tablico in videl, da je ostalo le še pet sekund.","Njegov um je tekel, ko je poskušal najti odprtega človeka.",Obrambniki so se kot lepilo prilepili na njegove soigralce.,Zvonilo je zvonilo in njegova ekipa je zmagala.,Poskušal je trečico in zgrešil.,2
28,Prišel sem v knjižnico in se usedel.,"Ko sem se ozrla, sem opazila otroka.",Nekaj časa je buljil vame.,Zfrustriran sem vstal.,"Ni mi bilo mar, kaj dela otrok.","Vprašal sem ga, kaj je njegov problem.",2
