,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Я стал фанатом ""Закона и порядка"" в 2011 году.",Я восстанавливался после инсульта.,"Когда я вернулся домой, я попытался посмотреть каждый эпизод.","Было трудно пытаться смотреть шоу ""20 лет"".","Я думаю, ""Закон и порядок"" - один из худших сериалов, когда-либо снятых.",В конце концов я посмотрел их все.,2
1,"Все любили Боба, потому что он играл популярного персонажа в фильме.","Боб ненавидел это, потому что он совсем не был похож на этого персонажа.","Джим попросил Боба сказать фразу, которая запомнилась его персонажу.","Это было слишком много для Боба, и он взорвался от ярости.",Боб сказал человеку оставить его в покое.,Боб попросил у человека чаю.,1
2,Лита хотела посмотреть любимое шоу по телевизору.,"Дети настояли, чтобы она посмотрела вместе с ними.","Лита сказала им, что у нее есть дела.",Дети затащили ее корзину с бельем в гостиную.,Лита заказала пиццу с пепперони на обед.,"Лита складывала белье, пока смотрела телевизор.",2
3,"Лив прыгнула, когда ее напугал громкий взрыв.","Она поняла, что это лампочка на кухне выгорает.",Она вышла из стулья и наступила на него.,Она дрожала под ней и она чуть не упала.,Лив решила поменять лампочку в ванной.,Лив затем сменила лампочку.,2
4,"Мать сказала детям, что через пятнадцать минут будет время обеда.",Но потом ей позвонили.,"Пока она говорила, собака тащила грязь по всей кухне.","Дети начали приставать к матери, которая все еще разговаривала по телефону.",Мать была очень расстроена.,Поведение детей успокоило мать.,1
5,Гектор всегда покупал кофе в местном магазине перед работой.,"Он понимает, что его привычка покупать кофе очень дорого стоит.",Однажды Гектор решил заварить кофе дома.,"Он гордится тем, что кофе, который он готовит дома, так хорош.",Гектор продолжал брать свой кофе и экономить деньги.,Гектор начал покупать кофе в Starbucks.,1
6,"Келли узнала, что в школе появилась новая девушка.","Когда она вошла в школу, она пошла искать ее.","Когда она встретила ее, она пригласила ее сесть с ней на обед.","Когда они пообедали, девочки подружились.",Келли больше никогда с ней не разговаривала.,Келли была рада завести нового друга.,2
7,"Томми тренировался, чтобы пробежать свои первые 5 км.","Во время гонки он чувствовал себя расстроенным, когда столько людей проходило мимо него.","Когда он услышал, как его имя называют на церемонии награждения, он был шокирован.","Он не знал, что они будут вручать награды по возрастным группам.","Ему было стыдно, что его не признают.","Он гордился тем, что занял первое место по возрасту, но десятое в общем зачете.",2
8,Сегодня Лори пойдет на свой первый официальный танец.,Ее парень подобрал ее и подарил ей красивую розу.,Лори была одета в длинное сверкающее платье.,Они танцевали и веселились со всеми своими друзьями.,Лори пошла домой плачущей.,Лори поцеловала своего парня.,2
9,Нил изучал исторические железные дороги.,"Он въехал в Скрантон, штат Пенсильвания.","Он понял, что это красивый старый железнодорожный вокзал.","Он сделал много фотографий, пока был там.",Нил удалил все свои фотографии.,Нил сохранил фотографии на своем компьютере.,2
10,Боб боялся своего первого дня работы в рыбном заведении быстрого питания.,"Он планировал подождать, чтобы надеть свою яркую морскую форму.","Боб начал готовить рыбные бургеры после того, как надел форму.","Он был так занят, что забыл переодеться в уличную одежду.","Боб так любил этот наряд, что показывал его своим друзьям.",Боб вышел после работы в морском костюме.,2
11,Приехал друг.,"Я сказал ей, что моя собака кусает.",Она не слушала.,Она пыталась погладить его и поиграть с ним.,Моя собака укусила её.,Моя собака убежала.,1
12,Лестер всегда хотел быть более художественным.,Однажды он решает попытаться нарисовать цветок.,Он садится перед красивой орхидеей и начинает рисовать.,Рисунок Лестера очень хорошо выходит.,Он повесил картину на стену в гостиной.,Он решил больше никогда ничего не рисовать.,1
13,Пабло любит есть червей.,"Он читал в школе, как это делается.",Он жарит их в оливковом масле.,Он любит делать это хотя бы раз в месяц.,Пабло любит червей и считает их деликатесом.,Пабло не любит есть червей.,1
14,Кира всегда любил японскую культуру.,Многие из её любимых фильмов были на японском.,"Она решила, что поедет туда.",Она годами копила деньги на поездку.,Она потратила все деньги на обувь.,Это была лучшая поездка в ее жизни.,2
15,Глен был в настроении прогуляться.,Он надел куртку и вышел наружу.,"Когда он шел по тротуару, он споткнулся и сломал колено.",Глен снова встал и пошел назад к себе домой.,Глен пробежал свой лучший марафонский час.,"Глен поклялся, что больше никогда не будет ходить.",2
16,Иисус весь день полировал мебель.,"Когда приближалась ночь, он обследовал работу, которую он сделал.",Все выглядело блестяще и новым.,Иисус пригласил всех своих друзей на вечеринку.,"Они сказали, что его мебель выглядит хорошо.",Его друзья полировали его мебель.,1
17,Я недавно шла в магазин.,"Когда я проходил мимо выхода, я почувствовал холод, твердую сталь на руке.","Я был шокирован, что меня сбила машина!","Водитель очень извинялся, когда увидел, что меня сбили.","Я сказал им, что все в порядке, а потом ушел.",Водитель машины очень на меня рассердился.,1
18,Сестра Джины порезала лодыжку на разбитом стекле.,Кровь стекла по ее ноге и в ее ботинок.,"Когда она увидела кровь, она побежала домой.","Джина бежала за ней, но не могла догнать.","Когда они вернулись домой, все ели мороженое.",Сестра Джины пошла к врачу.,2
19,Маленький мальчик был в третьем классе.,"Он был очень умным, но с трудом мог читать.","Когда он читал вслух, одноклассники смеялись над ним.",Он начал практиковаться в чтении каждый день.,"Маленький мальчик признал, что он никогда не станет лучше.",В конце года он хорошо сдал экзамен по чтению.,2
20,У Рози в классе была небольшая вечеринка.,Она решила приготовить фруктовый салат для всех.,Она потратила много денег на фрукты и много времени на их приготовление.,В день вечеринки она подхватила огромную миску фруктового салата.,Класс Рози поделился фруктовым салатами.,Рози хранила тарелку фруктового салата в холодильнике дома.,1
21,Келли была счастлива получить свой новый телефон.,Она везде с собой брала его.,"К сожалению, она его разбила.","К счастью, она смогла его починить.",Магазин дал ей справедливую цену за ремонт.,Келли купила новый телефон.,1
