,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Jag blev fan av ""Law and Order"" 2011.",Jag återhämtade mig från en stroke.,När jag kom hem försökte jag se varje avsnitt.,Det var svårt att försöka binge titta 20 år av en show.,"Jag tycker att ""Law and Order"" är en av de värsta serierna någonsin.",Till slut såg jag dem alla.,2
1,Alla älskade Bob för att han spelade en populär karaktär i en film.,Bob hatade det för han var inte alls som den där karaktären.,Jim bad Bob säga karaktärens slagord.,Det var för mycket för Bob och han exploderade av raseri.,Bob sa åt mannen att lämna honom ifred.,Bob bad mannen om te.,1
2,Lita ville se sitt favoritprogram på tv.,Hennes barn insisterade på att hon skulle titta på den tillsammans med dem.,Lita sa att hon hade sysslor att göra.,Barnen släpade hennes tvättkorg till vardagsrummet.,Lita beställde en pepperoni pizza till lunch.,Lita vikte tvätten medan hon tittade på tv.,2
3,Liv hoppade när hon blev överraskad av ett högt knäpp.,Hon insåg att det var glödlampan i köket som brann ut.,Hon tog fram en fotstool och gick på den.,Den vacklade under henne och hon föll nästan.,Liv bestämde sig för att byta en glödlampa i badrummet.,Liv bytte sedan glödlampa.,2
4,Mamma sa till sina barn att det skulle vara lunchtid om femton minuter.,Men sen fick hon ett viktigt telefonsamtal.,"Medan hon talade, släpade hunden lera över hela köket.","Barnen började störa sin mamma, som fortfarande pratade i telefon.",Modern kände sig ganska frustrerad.,Barnen var så trevliga att de lugnade modern.,1
5,Hector har alltid köpt kaffe i en lokal butik innan jobbet.,Han inser att hans kaffekostnad är mycket dyr.,En dag bestämmer sig Hector för att brygga kaffe hemma.,Han är stolt över att kaffet han har gjort hemma är så gott.,Hector fortsatte att brygga sitt eget kaffe och spara pengar.,Hector började köpa mer kaffe från Starbucks.,1
6,Kelly fick reda på att det var en ny flicka i skolan.,När hon kom in i skolan började hon leta efter henne.,"När hon träffade henne, bjöd hon henne att sitta med henne på lunch.",När de åt lunch blev flickorna vänner.,Kelly pratade aldrig med henne igen.,Kelly var glad över att ha fått en ny vän.,2
7,Tommy tränade hårt för att springa sin första 5 km.,Under loppet kände han sig frustrerad när så många människor passerade honom.,När han hörde sitt namn kallas vid prisutdelningar blev han chockad.,Han visste inte att de skulle dela ut priser efter åldersgrupp.,Han skämdes för att han inte fick något erkännande.,Han var stolt över att ha slutfört som nummer ett i åldersgruppen men som tionde totalt.,2
8,Laurie ska på sin första formella dans ikväll.,Hon hämtade en kompis och gav henne en vacker ros.,"Laurie hade en lång, glittrande klänning.",De dansade och hade kul med alla sina vänner.,Laurie gick gråtande hem.,Laurie avslutade kvällen med att kyssa sin dejt.,2
9,Neil utforskade historiska järnvägar.,"Han red in i Scranton, Pennsylvania.",Han insåg att det var en vacker gammal tågstation.,Han tog massor av bilder medan han var där.,Neil raderade alla sina foton.,Neil sparade bilderna på sin dator.,2
10,Bob fruktade sin första dag på en snabbmatställe.,Han tänkte vänta tills han kunde ta på sig sin kvick marina uniform.,Bob började göra fiskburgare efter att ha klätt på sig uniformen.,"Han var så upptagen, han glömde att byta tillbaka till sina gatukläder",Bob älskade kläderna så mycket att han visade dem för sina vänner.,Bob gick ut efter jobbet i sjömansdräkt.,2
11,En vän kom på besök.,Jag sa att min hund biter.,Hon lyssnade inte.,Hon försökte smeka honom och leka med honom.,Min hund bet henne.,Min hund rymde.,1
12,Lester har alltid velat vara mer konstnärlig.,Han bestämmer sig för att försöka rita en blomma en dag.,Han sätter sig framför en vacker orkidé och börjar rita.,Lesters teckning är väldigt bra.,Han hänger upp bilden i sitt vardagsrum.,Han bestämmer sig för att aldrig rita någonting igen.,1
13,Pablo gillar att äta maskar.,Han läste i en bok i skolan om hur man gör det här.,Han steker dem i olivolja.,Han gör det här minst en gång i månaden.,Pablo tycker om maskar och ser dem som en delikatess.,Pablo tycker inte om att äta maskar.,1
14,Kira har alltid älskat japansk kultur.,Många av hennes favoritfilmer var på japanska.,Hon bestämde sig för att resa dit.,I åratal sparar hon pengar till resan.,Hon spenderade alla pengar på skor.,Det var hennes livs bästa resa.,2
15,Glen var på promenadhumör.,Han tog på sig jackan och gick ut.,När han gick på trottoaren snubblade han och bröt knät.,Glen reste sig upp igen och haltade tillbaka till sitt hus.,Glen sprang sitt bästa maratontid någonsin.,Glen svor att han aldrig skulle gå igen.,2
16,Jesus har polerat möblerna hela dagen.,"När natten närmade sig, övervägde han det arbete han hade gjort.",Allt såg glänsande och nytt ut.,Jesus bjöd alla sina vänner på en fest den kvällen.,De sa att hans möbler såg bra ut.,Hans vänner polerade hans möbler.,1
17,Jag gick till affären nyligen.,"När jag passerade en utgång kände jag kallt, hårt stål på min arm.",Jag blev chockad över att jag blev påkörd av en bil!,Föraren var väldigt ursäktande efter att han såg att jag blev påkörd.,Jag sa att det var okej och gick därifrån.,Bilföraren blev mycket arg på mig.,1
18,Ginas syster skar sig i fotled på glas.,Blodet rann nerför hennes fot och in i hennes sko.,När hon såg blodet sprang hon hem.,"Gina sprang efter henne, men kunde inte hålla jämna steg.",När de kom hem åt de alla glass.,Ginas syster gick till doktorn.,2
19,En liten pojke gick i tredje klass.,Han var väldigt smart men hade svårt att läsa.,När han läste högt skrattade hans klasskamrater åt honom.,Han började öva på att läsa varje dag.,Den lille pojken accepterade att han aldrig skulle bli bättre.,I slutet av året gjorde han bra ifrån sig i sitt läsprov.,2
20,Rosie hade en liten fest.,Hon bestämde sig för att göra en fruktsalade till alla.,Hon spenderade mycket pengar på frukten och mycket tid på att förbereda den.,På festen tog hon en stor skål fruktsalade.,Rosie's klass delade fruktsalaten.,Rosie hade fruktsallad i kylskåpet hemma.,1
21,Kelly var glad över att få sin nya telefon.,Hon tog med den överallt.,Tyvärr krossade hon den.,Men hon lyckades fixa det.,Hon fick ett rimligt pris för att fixa den.,Kelly har köpt en ny telefon.,1
22,När jag gick på college hade jag träffat en äldre man.,Jag var 22 och han var 38.,Vi hade en bra förståelse och hade en bra tid tillsammans.,Vi var tillsammans hela tiden jag var där.,Jag har fina minnen från den tiden.,Jag har negativa minnen från den tiden.,1
23,Bob ville vara med i skolpjäsen.,Han studerade rollen noggrant.,Han övar ofta på sina repliker.,På provspeladdagen gjorde han ett bra jobb.,Bob var väldigt stolt.,Bob skämdes mycket.,1
24,Jackie har blivit utsedd till hallövervakare i åttonde klass.,Hon är avundsjuk i hela klassen.,Klasskamrater hotade ofta hennes jobb.,De stal Jackies pass.,Rektorn avstängde hennes högljudda klasskamrater.,Hennes klasskamrater fick utmärkelser för sitt uppförande.,1
25,Min pappa hade precis köpt en ny bil.,För att fira det åkte vi en sväng.,En annan bil körde över en stoppskylt och körde in i oss.,Jag slog i fönstret så att det gick sönder.,Jag klättrade ut och jag och min pappa var okej.,Vi blev båda plattade av fordonet.,1
26,Min systerdotter älskar Frozen-filmen.,Hon vill alltid ha den på sig.,Hon går runt huset och sjunger.,"Hon älskar att skrika ""låt bli"".",Hon sjunger den om och om igen.,Hon älskar sport och hatar prinsessakter.,1
27,"Alex dribblade upp på planen, med sitt lag bakom två poäng.",Han tittade på resultattavlan och såg att det bara var fem sekunder kvar.,Han försökte hitta en öppen man.,Försvararna hängde fast vid hans lagkamrater som lim.,- Hans lag vann.,Han försökte en trepoäng och missade.,2
28,Jag kom in i biblioteket och satte mig.,"När jag tittade runt, såg jag en unge.",Han stirrade på mig ett tag.,Jag blev frustrerad och reste mig från min plats.,Jag brydde mig inte om vad ungen gjorde.,Jag frågade vad hans problem var.,2
29,Iva och Brant försökte bli gravida.,De hade försökt i sex månader utan framgång.,Vid sin läkarbesök uttryckte de sin besvikelse.,Men sedan såg de läkaren le vidsträckt.,Brant kommer att avbryta sina planer på att kidnappa ett barn.,Paret kommer att bli glada att veta att de har en bebis på väg.,2
30,Catherine har alltid varit fascinerad av curling.,Catherine älskar att se idrottarna spela på tv.,En dag bestämde sig Catherine för att besöka en curlingträning.,Vid träningen bjöd en av idrottarna in Catherine att spela.,Catherine började sedan öva varje dag och blev bra på det.,Catherine tyckte att curling såg tråkigt ut.,1
31,Francis har alltid sett fram emot att lära sig köra bil.,Äntligen är han gammal nog för ett körkort.,Francis studerar hårt för att få körkort.,Han klarade körprovet med lätthet.,Francis är stolt över sin prestation.,Francis bestämmer sig för att ta kollektivtrafiken.,1
32,Igår hade jag en fantastisk tid med att se Nötknäpparen.,Jag älskade det.,När dansarna prydde scenen var det vackert.,Jag kände mig hedrad att ha sett showen.,Jag svor att aldrig se den igen.,Jag ville se den igen.,2
33,Jag vaknade för min lektion kl. 8.30 på morgonen.,Jag gick sömnig upp ur sängen och tog en dusch.,Jag åt snabbt frukost och började gå till klassen.,Efter 50 minuters lektion började jag gå tillbaka till min studentbostad.,Jag bestämde mig för att gå tillbaka till klassen igen.,När jag kom dit tog jag en tupplur.,2
34,Gary ville få Lisas uppmärksamhet.,En dag bestämmer han sig för att skriva en dikt till Lisa.,Nästa dag i skolan ser Gary Lisa i hallen.,Gary ler och ger henne dikten.,Gary slår Lisa hårt och går därifrån.,Lisa erkänner att hon också är kär i Gary.,2
35,Carlos har alltid velat besöka Frankrike.,Han bestämmer sig för att han ska lära sig att tala franska innan han åker.,Han går på en kvällskurs och studerar mycket hårt.,Äntligen kan Carlos tala franska ganska bra.,Carlos bokar en flygresa till Australien.,Carlos utnyttjar sin franska på sin resa till Paris.,2
36,Lars hade alltid velat prova fotografering.,"Hans vän var en utmärkt fotograf, men han hade aldrig försökt.","En dag köpte han en enkel, men högkvalitativ kamera.",Från den dagen fotograferade Lars naturbilder varje dag.,Lars blev kär i fotografering.,Lars hatade fotografering.,1
37,Jag köpte en tv i en elektronikbutik.,Det är en stor plattbildskärm med högupplösta bildkvalitet.,Anställd övertalade mig att köpa en garanti för det bara i fall.,En vecka senare föll tv:n av min vägg och gick sönder.,Jag fick den fixat med garantin.,Anställd hittades senare död.,1
38,Ryan var i en park.,Och han såg en liten flicka som höll en ballong.,När han lämnade parken såg han samma ballong fast i ett träd.,Han klättrade upp i trädet för att hämta ballongen.,Ryan sprängde ballongen med flit.,Ryan hittade flickan och gav henne ballongen som hon hade tappat.,2
39,Jens chef sa att hon måste ladda upp sitt CV.,Hon insåg att hennes CV inte var formaterat ordentligt.,Hon överförde allt innehåll till rätt mall.,Hon uppdaterade CV:n med information om sitt senaste jobb.,Sen skickade hon det till sin chef.,Jen hatade att diska.,1
40,Neil var på turné i staden Fez.,Han smakade på deras etniska mat.,Sen gick han och handlade souvenirer.,"Fez hade också bra gatuartister, noterade han.",Neil hade det jättebra.,Neil och Fez blev bästa vänner.,1
41,Jag behövde ta ut min hund.,Mitt kvarter kräver ett koppel.,Jag letade efter koppeln i mitt hus.,Jag kunde inte hitta den.,Jag bestämde mig för att ta med min hund till bakgården.,Jag lät min hund gå in i huset.,1
42,"Det var en ljus, varm dag.",Så Joe tänkte att det skulle vara trevligt att ta en promenad.,Han bestämde sig för att gå till sitt lokala kafé.,Men halvvägs började han bli trött.,Så han sprang till kaféet.,Joe ångrar att han gick ut.,2
43,Jen väntade på ett paket hela dagen.,Till slut såg hon UPS-mannen gå upp till dörren.,Han levererade paketet och hon tog in det.,Hon öppnade paketet med en kniv.,I lådan fanns en nyfödd bebis.,Jen hittade sin nya rock i paketet.,2
44,Frank ville inte göra sina läxor.,Han ville spela tv-spel istället.,Franks föräldrar sa åt honom att göra läxorna först.,Frank fick ett raserianfall och blev straffad.,Frank förlorade sina videospel i en vecka.,Frank har ett helt nytt spel.,1
45,Timmy tävlade i trepoängs tävlingen på sin skola.,Vinnaren skulle få chansen att vinna ett college stipendium på 1000 dollar.,Timmy har övat tre poäng hela helgen.,Han var redo när tävlingsdagen kom.,Timmy vann tävlingen.,Timmy gick till driving range dagen för tävlingen.,1
46,Drake var på en fest på fredag.,Han upptäckte att hans plånbok hade stulits från hans kappa.,"Drake ringde polisen, men plånboken hittades inte.",Drake konfronterade festvärden om problemet.,Och värden sa att han inte visste det heller.,Drake sa till värden att han ville vara med på hans fester igen.,1
47,Bob upptäckte att hans lastbil hade ett punktering.,Han hade aldrig bytt däck förut.,Han tog fram däckhuggaren och strykjärnet.,Han kunde inte ta bort bultarna.,Bob ringde någon för att fixa hans punkterade däck.,Bob körde till marknaden.,1
48,Jack är trött på att skriva mejl på sin surfplatta.,Han bestämmer sig för att han behöver investera i en bärbar dator.,Han undersöker olika bärbara datorer tills han har hittat den perfekta.,Till slut köper han det.,Nu gillar Jack att svara på mejl.,Jack använder nu posttjänsten istället för e-post.,1
