"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
  अनि म यस्तो सोचिरहेको थिएँ;"ओह मेरो भगवान, रमोना त्यहाँ उभिएकी थिइन् । 
परिकल्पना:  रामोना भुइँमा निहुरिएर भ्रुणको स्थितिमा थिइन्। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
  अनि म यस्तो सोचिरहेको थिएँ;"ओह मेरो भगवान, रमोना त्यहाँ उभिएकी थिइन् । 
परिकल्पना:  रामोना उभिएकी थिइन्, म भने डरले काम्दै थिएँ। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
  उनी भन्छिन्;"त्यसको चिन्ता नगर्नु, समय लिनुहोस्। 
परिकल्पना:  उनले मलाई तत्काल हतार गर्नु पर्ने बताइन्। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
  उनी भन्छिन्;"त्यसको चिन्ता नगर्नु, समय लिनुहोस्। 
परिकल्पना:  उनले मलाई ढिलो गर्न भनिन्। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
नहीं"
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
  तर, अन्ततः उनी त्यहाँ आए र उनले भने;"कसरी भइरहेको छ? 
परिकल्पना:  उनले कसरी काम भइरहेको छ भनेर सोधे। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
  तर, अन्ततः उनी त्यहाँ आए र उनले भने;"कसरी भइरहेको छ? 
परिकल्पना:  उनले हामीसँग केही पनि बोलेनन्। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
No";
"  
No";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
  मैले तत्कालै थाहा पाएँ कि यसको नाम थियो;"पिस अफ पार्लियामेन्ट' (संसदको टुक्रा) । 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
नहीं"
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
  तपाईंलाई थाहा छ, हो, म हिजो पुस्तकालयमा गएँ र मैले पी.जे. ओ'रुर्कको नयाँ पुस्तक भेट्टाएँ;"द पार्लियामेन्ट अफ हरोर' । 
परिकल्पना:  मैले हिजो पुस्तकालयमा पि.जे. ओ'रुर्कको किताब पाएँ। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
